"GEOID","state_fips","county_fips","tract_fips","life_expectancy","se","fips"
"51003010100","51","003","010100",84.3,1.7333,"51003"
"51003010201","51","003","010201",77.3,3.2954,"51003"
"51003010202","51","003","010202",80.9,1.7264,"51003"
"51003010300","51","003","010300",81.9,1.5249,"51003"
"51003010401","51","003","010401",80.6,1.286,"51003"
"51003010402","51","003","010402",83.7,2.3694,"51003"
"51003010500","51","003","010500",82.8,1.8134,"51003"
"51003010601","51","003","010601",79.7,0.9182,"51003"
"51003010602","51","003","010602",80.2,0.9596,"51003"
"51003010700","51","003","010700",76.7,1.4093,"51003"
"51003010800","51","003","010800",82.6,1.4965,"51003"
"51003010901","51","003","010901",78.6,1.2605,"51003"
"51003011000","51","003","011000",86.3,2.2748,"51003"
"51003011100","51","003","011100",80.7,1.7141,"51003"
"51003011201","51","003","011201",78.5,1.0813,"51003"
"51003011202","51","003","011202",87.1,2.7303,"51003"
"51003011301","51","003","011301",84.1,3.1424,"51003"
"51003011302","51","003","011302",75.5,1.91,"51003"
"51003011303","51","003","011303",80,1.7866,"51003"
"51003011400","51","003","011400",79,1.3303,"51003"
"51065020101","51","065","020101",77.9,0.9968,"51065"
"51065020102","51","065","020102",85.3,1.9797,"51065"
"51065020200","51","065","020200",76.8,1.1218,"51065"
"51079030101","51","079","030101",75.2,1.1439,"51079"
"51079030102","51","079","030102",84.7,3.2444,"51079"
"51079030200","51","079","030200",81.6,2.4084,"51079"
"51109950100","51","109","950100",79.8,1.8846,"51109"
"51109950201","51","109","950201",75.9,1.2137,"51109"
"51109950202","51","109","950202",80,1.7968,"51109"
"51109950300","51","109","950300",77.6,0.8726,"51109"
"51109950400","51","109","950400",76,1.5192,"51109"
"51109950500","51","109","950500",76.1,1.0649,"51109"
"51125950100","51","125","950100",73.3,1.7437,"51125"
"51125950200","51","125","950200",82.4,2.5149,"51125"
"51125950300","51","125","950300",77.6,1.2782,"51125"
"51540000201","51","540","000201",78.7,3.27,"51540"
"51540000302","51","540","000302",80.4,2.159,"51540"
"51540000401","51","540","000401",73.7,1.3719,"51540"
"51540000402","51","540","000402",76.3,1.5124,"51540"
"51540000501","51","540","000501",76.4,1.5141,"51540"
"51540000502","51","540","000502",79.8,1.5825,"51540"
"51540000700","51","540","000700",82.6,2.6266,"51540"
"51540000800","51","540","000800",79.4,1.3206,"51540"
"51540000900","51","540","000900",81.3,2.4626,"51540"
"51540001000","51","540","001000",82.5,2.3788,"51540"
