,GEOID,zone,spatial_unit,area,perc
64,510030106012025,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
65,510030113014072,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
66,510030114004079,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
67,510030114004091,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
68,510030114004098,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
69,510030114004083,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
70,510030114004088,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
71,510030113014028,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
72,510030113014006,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
73,510030102011029,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
74,510030102011033,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
75,510030104011040,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
76,510030102011075,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
77,510030113032004,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.000155,0.36615326466975334
78,510030104021063,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
79,510030113032002,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.000138,0.7078012001846438
80,510030104021062,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.00041,2.8344279294849635
81,510030113032014,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.003126,20.971420904333822
82,510030113032023,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
83,510030113032011,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
84,510030104021009,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.018988,0.7279591839864314
85,510030113014038,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
86,510030104021021,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
87,510030113014065,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
88,510030105002039,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
89,510030105002032,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
90,510030105003019,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
91,510030104021023,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
92,510030105002048,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
93,510030105003010,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
94,510030104021002,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
95,510030104021017,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.003272,6.463848281311735
96,510030114001003,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
97,510030114001054,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
98,510030114001024,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
99,510030114001011,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
100,510030114004099,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
101,510650201022030,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
102,510650201023036,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
103,510650201013024,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
104,510650201012075,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
105,510650201022037,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
106,510650201023041,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
107,510650201022039,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
108,510650201021058,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
109,510650201011060,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,blocks,0.0,0.0
