,GEOID,mean,median,min,max,spatial_region
1,51003010100,85.17884387000446,86.25151915283607,35.02964543145912,114.43043122861175,tracts
378,51003010201,89.92156297677319,89.41946558000004,67.11565459280006,122.24886407599999,tracts
497,51003010202,92.33366143749738,91.97272652000005,68.02375414640001,112.8467113808,tracts
588,51003010300,92.89504880491752,92.82791512400004,71.83211203040003,119.61193000640003,tracts
723,51003010401,92.80865164805532,92.30905968800003,55.78614878,121.66438265600006,tracts
1078,51003010402,86.74250394610495,85.64679182480002,79.12028771600002,112.86762966320003,tracts
1207,51003010500,87.13786508001981,85.48682848880001,76.84511688320002,134.30517766160006,tracts
1342,51003010601,93.21174835317717,91.78938392720003,80.67808451120004,120.35022232640003,tracts
1418,51003010602,90.44887028195039,89.14814315240001,81.11490746720003,108.78241215920004,tracts
1476,51003010700,100.50133239125456,100.3486528904,82.28756176880006,128.41114397360005,tracts
1534,51003010800,88.39865695115834,86.42692070960004,74.47273756160003,117.14357268320008,tracts
1633,51003010901,95.7031353670426,96.20929394960001,78.15435526400005,117.84987233600003,tracts
1666,51003010902,88.18093344946143,85.45360533440004,80.44552243040005,108.66920733680003,tracts
1691,51003010903,99.48087372541576,99.61712825000005,87.48760067600004,109.39642527200004,tracts
1709,51003011000,85.58020259503719,84.77806786160004,77.61047992160005,107.13478979840006,tracts
1917,51003011100,88.82940953125376,88.12376255840003,75.38822003840008,112.82702358559997,tracts
2152,51003011201,82.2704412682743,81.51850726880004,58.83939768560003,104.17669856960003,tracts
2543,51003011202,84.3598835316416,83.01108824240005,73.89810003920005,107.99613083840002,tracts
2763,51003011301,84.41758942012422,83.54019773840005,75.49650291200003,113.1715600016,tracts
3057,51003011302,90.3945310061635,89.69940141800005,81.06076603040005,111.50671082000007,tracts
3109,51003011303,92.68377098740025,91.73647297760004,80.99431972160001,120.26285773520001,tracts
3155,51003011400,83.59841731349356,82.52258482400003,68.74851110720004,109.83201774080003,tracts
3549,51065020101,90.21275677887715,89.03804711853647,81.89596252335839,121.14883152956442,tracts
3758,51065020102,85.45645538677233,85.13367866240002,78.50504411600004,107.84724188720003,tracts
3991,51065020200,89.27591485552729,88.38125779784812,69.90896062755992,135.96864732130516,tracts
4502,51065020300,90.3938650373622,89.1768021699241,75.59661117404951,115.90112713145757,tracts
4921,51079030101,79.2356541368808,79.08829504880002,52.57498735040004,111.77987897840006,tracts
5145,51079030102,80.29243000561263,80.13297868160005,48.18706999520002,106.11348542240005,tracts
5396,51079030200,91.72249934370919,91.68843392377718,61.650458941053934,120.63331682986704,tracts
5664,51109950100,92.58270022921992,91.47813130472831,79.0856323538735,133.5614343096254,tracts
6318,51109950201,92.0394081266062,90.86519340978073,77.26619203127032,118.54011210555564,tracts
6550,51109950202,92.86629855822692,91.39188731683153,82.6287073165072,122.46301419697049,tracts
6838,51109950300,92.44624817142677,91.37795625327419,71.75765275709786,122.04624585929672,tracts
7367,51109950400,89.82748030831759,88.923677791337,82.78963776169019,112.9526629666256,tracts
7523,51109950500,89.70109225091424,89.4051928752571,72.71767296813073,119.78552418064343,tracts
7882,51125950100,83.27145485314281,82.03038994400004,72.27385693520004,112.65844683920007,tracts
8781,51125950200,80.56611700058674,80.49720289280005,54.9424447232,105.81078557120004,tracts
9205,51125950300,78.77374253400578,79.35783001612492,44.95639304623187,119.49493854825288,tracts
9931,51540000201,97.00352484120778,96.25605246320002,87.73862006480009,108.73196218400005,tracts
9983,51540000202,102.13163113461007,101.75694549080002,92.77500417440004,108.95468036720004,tracts
10044,51540000302,97.3120173720724,97.64281153760004,84.1382145176,109.07526811280003,tracts
10113,51540000401,96.42145671041511,96.85468448600001,84.54427529360001,107.38088723840006,tracts
10166,51540000402,98.50191976187449,99.04310597120003,83.22888447680002,109.36566309200003,tracts
10259,51540000501,95.93149437410004,95.59343510600006,85.10906891840003,111.55469982080007,tracts
10305,51540000502,91.82229442271793,91.30518721400006,82.83635906,112.22654583200004,tracts
10364,51540000600,97.2531442850218,97.09278375920003,83.82074882000005,109.21431316640003,tracts
10413,51540000700,93.26771375291464,91.0018721192,77.86149931040005,124.58309829440003,tracts
10515,51540000800,94.70832198447555,92.86975168880002,82.94710290800002,123.42028789040003,tracts
10590,51540000900,92.7116683007117,92.05209294440003,81.93318145520001,112.11826295840005,tracts
10642,51540001000,100.06165242878153,100.21268405480005,87.68940057680001,113.70805242080003,tracts
