"blkgroup","avgc_workinRegion","avgc_within150","avgc_25_employees","avgc_all","county"
"510030101001",5.40261283594286,24.986450104389,17.8565338068431,28.9401022950654,"51003"
"510030101002",11.1990653529451,30.4010164064914,26.4128884892474,32.0060342416887,"51003"
"510030101003",7.4676191447386,23.1973609875033,20.4837359773531,27.3845007837322,"51003"
"510030102011",6.10351703722948,19.5614163514549,17.4569615107774,21.2602380328751,"51003"
"510030102012",4.53451512973045,18.3681502699643,14.6737587383859,18.9374501779584,"51003"
"510030102021",3.80138209122847,21.9103360355354,19.2701482770922,24.328557122909,"51003"
"510030102022",2.91918681257317,19.1187883177307,13.6806759642756,20.2728101992353,"51003"
"510030103001",4.47059648220011,22.6069680535833,20.3109709107504,23.8153689152955,"51003"
"510030103002",5.25946101663028,16.968530298689,21.3072641703486,24.1949864653678,"51003"
"510030103003",4.58128900448611,23.6798407728497,13.8224196649338,24.8450194449322,"51003"
"510030103004",3.98395727721502,19.5643678670822,16.2830256064186,21.7834050571279,"51003"
"510030103005",4.14604151587639,20.0251727447871,15.156818484137,20.9685775441462,"51003"
"510030104011",8.60550272984896,23.1294748228842,18.946405154028,24.3871942748784,"51003"
"510030104012",15.1046416042351,27.3701907603367,26.4991624723887,29.1213354356855,"51003"
"510030104013",9.34532170426075,24.4952287718985,20.6204411459122,25.427089060039,"51003"
"510030104021",5.27682672064384,15.4266823478401,11.2867228909828,16.2096189281394,"51003"
"510030104022",8.6298684113374,27.5292483542585,25.2513181859378,29.34104075895,"51003"
"510030105001",4.94717182834378,18.176027184589,15.0812356577053,18.931290712102,"51003"
"510030105002",4.19175195023332,14.9512765412026,13.6867443210872,16.9790394378869,"51003"
"510030105003",3.9110344013784,15.6198236286422,13.7265392817271,34.5825426942083,"51003"
"510030106011",3.11033741371819,20.5617393436368,16.0737654994061,22.7738886483881,"51003"
"510030106012",3.24132813243858,20.0398679737373,18.2579498248624,24.7489953358362,"51003"
"510030106013",2.83825704224122,21.4448489325445,18.3318641370903,22.844828905942,"51003"
"510030106021",2.85161866432036,15.9077395981295,13.753826215007,17.750799012403,"51003"
"510030106022",3.07615008586603,16.6565801908474,15.6001005979416,18.1609930264649,"51003"
"510030107001",2.78843201173939,20.6168597748527,17.7949410051539,23.6757170120657,"51003"
"510030107002",2.79869016780985,18.7911226574754,18.7863881430989,23.7910527150524,"51003"
"510030107003",2.10732059145681,22.4864203446646,19.2338517456402,23.9894339738662,"51003"
"510030108001",3.84716954576519,24.0648903653482,20.9330966927101,26.3500517278273,"51003"
"510030108002",3.09146722153742,21.5926198608133,17.1878455715377,25.070639796734,"51003"
"510030108003",2.45957548024814,21.7308724437764,18.1880890163185,25.3071343691276,"51003"
"510030108004",5.22036974419535,21.4984943147646,18.0592155193241,22.2158709389934,"51003"
"510030108005",3.41162898141194,18.131938616742,17.2902796455595,20.3328268956075,"51003"
"510030109011",2.14355492138923,42.1721249936247,37.1523802681552,53.3188395346559,"51003"
"510030109012",3.49346966395051,48.9271839182188,43.032451693238,54.2826111500003,"51003"
"510030109021",2.99860617392187,39.9947015880792,40.0454762268558,46.1261965724478,"51003"
"510030109022",3.67254196433074,51.8326503569049,47.9169607242036,57.1500444777858,"51003"
"510030109031",6.45520366075607,68.1476841966649,62.817661856468,77.5703455710141,"51003"
"510030109032",1.91950196811416,61.6031599786307,58.6663126237622,70.6428346958832,"51003"
"510030110001",5.06546316864777,17.9418827496652,18.3774580618809,21.897908518458,"51003"
"510030110002",4.16963992365263,20.8272311281349,18.7918466587992,21.9005357110044,"51003"
"510030110003",8.82790224933063,23.7398344581822,20.5816318394098,26.487365737067,"51003"
"510030110004",9.03157236309398,21.7966023859999,19.7704978517888,25.2243402701949,"51003"
"510030110005",6.95579552304804,18.3908483461966,15.7534513282832,20.1162749648911,"51003"
"510030111001",11.9529158769565,24.018345748672,19.687728782146,27.1158221166594,"51003"
"510030111002",12.5428695100151,23.6901112540204,22.5212207699426,25.3000048645969,"51003"
"510030111003",13.5233871886211,24.3797110571438,23.1076624730263,25.0182563284241,"51003"
"510030111004",13.9374172105057,26.7010805845573,21.922541770304,29.0376889950434,"51003"
"510030111005",12.6786693006781,23.1311649563944,21.2533132474374,24.9802731024162,"51003"
"510030112011",16.3631108061302,31.6353635764664,30.7375159381639,36.1157590326303,"51003"
