STATEFP,COUNTYFP,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can,imp_surf,blocks,cells,developed,forest,percent_dev,percent_for
51,003,010401,3025,510030104013025,Block 3025,74.66666666666667,2.4,1,30,11,19,36.666666666666664,63.33333333333333
51,003,010401,3004,510030104013004,Block 3004,0,0,2,11,0,0,0,0
51,003,010401,3005,510030104013005,Block 3005,25.907296650717704,0.3235645933014354,3,1672,97,366,5.801435406698564,21.88995215311005
51,003,010401,3021,510030104013021,Block 3021,46.27529411764706,0.5576470588235294,4,425,10,187,2.3529411764705883,44
51,003,010401,3016,510030104013016,Block 3016,44.680297397769515,0.4138785625774473,5,807,30,360,3.717472118959108,44.60966542750929
51,003,010401,3019,510030104013019,Block 3019,7.08235294117647,1.6235294117647059,6,85,10,0,11.76470588235294,0
51,003,010401,2062,510030104012062,Block 2062,77.31335436382756,0.23107255520504733,7,3804,132,2811,3.4700315457413247,73.89589905362776
51,003,010401,2055,510030104012055,Block 2055,74.91587516960651,0.5033921302578019,8,2948,232,2190,7.869742198100408,74.2876526458616
51,003,010100,2003,510030101002003,Block 2003,90.34482933252305,0.04649042844120328,9,19746,133,19280,0.6735541375468449,97.64002836017421
51,003,011201,1129,510030112011129,Block 1129,67.74725274725274,0,10,91,0,91,0,100
51,003,011201,1131,510030112011131,Block 1131,71,0,11,1,0,1,0,100
51,065,020102,1001,510650201021001,Block 1001,76.08107149192833,0.9606173496540713,12,5637,424,4270,7.5217314174206145,75.74951215185382
51,065,020300,1012,510650203001012,Block 1012,86.26946107784431,0.38323353293413176,13,167,15,146,8.982035928143713,87.42514970059881
51,065,020300,1032,510650203001032,Block 1032,66.20430107526882,0.010752688172043012,14,93,1,10,1.0752688172043012,10.75268817204301
51,065,020300,1029,510650203001029,Block 1029,82.84962406015038,0.7669172932330827,15,133,21,48,15.789473684210526,36.09022556390977
51,065,020300,1005,510650203001005,Block 1005,72.85393258426966,0.2696629213483146,16,89,12,73,13.48314606741573,82.02247191011236
51,065,020300,1027,510650203001027,Block 1027,17.818181818181817,0,17,22,0,3,0,13.636363636363635
51,065,020300,1014,510650203001014,Block 1014,42.47826086956522,0.4782608695652174,18,23,5,4,21.73913043478261,17.391304347826086
51,065,020300,1036,510650203001036,Block 1036,9.607142857142858,2.892857142857143,19,28,6,0,21.428571428571427,0
51,065,020300,1135,510650203001135,Block 1135,68.06976744186046,1.5813953488372092,20,43,11,32,25.581395348837212,74.4186046511628
51,065,020300,1054,510650203001054,Block 1054,88.82809611829944,0.12939001848428835,21,541,33,495,6.099815157116451,91.49722735674676
51,065,020200,2014,510650202002014,Block 2014,88.45161290322581,0,22,31,0,22,0,70.96774193548387
51,065,020300,2000,510650203002000,Block 2000,20.53061224489796,0.6802721088435374,23,147,18,22,12.244897959183673,14.965986394557824
51,065,020300,1060,510650203001060,Block 1060,79.12219959266803,0.1079429735234216,24,491,17,441,3.462321792260693,89.81670061099797
51,065,020101,1078,510650201011078,Block 1078,14.11111111111111,5,25,9,4,2,44.44444444444444,22.22222222222222
51,065,020300,2001,510650203002001,Block 2001,21.31111111111111,1.237037037037037,26,135,14,23,10.37037037037037,17.037037037037038
51,003,011301,4042,510030113014042,Block 4042,56.110882956878854,0.8713210130047913,27,1461,96,852,6.570841889117044,58.31622176591375
51,003,011201,1041,510030112011041,Block 1041,91.01229132269309,0.6561181434599156,28,10902,321,10299,2.9444138690148596,94.46890478811227
51,003,011201,2036,510030112012036,Block 2036,54,1,29,1,1,0,100,0
51,003,011202,1121,510030112021121,Block 1121,82.93023255813954,0.6046511627906976,30,43,5,37,11.627906976744185,86.04651162790698
51,003,011400,4038,510030114004038,Block 4038,84.23525557011796,0.24213630406290956,31,3052,121,2778,3.964613368283093,91.02228047182176
51,003,011400,4034,510030114004034,Block 4034,69.33333333333333,2.3333333333333335,32,3,2,1,66.66666666666666,33.33333333333333
51,003,010401,3120,510030104013120,Block 3120,86.45061559507523,0.1923392612859097,33,3655,138,3197,3.7756497948016414,87.46922024623804
51,003,011400,3044,510030114003044,Block 3044,83.0005382131324,0.17330462863293863,34,3716,135,2855,3.6329386437029063,76.82992465016146
51,003,011301,2003,510030113012003,Block 2003,72.24040188765413,0.48640584563860556,35,32845,1330,23271,4.049322575734511,70.85096666159232
51,003,011301,2058,510030113012058,Block 2058,59.89408099688473,1.3800623052959502,36,321,50,194,15.57632398753894,60.43613707165109
51,003,011301,4044,510030113014044,Block 4044,57.36839718884607,0.11766039446837452,37,4411,91,2749,2.063024257537973,62.32146905463614
51,003,011400,2014,510030114002014,Block 2014,82.98373983739837,6.08130081300813,38,123,62,61,50.40650406504065,49.59349593495935
51,003,011400,3049,510030114003049,Block 3049,52.98888888888889,1.7666666666666666,39,90,22,37,24.444444444444443,41.11111111111111
51,003,011202,1010,510030112021010,Block 1010,77.82087750405553,0.7765118647904327,40,26507,1549,20329,5.843739389595201,76.69294903233109
51,003,010401,3131,510030104013131,Block 3131,56.29281767955801,1.3314917127071824,41,181,25,98,13.812154696132598,54.14364640883977
51,003,011400,3032,510030114003032,Block 3032,46.87677725118483,0.38753189938024063,42,2743,122,1099,4.447685016405396,40.06562158220926
51,003,011100,1019,510030111001019,Block 1019,58.27100840336134,1.6176470588235294,43,476,53,274,11.134453781512606,57.56302521008403
51,003,011000,3033,510030110003033,Block 3033,74.41486810551558,2.446043165467626,44,417,89,273,21.34292565947242,65.46762589928058
51,003,011400,4051,510030114004051,Block 4051,75.88359788359789,0.25573192239858905,45,567,62,456,10.934744268077601,80.42328042328042
51,003,010402,2026,510030104022026,Block 2026,73.83818938605619,4.315816857440167,46,1922,470,1225,24.453694068678463,63.73569198751301
51,003,011400,4084,510030114004084,Block 4084,42.343283582089555,23.402985074626866,47,67,54,13,80.59701492537313,19.402985074626866
51,003,010100,2095,510030101002095,Block 2095,37.36231884057971,0.3036231884057971,48,2760,111,1039,4.021739130434782,37.64492753623188
51,003,011201,2046,510030112012046,Block 2046,74.79527272727273,0.3149090909090909,49,2750,107,2205,3.8909090909090907,80.18181818181817
51,003,011201,2084,510030112012084,Block 2084,8.6875,8.708333333333334,50,96,28,1,29.166666666666668,1.0416666666666665
51,003,011201,2082,510030112012082,Block 2082,42.374025974025976,0.9428571428571428,51,385,45,141,11.688311688311687,36.62337662337662
51,003,011201,3062,510030112013062,Block 3062,87.280906409225,0.40842048806650577,52,7458,242,6775,3.2448377581120944,90.84204880665058
51,003,011301,4012,510030113014012,Block 4012,51.5,27.5,53,2,2,0,100,0
51,003,010100,3001,510030101003001,Block 3001,47.33899176954733,1.1268004115226338,54,3888,353,1856,9.079218106995885,47.73662551440329
51,003,010100,2183,510030101002183,Block 2183,43.15,1.95,55,20,3,10,15,50
51,003,010401,2003,510030104012003,Block 2003,26.603021978021978,0.3557692307692308,56,728,51,205,7.0054945054945055,28.15934065934066
51,003,010401,1019,510030104011019,Block 1019,48.30086869361844,0.3637654527230204,57,11972,534,6255,4.460407617774808,52.24690945539593
51,003,010401,1020,510030104011020,Block 1020,61.68930041152263,0.6666666666666666,58,486,48,333,9.876543209876543,68.51851851851852
51,003,011400,3082,510030114003082,Block 3082,27,0,59,10,0,6,0,60
51,003,010601,1007,510030106011007,Block 1007,62.346774193548384,21.846774193548388,60,496,299,188,60.28225806451613,37.903225806451616
51,003,010100,3017,510030101003017,Block 3017,58.197596795727634,0.9305740987983978,61,749,58,470,7.74365821094793,62.75033377837116
51,003,011301,2044,510030113012044,Block 2044,64.35379061371842,0.36462093862815886,62,1108,68,787,6.137184115523466,71.028880866426
51,003,011201,1132,510030112011132,Block 1132,75.5,0,63,2,0,2,0,100
51,003,010100,1015,510030101001015,Block 1015,10.786666666666667,2.026666666666667,64,75,9,7,12,9.333333333333334
51,003,010601,2025,510030106012025,Block 2025,37.48557692307692,23.27403846153846,65,208,155,30,74.51923076923077,14.423076923076922
51,003,011301,4072,510030113014072,Block 4072,90.18217054263566,0.9534883720930233,66,258,14,215,5.426356589147287,83.33333333333334
51,003,011400,4079,510030114004079,Block 4079,36.75,38.26923076923077,67,52,49,0,94.23076923076923,0
51,003,011400,4091,510030114004091,Block 4091,64.38709677419355,14.064516129032258,68,31,27,4,87.09677419354838,12.903225806451612
51,003,011400,4098,510030114004098,Block 4098,22.209302325581394,0.9023255813953488,69,215,27,7,12.558139534883722,3.255813953488372
51,003,011400,4083,510030114004083,Block 4083,52.111111111111114,28.51851851851852,70,27,26,1,96.29629629629629,3.7037037037037033
51,003,011400,4088,510030114004088,Block 4088,42,34.766666666666666,71,30,30,0,100,0
51,003,011301,4028,510030113014028,Block 4028,63.346666666666664,0.3466666666666667,72,75,1,67,1.3333333333333335,89.33333333333333
51,003,011301,4006,510030113014006,Block 4006,58.7785536159601,0.33092269326683293,73,4010,135,2516,3.366583541147132,62.74314214463841
51,003,010201,1029,510030102011029,Block 1029,68.61704422869471,2.3549083063646172,74,927,102,668,11.003236245954692,72.06040992448759
51,003,010201,1033,510030102011033,Block 1033,0,7.5,75,2,2,0,100,0
51,003,010401,1040,510030104011040,Block 1040,57.285714285714285,11.142857142857142,76,7,4,0,57.14285714285714,0
51,003,010201,1075,510030102011075,Block 1075,67.54545454545455,0,77,11,0,11,0,100
51,003,011303,2004,510030113032004,Block 2004,52.45161290322581,32.25806451612903,78,31,30,0,96.7741935483871,0
51,003,010402,1063,510030104021063,Block 1063,40.5,58.25,79,4,4,0,100,0
51,003,011303,2002,510030113032002,Block 2002,44.38461538461539,31.307692307692307,80,13,13,0,100,0
51,003,010402,1062,510030104021062,Block 1062,37,49.55555555555556,81,9,9,0,100,0
51,003,011303,2014,510030113032014,Block 2014,48,13.8,82,10,8,0,80,0
51,003,011303,2023,510030113032023,Block 2023,4.666666666666667,73.27777777777777,83,18,18,0,100,0
51,003,011303,2011,510030113032011,Block 2011,25.625,15.3125,84,16,16,0,100,0
51,003,010402,1009,510030104021009,Block 1009,81.45005549389568,0.8074361820199778,85,1802,60,1486,3.3296337402885685,82.46392896781354
51,003,011301,4038,510030113014038,Block 4038,31.746478873239436,0.27417840375586855,86,1065,47,307,4.413145539906103,28.826291079812204
51,003,010402,1021,510030104021021,Block 1021,30.77777777777778,26.22222222222222,87,9,9,0,100,0
51,003,011301,4065,510030113014065,Block 4065,60.625,0,88,16,0,10,0,62.5
51,003,010500,2039,510030105002039,Block 2039,84.15867158671587,1.4870848708487086,89,542,98,387,18.081180811808117,71.40221402214021
51,003,010500,2032,510030105002032,Block 2032,23.22222222222222,55.22222222222222,90,9,9,0,100,0
51,003,010500,3019,510030105003019,Block 3019,0,78.5,91,2,2,0,100,0
51,003,010402,1023,510030104021023,Block 1023,33.84090909090909,28.454545454545453,92,44,44,0,100,0
51,003,010500,2048,510030105002048,Block 2048,63.74803149606299,4.2362204724409445,93,127,47,70,37.00787401574803,55.118110236220474
51,003,010500,3010,510030105003010,Block 3010,27.454545454545453,36.63636363636363,94,33,30,3,90.9090909090909,9.090909090909092
51,003,010402,1002,510030104021002,Block 1002,8.5,50,95,2,2,0,100,0
