"w_geocode","avgc_allworkers","medc_allworkers","workersinBlockall","liveoutsideRegion","liveinsideRegion","perc_workers_liveinRegion","perc_workers_liveoutsideRegion","avgc_livewithin40","medc_livewithin40","workerw40","avgc_25_res","medc_25_res","workers25"
"510030101001000",NA,NA,2,0,2,100,0,3.08761809861594,3.08761809861594,1,NA,NA,2
"510030101001002",NA,NA,1,0,1,100,0,NA,NA,NA,NA,NA,1
"510030101001010",NA,NA,3,1,2,66.6666666666667,33.3333333333333,8.10711071134931,8.10711071134931,1,NA,NA,3
"510030101001021",NA,NA,8,3,5,62.5,37.5,8.73835987381492,5.7670435536344,4,NA,NA,7
"510030101001037",NA,NA,4,0,4,100,0,10.5556385610724,7.43066522306992,3,NA,NA,4
"510030101001038",NA,NA,7,0,7,100,0,6.4514750724753,6.66826014620609,6,NA,NA,7
"510030101001043",NA,NA,3,2,1,33.3333333333333,66.6666666666667,7.75501515136619,7.75501515136619,1,NA,NA,2
"510030101001048",5.39737741487521,5.39737741487521,1,0,1,100,0,5.39737741487521,5.39737741487521,1,5.39737741487521,5.39737741487521,1
"510030101001051",NA,NA,5,0,5,100,0,4.85959151162882,4.85959151162882,2,NA,NA,5
"510030101001053",NA,NA,2,0,2,100,0,5.41865464791056,5.41865464791056,1,NA,NA,2
"510030101001054",NA,NA,17,7,10,58.8235294117647,41.1764705882353,7.18041754821175,6.35621733684733,10,NA,NA,17
"510030101001055",NA,NA,24,2,22,91.6666666666667,8.33333333333333,7.8518543771245,6.49879552204751,19,NA,NA,24
"510030101001057",NA,NA,7,3,4,57.1428571428571,42.8571428571429,8.57251931706857,9.21708889789137,3,NA,NA,7
"510030101001059",NA,NA,8,1,7,87.5,12.5,8.48145170437308,8.78923865346792,5,NA,NA,8
"510030101001070",NA,NA,26,4,22,84.6153846153846,15.3846153846154,7.49395053641463,7.19524882732953,20,NA,NA,26
"510030101001071",NA,NA,13,1,12,92.3076923076923,7.69230769230769,7.22692567795275,6.96023773617069,11,NA,NA,13
"510030101001074",NA,NA,7,0,7,100,0,8.14581764726353,9.12475492003915,5,NA,NA,7
"510030101001078",NA,NA,2,1,1,50,50,2.99178769758182,2.99178769758182,1,2.99178769758182,2.99178769758182,1
"510030101002024",NA,NA,46,8,38,82.6086956521739,17.3913043478261,12.3554176578772,11.6466049695402,34,NA,NA,44
"510030101002027",24.4916151228341,24.4916151228341,2,1,1,50,50,1.22939628776243,1.22939628776243,1,24.4916151228341,24.4916151228341,2
"510030101002037",NA,NA,2,1,1,50,50,6.65914875904323,6.65914875904323,1,NA,NA,2
"510030101002038",NA,NA,24,4,20,83.3333333333333,16.6666666666667,12.9030328134132,14.3735817232083,17,NA,NA,22
"510030101002049",NA,NA,40,8,32,80,20,11.6664601970715,11.0236406357051,27,NA,NA,40
"510030101002051",NA,NA,5,1,4,80,20,7.00997892937033,3.45680254923412,3,NA,NA,5
"510030101002056",NA,NA,7,0,7,100,0,7.06282723495418,6.67447642995895,6,NA,NA,7
"510030101002070",NA,NA,1,1,0,0,100,NA,NA,NA,NA,NA,1
"510030101002078",NA,NA,3,1,2,66.6666666666667,33.3333333333333,5.48662837810086,5.48662837810086,2,NA,NA,3
"510030101002088",NA,NA,5,1,4,80,20,2.82596609167907,1.86869596594614,4,NA,NA,5
"510030101002095",NA,NA,14,0,14,100,0,5.92886263508117,5.5097801800167,12,NA,NA,14
"510030101002100",11.784490626461,8.54070558353033,6,0,6,100,0,11.784490626461,8.54070558353033,6,11.784490626461,8.54070558353033,6
"510030101002104",9.38074067275022,9.38074067275022,1,0,1,100,0,9.38074067275022,9.38074067275022,1,9.38074067275022,9.38074067275022,1
"510030101002118",9.78003079777773,9.78003079777773,1,0,1,100,0,9.78003079777773,9.78003079777773,1,9.78003079777773,9.78003079777773,1
"510030101002124",6.42492053355121,6.42492053355121,2,0,2,100,0,6.42492053355121,6.42492053355121,2,6.42492053355121,6.42492053355121,2
"510030101002128",9.1856525803618,9.1856525803618,1,0,1,100,0,9.1856525803618,9.1856525803618,1,9.1856525803618,9.1856525803618,1
