"FIP","county","tract","totalinc","totalelep","totalgas","totalother","averageburden","lowburden","highburden","veryhighburden","extremelyhighburden","totalunits","numberburdened","percentburdened","total_0_30","total_30_60","total_60_80","total_80_100","total_over_100","burdened_0_30","burdened_30_60","burdened_60_80","burdened_80_100","burdened_over_100","percent_0_30","percent_30_60","percent_60_80","percent_80_100","percent_over_100","total_owners","total_renters","burdened_owners","burdened_renters","percent_burdened_owners","percent_burdened_renters"
51003010100,"Albemarle",101,258861238.653587,4257203.14982806,1048712.27466377,573347.966847006,2.27120268060163,1750.93315766964,190.177224877602,115.880929441034,55.6169289285979,2112.60824091687,361.675083247233,17.1198368084689,155.605357205408,276.237873879742,202.764868055207,207.113340904062,1270.88680087245,128.621430616119,183.414090375724,31.7477292686921,17.8906193418175,0.00121364488092496,82.6587419135776,66.397155393533,15.6574112533381,8.6380815758772,9.54959072744951e-05,1717.57390736451,398.263524330161,259.698995892213,101.97608735502,15.120106027385,25.6051787636173
51003010201,"Albemarle",102.01,183602936.647702,3461893.79779221,587780.452115441,180068.600182625,2.30374466079828,1504.63858657616,133.263869481032,71.2976780557534,25.1434588150153,1734.34359292796,229.705006351801,13.2444924574609,95.6170354425323,177.35301559991,248.88763758682,233.067219398469,979.418684900232,93.0576512971321,104.484477565967,18.8320285766789,6.85006998921244,6.48077892281038,97.3232969067123,58.9132793781603,7.56647809399921,2.9390962859951,0.661696475953034,1530.84877308668,204.560730395759,204.263417184762,25.4415891670389,13.34314798273,12.4371814266686
51003010202,"Albemarle",102.02,192243103.256599,2766898.10829907,698082.81881614,279315.029175831,1.94768805375207,1008.54150918467,76.6686698664242,41.8923382648004,71.7771090854841,1198.87962640138,190.338117216709,15.8763326213189,99.4997931416717,81.6247017307024,57.1586075102051,77.8186381543083,882.777885864495,94.5604830638942,77.9136261508031,5.32024642066286,12.5437615813487,0,95.0358589482244,95.4534895672354,9.30786569584114,16.1192252638441,0,1121.92886146315,78.0260995396254,160.995615527359,29.3425016893498,14.3498951722659,37.6060085823569
51003010300,"Albemarle",103,329144204.211873,5307149.05967445,895763.992968241,127383.994417563,1.92325946076371,2810.7024316712,147.137594588851,115.823997621001,110.487515179713,3184.15153906076,373.449107389565,11.7283710529594,246.484094482392,395.185224871318,424.89036678693,352.959127002367,1764.63272591776,237.151810724733,132.272622707119,3.7823126482525,0.242361309460499,0,96.2138393646632,33.4710445589634,0.890185549946633,0.0686655453618215,0,2112.45283578997,1090.28822419352,164.018078576614,209.431028812951,7.76434274875909,19.2087765570306
51003010401,"Albemarle",104.01,202646064.147804,4124026.8650938,1471674.22097458,321078.675071573,2.91976051250836,1180.94718475448,290.494997970241,114.17874856597,86.91528624046,1672.53621753115,491.58903277667,29.3918318553551,106.500832719552,288.122831470166,191.288673419285,155.217413178576,931.406466743569,104.893306659316,274.165823753983,94.4302345951424,16.699801510946,1.3998662572831,98.4905976608945,95.1558827723,49.3653037094158,10.7589742471311,0.15029595641282,1335.13346979848,341.758172550448,321.599271702817,169.989761073854,24.0874248887909,49.7397793899899
51003010402,"Albemarle",104.02,176892224.752485,2868342.50564695,1682476.76053978,156080.955458214,2.66088587456629,986.534109963485,102.388847951962,103.733796594566,29.783856734542,1222.44061124456,235.90650128107,19.297992811356,72.5824788437646,115.378591070709,88.4844409790016,90.3005754367373,855.694524914342,69.8369617620707,112.338332601759,34.4985594048837,19.1855351372573,0.0471123750993095,96.2173831406286,97.3649717501864,38.9882775131852,21.2463044055553,0.00550574693743957,1167.23199564048,75.9239440067799,215.098252913874,20.8082483671968,18.4280634627263,27.4067010603909
51003010500,"Albemarle",105,265867268.128477,3683517.65049547,617434.420166368,113801.433506609,1.6605103498619,2096.68556273971,120.783980616283,59.4684314162758,23.3675585423664,2300.30553331464,203.619970574926,8.85186631192936,94.4160737267953,379.047295239869,241.408011550843,239.861001572807,1345.57315122433,82.4918825251478,89.7038438544886,24.2005074912939,4.76912122397588,2.45461548001951,87.3705919649321,23.6656071632755,10.0247325413212,1.98828537890862,0.182421556032541,1051.90287068443,1451.87751149675,104.564240798339,99.055729776587,9.94048440330839,6.82259550080568
51003010601,"Albemarle",106.01,243103404.518978,4010894.57775739,482639.120081219,109925.940925217,1.89362203621646,1929.5390351503,344.576767035979,178.910064971955,175.683771988416,2628.70963914665,699.170603996349,26.5974831751793,442.816453235416,585.399492453496,214.214191595622,237.632998718711,1148.64650314341,435.886646325672,252.022307054048,11.1877555354181,0.0738950812111688,0,98.4350611050894,43.0513367884529,5.2226957757017,0.0310963046418648,0,1216.69572868979,1510.63349504395,234.046237847264,465.124366149085,19.2362175956103,30.7900207214426
51003010602,"Albemarle",106.02,192166149.522724,2689120.80732,374198.126012155,34377.7518824303,1.61198873626194,1439.81765951041,89.5720702180424,77.1867353209537,27.0641199280175,1633.64058497742,193.822925467013,11.8644778569634,133.245085089033,153.369768298429,143.079292832112,146.983993227065,1056.96244553078,119.390833330292,74.1222395757522,0.261620708886286,0.0482318520835139,0,89.6024294258326,48.32910709725,0.182850155118721,0.032814356872863,0,999.789401442796,643.214764826829,98.9468578481536,94.8760676188599,9.89677003030472,14.7502938065178
51003010700,"Albemarle",107,174381501.204635,3296988.98957705,473462.358939882,90328.3378836791,2.21398465991529,2057.15829698227,210.990381982574,173.039434637445,94.2461603667759,2535.43427396906,478.275976986795,18.863670886569,366.473011344981,535.509967003485,326.095385289715,277.377262496117,1029.97864783477,359.020548655948,108.146857078191,9.27066394572891,1.83790730692687,0,97.9664361471853,20.1951156359126,2.84293012533511,0.662602006519045,0,885.8067655478,1666.67855072759,128.04437792577,350.231599061025,14.455114016496,21.0137461064781
