"w_blkgroup","lowwage_jobs","midwage_jobs","higwage_jobs","alljobs","lowwage_p","midwage_p","higwage_p","White_workers","Black_workers","AI_Na_workers","Asian_workers","NaH_PI_workers","Multiracial_workers","lessThanHS_jobs","HSnoCollege_jobs","SomeColl_Associates_jobs","Bach_AdvDeg_jobs","w_county","countyName"
"510030110004",68,99,62,229,0.296943231441048,0.432314410480349,0.270742358078603,193,25,1,8,0,2,20,48,52,49,"51003","Albemarle"
"510030110005",32,28,34,94,0.340425531914894,0.297872340425532,0.361702127659574,75,14,0,3,0,2,10,18,16,26,"51003","Albemarle"
"510030111001",89,115,162,366,0.243169398907104,0.314207650273224,0.442622950819672,321,32,0,10,0,3,37,72,84,88,"51003","Albemarle"
"510030111002",146,102,67,315,0.463492063492064,0.323809523809524,0.212698412698413,264,37,0,9,0,5,32,54,66,63,"51003","Albemarle"
"510030111003",110,129,92,331,0.332326283987915,0.389728096676737,0.277945619335347,265,45,1,10,0,10,36,78,63,74,"51003","Albemarle"
"510030111004",171,197,79,447,0.38255033557047,0.440715883668904,0.176733780760626,372,57,5,4,0,9,35,81,91,80,"51003","Albemarle"
"510030111005",43,41,15,99,0.434343434343434,0.414141414141414,0.151515151515152,82,12,0,1,0,4,11,20,18,20,"51003","Albemarle"
"510030112011",39,70,22,131,0.297709923664122,0.534351145038168,0.16793893129771,120,9,0,1,0,1,13,28,28,29,"51003","Albemarle"
"510030112012",26,63,56,145,0.179310344827586,0.43448275862069,0.386206896551724,133,8,1,2,0,1,15,36,30,33,"51003","Albemarle"
"510030112013",144,263,198,605,0.23801652892562,0.434710743801653,0.327272727272727,542,38,2,16,0,7,88,112,143,130,"51003","Albemarle"
"510030112021",106,202,425,733,0.144611186903138,0.275579809004093,0.579809004092769,613,82,1,26,0,11,57,139,171,221,"51003","Albemarle"
"510030112022",53,77,47,177,0.299435028248588,0.435028248587571,0.265536723163842,137,38,0,1,0,1,22,54,50,19,"51003","Albemarle"
"510030113011",8,5,63,76,0.105263157894737,0.0657894736842105,0.828947368421053,55,9,0,12,0,0,4,8,22,32,"51003","Albemarle"
"510030113012",189,181,134,504,0.375,0.359126984126984,0.265873015873016,440,49,3,6,0,6,48,131,101,106,"51003","Albemarle"
"510030113013",52,53,35,140,0.371428571428571,0.378571428571429,0.25,126,9,1,2,0,2,13,28,48,28,"51003","Albemarle"
"510030113014",170,166,134,470,0.361702127659574,0.353191489361702,0.285106382978723,422,28,2,8,1,9,23,70,94,136,"51003","Albemarle"
"510030113021",57,188,169,414,0.13768115942029,0.454106280193237,0.408212560386473,315,86,0,8,0,5,30,81,103,137,"51003","Albemarle"
"510030113022",192,287,595,1074,0.17877094972067,0.267225325884544,0.554003724394786,912,130,3,15,1,13,72,203,290,366,"51003","Albemarle"
"510030113031",401,427,501,1329,0.301730624529722,0.321294206170053,0.376975169300226,1071,188,5,37,0,28,80,246,257,312,"51003","Albemarle"
"510030113032",426,445,498,1369,0.311176040905771,0.325054784514244,0.363769174579985,1122,190,8,25,0,24,149,253,306,435,"51003","Albemarle"
"510030114001",72,70,41,183,0.39344262295082,0.382513661202186,0.224043715846995,138,40,0,2,1,2,17,47,43,20,"51003","Albemarle"
"510030114002",110,58,48,216,0.509259259259259,0.268518518518519,0.222222222222222,191,21,1,0,0,3,28,34,52,37,"51003","Albemarle"
"510030114003",39,31,24,94,0.414893617021277,0.329787234042553,0.25531914893617,85,9,0,0,0,0,8,14,28,13,"51003","Albemarle"
"510030114004",11,15,8,34,0.323529411764706,0.441176470588235,0.235294117647059,32,2,0,0,0,0,4,6,8,9,"51003","Albemarle"
"510650201011",391,733,1014,2138,0.18288119738073,0.342843779232928,0.474275023386342,1562,508,12,22,6,28,228,479,529,546,"51065","Fluvanna"
"510650201012",20,42,97,159,0.125786163522013,0.264150943396226,0.610062893081761,128,26,0,4,0,1,22,36,38,33,"51065","Fluvanna"
"510650201013",12,46,26,84,0.142857142857143,0.547619047619048,0.30952380952381,71,8,0,2,1,2,19,25,23,10,"51065","Fluvanna"
"510650201021",140,133,90,363,0.385674931129477,0.366391184573003,0.247933884297521,305,46,0,7,0,5,32,92,94,72,"51065","Fluvanna"
"510650201022",68,33,36,137,0.496350364963504,0.240875912408759,0.262773722627737,108,11,1,10,1,6,9,28,23,29,"51065","Fluvanna"
"510650201023",172,102,84,358,0.480446927374302,0.284916201117318,0.23463687150838,291,44,0,11,1,11,30,85,74,56,"51065","Fluvanna"
"510650202001",27,67,91,185,0.145945945945946,0.362162162162162,0.491891891891892,156,23,1,2,0,3,27,58,39,23,"51065","Fluvanna"
"510650202002",10,34,34,78,0.128205128205128,0.435897435897436,0.435897435897436,68,8,0,1,0,1,8,16,25,17,"51065","Fluvanna"
"510650202003",62,125,76,263,0.23574144486692,0.475285171102662,0.288973384030418,207,51,0,3,0,2,32,60,63,70,"51065","Fluvanna"
"510650202004",84,81,59,224,0.375,0.361607142857143,0.263392857142857,145,76,2,0,0,1,21,56,51,40,"51065","Fluvanna"
"510650203001",45,68,139,252,0.178571428571429,0.26984126984127,0.551587301587302,232,13,2,3,0,2,38,71,49,49,"51065","Fluvanna"
"510650203002",14,63,29,106,0.132075471698113,0.594339622641509,0.273584905660377,92,12,0,0,0,2,17,28,23,14,"51065","Fluvanna"
"510650203003",8,15,4,27,0.296296296296296,0.555555555555556,0.148148148148148,26,0,0,0,0,1,4,6,5,7,"51065","Fluvanna"
"510790301011",44,44,17,105,0.419047619047619,0.419047619047619,0.161904761904762,92,8,2,1,0,2,12,28,26,18,"51079","Greene"
"510790301012",297,335,479,1111,0.267326732673267,0.301530153015302,0.431143114311431,1004,78,3,13,0,13,102,275,271,288,"51079","Greene"
"510790301021",25,68,58,151,0.165562913907285,0.450331125827815,0.384105960264901,131,17,1,2,0,0,7,41,44,40,"51079","Greene"
"510790301022",6,12,11,29,0.206896551724138,0.413793103448276,0.379310344827586,23,0,0,6,0,0,0,8,4,9,"51079","Greene"
