STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,tree_can
51,540,000502,2,515400005022,Block Group 2,58.957264957264954
51,540,000502,3,515400005023,Block Group 3,71.68860759493671
51,540,000502,4,515400005024,Block Group 4,65.46499102333932
51,540,000502,5,515400005025,Block Group 5,44.585910652920965
51,540,000600,1,515400006001,Block Group 1,28.384219554030874
51,540,000202,2,515400002022,Block Group 2,9.651162790697674
51,540,001000,3,515400010003,Block Group 3,41.23857868020305
51,540,001000,2,515400010002,Block Group 2,30.13605442176871
51,003,011100,3,510030111003,Block Group 3,51.72131605407217
51,003,011000,4,510030110004,Block Group 4,71.06539651635782
51,003,011100,1,510030111001,Block Group 1,37.16043251902283
51,003,011000,5,510030110005,Block Group 5,61.32471392480309
51,003,010300,3,510030103003,Block Group 3,52.15096820463782
51,003,011400,3,510030114003,Block Group 3,61.914217230305916
51,003,010601,1,510030106011,Block Group 1,43.77088212334114
51,003,011100,4,510030111004,Block Group 4,30.990930599369086
51,003,010602,2,510030106022,Block Group 2,50.86677631578947
51,003,010700,2,510030107002,Block Group 2,38.528762805358554
51,003,010700,3,510030107003,Block Group 3,21.72584640792733
51,003,010800,2,510030108002,Block Group 2,48.592592592592595
51,003,010800,3,510030108003,Block Group 3,60.303972366148535
51,003,010800,4,510030108004,Block Group 4,57.97445255474452
51,109,950500,2,511099505002,Block Group 2,59.55184771380989
51,109,950500,3,511099505003,Block Group 3,62.2762326327933
51,109,950202,1,511099502021,Block Group 1,59.004935950170406
51,109,950100,4,511099501004,Block Group 4,59.01029268462449
51,109,950201,3,511099502013,Block Group 3,60.68145814381753
51,109,950300,3,511099503003,Block Group 3,54.8458968383278
51,109,950300,2,511099503002,Block Group 2,49.88428864061931
51,109,950100,1,511099501001,Block Group 1,53.08304347826087
51,109,950400,1,511099504001,Block Group 1,56.02637060326194
51,109,950100,2,511099501002,Block Group 2,53.09450961294148
51,109,950201,2,511099502012,Block Group 2,51.889522258414765
51,109,950100,3,511099501003,Block Group 3,64.91083487461826
51,109,950500,1,511099505001,Block Group 1,64.9007846677314
51,003,011201,1,510030112011,Block Group 1,72.39982794876697
51,003,011000,3,510030110003,Block Group 3,76.07984117615496
51,003,010300,5,510030103005,Block Group 5,66.133431085044
51,003,010401,1,510030104011,Block Group 1,65.29944094418316
51,003,010401,3,510030104013,Block Group 3,60.94051712784793
51,003,010500,2,510030105002,Block Group 2,62.97671860678277
51,003,011202,2,510030112022,Block Group 2,58.71083044034351
51,003,011301,4,510030113014,Block Group 4,64.9330167255425
51,003,010402,2,510030104022,Block Group 2,55.62899589338916
51,003,011201,3,510030112013,Block Group 3,76.92537905138045
51,003,010201,2,510030102012,Block Group 2,56.585182410235724
51,003,010602,1,510030106021,Block Group 1,50.03919062832801
51,003,010800,1,510030108001,Block Group 1,60.90122864273373
51,003,011301,1,510030113011,Block Group 1,81.1431376398979
51,540,000800,4,515400008004,Block Group 4,21.19699934768428
51,003,011301,3,510030113013,Block Group 3,67.53257739981102
51,003,011000,1,510030110001,Block Group 1,50.43111839491458
