"BlockCode","Blkgr","tract","resproviders","bb253_num","bb253_per","bbmin_dl","bbmax_dl","bbmin_up","bbmax_up","avgMaxAdDown","avgMaxAdUp"
"510030101001000","510030101001","51003010100",6,3,50,2,100,0.064,3,26.1666666666667,1.81266666666667
"510030101001001","510030101001","51003010100",4,3,75,2,100,1.3,3,38,2.575
"510030101001002","510030101001","51003010100",6,4,66.7,2,100,0.064,10,39,3.394
"510030101001003","510030101001","51003010100",6,4,66.7,2,100,0.064,3,32.3333333333333,2.22733333333333
"510030101001004","510030101001","51003010100",6,4,66.7,2,100,0.064,3,32.3333333333333,2.22733333333333
"510030101001005","510030101001","51003010100",6,4,66.7,2,100,0.064,10,39,3.394
"510030101001006","510030101001","51003010100",5,3,60,2,100,0.064,3,30.8,2.0728
"510030101001007","510030101001","51003010100",6,4,66.7,2,100,0.064,3,32.3333333333333,2.22733333333333
"510030101001008","510030101001","51003010100",5,3,60,2,100,0.064,3,30.8,2.0728
"510030101001009","510030101001","51003010100",6,4,66.7,2,100,0.064,5,35.6666666666667,2.56066666666667
"510030101001010","510030101001","51003010100",7,3,42.9,2,100,0.064,3,24.8571428571429,1.76628571428571
"510030101001011","510030101001","51003010100",6,3,50,2,100,0.064,3,26.6666666666667,1.81266666666667
"510030101001012","510030101001","51003010100",5,3,60,2,100,0.5,3,31,2.16
"510030101001013","510030101001","51003010100",5,2,40,2,100,0.064,3,26.4,1.5752
"510030101001014","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001015","510030101001","51003010100",4,2,50,2,100,0.064,3,32.25,1.841
"510030101001016","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001017","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001018","510030101001","51003010100",6,3,50,2,100,0.064,3,27.3333333333333,1.894
"510030101001019","510030101001","51003010100",6,3,50,2,100,0.064,3,27.3333333333333,1.894
"510030101001020","510030101001","51003010100",5,2,40,2,100,0.064,3,26.4,1.5728
"510030101001021","510030101001","51003010100",6,3,50,2,100,0.064,3,27.3333333333333,1.894
"510030101001022","510030101001","51003010100",5,3,60,2,100,0.064,3,30.8,2.0728
"510030101001023","510030101001","51003010100",1,1,100,100,100,3,3,100,3
"510030101001024","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001025","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001026","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001027","510030101001","51003010100",4,2,50,2,100,0.064,3,32.25,1.841
"510030101001028","510030101001","51003010100",5,2,40,2,100,0.064,3,26.4,1.5752
"510030101001029","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001030","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001031","510030101001","51003010100",4,2,50,2,100,0.064,3,32.25,1.841
"510030101001032","510030101001","51003010100",5,2,40,2,100,0.064,3,27,1.5752
"510030101001033","510030101001","51003010100",4,2,50,2,100,0.064,3,32.25,1.841
"510030101001034","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001035","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001036","510030101001","51003010100",3,2,66.7,2,100,1.3,3,42.3333333333333,2.43333333333333
"510030101001037","510030101001","51003010100",7,3,42.9,2,100,0.064,3,25.5714285714286,1.83771428571429
"510030101001038","510030101001","51003010100",7,4,57.1,2,100,0.064,10,37.7142857142857,3.052
"510030101001039","510030101001","51003010100",6,4,66.7,2,100,0.064,10,42.3333333333333,3.394
"510030101001040","510030101001","51003010100",6,3,50,2,100,0.064,3,30.6666666666667,1.97733333333333
"510030101001041","510030101001","51003010100",6,4,66.7,2,100,0.064,10,39,3.394
"510030101001042","510030101001","51003010100",5,3,60,2,100,0.064,3,30.8,2.0728
"510030101001043","510030101001","51003010100",7,3,42.9,2,100,0.064,3,27.7142857142857,1.87342857142857
"510030101001044","510030101001","51003010100",6,3,50,2,100,0.064,3,28.1666666666667,1.85233333333333
"510030101001045","510030101001","51003010100",4,2,50,2,100,0.064,3,32.25,1.841
"510030101001046","510030101001","51003010100",6,3,50,2,100,0.064,3,28.1666666666667,1.85233333333333
"510030101001047","510030101001","51003010100",5,3,60,2,100,0.064,3,30.8,2.0728
"510030101001048","510030101001","51003010100",7,4,57.1,2,100,0.064,3,29.8571428571429,2.01628571428571
"510030101001049","510030101001","51003010100",7,4,57.1,2,100,0.064,3,29.8571428571429,2.01628571428571
"510030101001050","510030101001","51003010100",5,2,40,2,100,0.064,3,30.8,1.8728
"510030101001051","510030101001","51003010100",5,2,40,2,100,0.064,3,26.6,1.5752
"510030101001052","510030101001","51003010100",6,3,50,2,100,0.064,3,27.3333333333333,1.85533333333333
"510030101001053","510030101001","51003010100",6,3,50,2,100,0.064,3,27.3333333333333,1.85533333333333
"510030101001054","510030101001","51003010100",6,4,66.7,2,100,0.064,10,42.3333333333333,3.394
"510030101001055","510030101001","51003010100",7,4,57.1,2,100,0.064,10,37.1428571428571,2.98057142857143
"510030101001056","510030101001","51003010100",5,2,40,2,100,0.064,3,29.8,1.7728
"510030101001057","510030101001","51003010100",6,4,66.7,2,100,0.064,10,39,3.394
"510030101001058","510030101001","51003010100",3,2,66.7,2,100,0.064,3,42.3333333333333,2.02133333333333
"510030101001059","510030101001","51003010100",7,3,42.9,2,100,0.064,3,27,1.802
"510030101001060","510030101001","51003010100",2,1,50,2,100,0.064,3,51,1.532
"510030101001061","510030101001","51003010100",7,3,42.9,2,100,0.064,3,25.5714285714286,1.83771428571429
"510030101001062","510030101001","51003010100",6,3,50,2,100,0.064,3,28.1666666666667,1.97733333333333
"510030101001063","510030101001","51003010100",4,2,50,2,100,0.064,3,32.25,1.841
"510030101001064","510030101001","51003010100",7,3,42.9,2,100,0.064,3,25.5714285714286,1.83771428571429
"510030101001065","510030101001","51003010100",5,3,60,2,100,0.064,3,33.8,2.0728
"510030101001066","510030101001","51003010100",6,4,66.7,2,100,0.064,10,39,3.394
