"Blkgr","tract","resproviders","bb253_num","bb253_per","bbmin_dl","bbmax_dl","bbmin_up","bbmax_up","avgMaxAdDown","avgMaxAdUp"
"511259501003","51125950100",6,4,66.7,1,1000,0.384,1000,66.3775510204082,28.5718285714286
"511259501004","51125950100",7,4,57.1,1.5,1000,0.064,1000,41.4287179487179,12.1627405128205
"511259502001","51125950200",9,7,77.8,1,1000,0.384,1000,191.949838187702,161.265229773463
"511259502002","51125950200",8,4,50,1.5,1000,0.064,1000,110.957994579946,74.2177669376694
"511259502003","51125950200",8,6,75,1.5,1000,0.384,1000,236.36855036855,204.67712039312
"511259502004","51125950200",9,6,66.7,2,1000,0.064,1000,119.176237623762,81.135001980198
"511259503001","51125950300",7,5,71.4,1,1000,0.384,1000,265.503078276165,74.8312154793316
"511259503002","51125950300",7,5,71.4,1.5,1000,0.384,1000,254.374053030303,45.7995378787879
"511259503003","51125950300",8,5,62.5,2,1000,0.064,1000,186.685512367491,27.5035241460542
"511259503004","51125950300",7,4,57.1,2,1000,0.064,1000,245.788177339901,26.3511527093596
"515400002011","51540000201",8,6,75,2,1000,0.064,1000,234.62962962963,98.3657037037037
"515400002012","51540000201",8,6,75,2,1000,0.064,1000,215.914772727273,68.7221590909091
"515400002013","51540000201",8,6,75,2,1000,0.064,1000,207.314285714286,63.1378857142857
"515400002021","51540000202",9,7,77.8,2,10000,0.064,10000,217.735426008969,90.7579013452915
"515400002022","51540000202",8,6,75,2,1000,0.064,1000,286.164556962025,132.822835443038
"515400002023","51540000202",8,6,75,2,1000,0.064,1000,265.745098039216,114.067117647059
"515400003021","51540000302",9,6,66.7,2,1000,0.064,1000,250.194444444444,113.377861111111
"515400003022","51540000302",9,6,66.7,2,1000,0.064,1000,209.290322580645,95.1106838709677
"515400004011","51540000401",8,6,75,2,1000,0.064,1000,248.285714285714,113.228197044335
"515400004012","51540000401",8,6,75,2,1000,0.064,1000,212,71.0896934306569
"515400004021","51540000402",8,5,62.5,2,1000,0.064,1000,235.245098039216,94.149862745098
"515400004022","51540000402",9,6,66.7,0.5,1000,0.064,1000,274.11496350365,133.345912408759
"515400004023","51540000402",8,5,62.5,1.5,1000,0.064,1000,218.959558823529,72.1443235294118
"515400004024","51540000402",9,5,55.6,0.5,1000,0.064,1000,238.682926829268,110.922471544715
"515400005011","51540000501",8,6,75,2,1000,0.064,1000,195.39837398374,62.6256260162602
"515400005012","51540000501",8,6,75,2,1000,0.064,1000,247.962264150943,91.3238113207547
"515400005013","51540000501",7,4,57.1,2,1000,0.064,1000,230.511627906977,76.025488372093
"515400005021","51540000502",8,5,62.5,0.5,1000,0.064,1000,230.487654320988,92.0717283950617
"515400005022","51540000502",7,4,57.1,2,1000,0.064,1000,276.706896551724,126.715137931034
"515400005023","51540000502",8,5,62.5,2,1000,0.064,1000,226.321428571429,89.0995714285714
"515400005024","51540000502",8,5,62.5,2,1000,0.064,1000,237.309090909091,79.0859636363636
"515400005025","51540000502",6,4,66.7,2,987,0.064,35,125.915254237288,5.07322033898305
"515400006001","51540000600",8,6,75,2,1000,0.064,1000,184.79012345679,48.8902469135802
"515400006002","51540000600",8,6,75,1.5,1000,0.064,1000,176.987179487179,31.6607179487179
"515400007001","51540000700",9,6,66.7,2,1000,0.064,1000,217.436781609195,97.1377931034483
"515400007002","51540000700",9,6,66.7,1.5,1000,0.064,1000,210.9875,90.1846
"515400007003","51540000700",7,5,71.4,1.5,987,0.064,35,76.5725806451613,3.56770967741935
"515400007004","51540000700",9,6,66.7,1.5,1000,0.064,1000,186.924242424242,60.0610666666667
"515400008001","51540000800",7,5,71.4,2,987,0.064,35,186.510204081633,7.35134693877551
"515400008002","51540000800",8,6,75,0.5,1000,0.064,1000,150.631913978495,16.4490322580645
"515400008003","51540000800",8,4,50,1.5,987,0.064,35,141.06,5.74490666666667
"515400008004","51540000800",8,6,75,1.5,1000,0.064,1000,103.240099009901,9.30875247524753
"515400009001","51540000900",9,6,66.7,2,1000,0.064,1000,214.125,79.1448409090909
"515400009002","51540000900",9,6,66.7,2,1000,0.064,1000,214.886666666667,85.5117866666667
"515400010001","51540001000",9,6,66.7,1.5,1000,0.064,1000,231.643595041322,98.6877851239669
"515400010002","51540001000",9,6,66.7,2,1000,0.064,1000,198.951048951049,79.0531188811189
"515400010003","51540001000",9,6,66.7,2,1000,0.064,1000,254.7265625,122.372046875
