,GEOID,mean,median,min,max,spatial_region
2,510030101001,89.68141617609166,89.22012665360002,67.01598512960004,105.17954563760006,blkgps
86,510030101002,81.68376493899876,82.72067721061131,35.031969821233055,110.42400220094173,blkgps
275,510030101003,92.60738582870246,92.00718016160003,66.18417578240003,114.43157889440003,blkgps
379,510030102011,89.10508414243503,88.86697682720003,67.33468131440003,122.248864076,blkgps
464,510030102012,90.95800234745782,90.17683045160004,74.21187427520003,117.99014787680002,blkgps
498,510030102021,93.59113114743148,93.35087218400005,73.41328808240003,109.14909734480003,blkgps
549,510030102022,91.13687272448507,90.90466363040005,72.76851278960001,111.346747484,blkgps
589,510030103001,98.87216850565967,98.01687964640003,84.13452305600002,115.81587699440003,blkgps
614,510030103002,91.95305368791527,91.00925504240007,76.06375751120008,113.26015508,blkgps
634,510030103003,91.54954104686864,90.47460835400003,72.25539962720003,119.61193000640002,blkgps
673,510030103004,94.60345000688037,95.60389424720005,76.54733898080002,113.36597697920001,blkgps
694,510030103005,92.89910293417697,93.16752959120001,72.97646512640007,114.76996287440002,blkgps
724,510030104011,90.66850534870858,89.98918115360003,65.15548848320002,115.3372174736,blkgps
825,510030104012,92.81423025512187,92.58181768400004,75.76310847200003,115.84417820000003,blkgps
934,510030104013,86.51457569304411,85.64925279920004,75.15073600880002,107.78694801440005,blkgps
1079,510030104021,85.84090407397692,84.8592800168,79.13874502400002,107.97398206880003,blkgps
1150,510030104022,87.84227359005453,87.00032774480002,80.15758842560005,112.73719802000002,blkgps
1208,510030105001,84.58897418467636,84.2095827752,76.8451168832,98.12024057120004,blkgps
1242,510030105002,88.10796079720998,85.94703070160004,77.77290423200006,109.81971286880008,blkgps
1312,510030105003,93.55038816808201,91.61219377040004,81.27610129040004,134.30517766160003,blkgps
1343,510030106011,90.35049737747191,88.51874894960002,80.97586241360005,111.84140333840003,blkgps
1365,510030106012,92.34135252447942,91.73524249040007,81.97624850720001,119.95646642240006,blkgps
1396,510030106013,99.5094198303691,101.05618303040004,83.55619407200005,119.092664408,blkgps
1419,510030106021,89.98598754670192,88.34401976720004,81.11490746720003,108.78241215920004,blkgps
1462,510030106022,92.233515047736,92.32033915400004,82.77114323840004,106.27960119440002,blkgps
1477,510030107001,101.47354471012031,100.85807459120007,87.12337646480005,122.57986513280002,blkgps
1491,510030107002,97.48945529875098,97.87291264400002,83.25226373360006,110.33651749280003,blkgps
1517,510030107003,102.7970765241784,104.17300710800001,83.29286981120006,128.41114397360002,blkgps
1535,510030108001,88.26366403392237,85.60495526000001,75.99485022800003,117.14357268320008,blkgps
1577,510030108002,95.80988116417205,95.97673186880007,87.58603965200005,104.48678134400004,blkgps
1583,510030108003,92.11418579373684,90.92681240000005,85.50897725840004,105.80709410960004,blkgps
1597,510030108004,91.17271916991139,89.63603132720003,83.29656127280003,103.21199660480002,blkgps
1605,510030108005,87.22617121649512,86.20789398800005,78.62070991280002,105.58314543920004,blkgps
1634,510030109011,94.55852345921043,95.11908229040004,78.15435526400003,111.71589364400005,blkgps
1659,510030109012,98.16501014087156,98.16330762320005,80.80851615440005,117.09066173360006,blkgps
1667,510030109021,87.42189627860004,84.87404586320005,80.44552243040005,108.19916122640004,blkgps
1689,510030109022,97.40811157121792,95.98042333040001,88.34894171600003,108.51047448800004,blkgps
