,GEOID,mean,median,min,max,spatial_region
3,510030101001000,86.51800831335387,86.59426696880003,80.13297868160004,92.94973335680004,blocks
4,510030101001001,89.0932259736696,89.13276206240003,84.73992275840007,91.94196434000003,blocks
5,510030101001002,89.77868501348819,88.92173350760004,86.31863783600005,99.07879010000002,blocks
6,510030101001003,90.08608202060005,89.81014526600003,89.04662795840007,91.67740959200003,blocks
7,510030101001004,89.42732176750772,89.81199099680003,86.73946445840002,91.11753791600003,blocks
8,510030101001005,84.51976943688707,82.96309924160003,80.69531133200005,93.42347092880001,blocks
9,510030101001006,86.54963314738387,87.2747263904,80.69285035760007,91.99856675120003,blocks
10,510030101001007,85.91577754401983,85.52128213040002,80.81343810320007,93.56128549520005,blocks
11,510030101001008,86.34215926064385,86.26941834800003,80.82328200080002,92.51906283680006,blocks
12,510030101001009,84.89559873648305,84.65009719280008,81.71907668240004,89.74800566240002,blocks
13,510030101001010,81.53620199139685,80.85281369360004,77.65723843520004,92.72455419920004,blocks
14,510030101001011,84.38758931293083,82.88742427880003,80.86757954000005,93.55636354640004,blocks
15,510030101001012,88.66283658800003,88.33171489520005,86.53397309600003,92.5498250168,blocks
16,510030101001013,85.13147081679547,84.90849950480005,81.26748788000005,90.33494805680007,blocks
17,510030101001014,85.6407093028455,85.31886698600003,82.43275925840005,90.13314815600005,blocks
18,510030101001015,88.73130772566155,88.92542496920004,84.90849950480003,91.80045831200006,blocks
19,510030101001016,86.17027623645717,86.22758178320002,85.07092381520002,86.91173266640004,blocks
20,510030101001017,86.42158859840002,86.67055717520003,84.61318257680003,87.73492860320002,blocks
21,510030101001018,85.15285736781681,85.13983109840008,78.96893779040003,94.05348037520004,blocks
22,510030101001019,81.8145976223888,80.64609184400004,71.19348917360003,94.75978002800005,blocks
23,510030101001020,90.20661548000004,90.67948447280004,87.16152156800007,91.95303872480005,blocks
24,510030101001021,88.8305940615917,88.02163212080004,79.54111433840002,101.01680744000005,blocks
25,510030101001022,87.88471245418187,87.71524080800005,86.87481805040007,90.80253319280001,blocks
26,510030101001023,90.58407438836926,90.52321259840001,89.15860229360003,92.33941170560004,blocks
27,510030101001024,83.65094158640002,83.67985803560002,81.22565131520005,85.95195265040005,blocks
28,510030101001025,83.58418765580002,83.52850811000003,81.44713901120006,86.05777454960007,blocks
29,510030101001026,81.0082354132073,81.03738677360003,79.31470469360006,82.22234594720005,blocks
30,510030101001027,84.81784925097026,84.17328340280005,80.11821283520001,92.24343370400003,blocks
31,510030101001028,82.52067832840004,81.95902168640005,79.35161930960004,88.21112714960006,blocks
32,510030101001029,85.01309091680007,85.01309091680007,85.01309091680007,85.01309091680007,blocks
33,510030101001030,86.70642359840004,86.66440473920001,85.40930779520005,88.02901504400003,blocks
34,510030101001031,86.06101027520005,85.96179654800002,84.21573521120006,88.63195377200003,blocks
35,510030101001032,84.5894878993375,84.20466082640004,80.29417250480006,90.64995278000004,blocks
36,510030101001033,88.13553514099331,88.15452473840003,83.64355866320001,91.65033887360003,blocks
37,510030101001034,83.57113570228576,83.50451360960004,82.68377864720007,84.44337534320005,blocks
38,510030101001035,85.52182901360004,85.56188820800003,84.5873423456,86.50813286480002,blocks
39,510030101001036,83.5816556917539,83.34762649160002,82.36385197520002,85.43514802640006,blocks
40,510030101001037,85.34077759678712,84.95033606960003,83.03815896080006,88.91127436640004,blocks
41,510030101001038,90.32129072266216,89.23304676920003,85.21366033040003,103.61928786800009,blocks
42,510030101001039,86.05625694872003,86.32294454120004,81.74368642640002,89.68278984080001,blocks
43,510030101001040,87.21239394925378,87.30671905760005,82.82282370080004,91.12369035200001,blocks
44,510030101001041,86.02972159293077,85.76368810880003,80.62640404880005,94.8779067992,blocks
45,510030101001042,82.77483470000004,82.49305313120004,81.39545854880004,85.13121768800005,blocks
46,510030101001043,89.89572198111793,89.15121937040004,82.23342033200004,99.58575082640004,blocks
47,510030101001044,86.89188349582955,87.87274316960004,81.27240982880001,90.48137603360001,blocks
48,510030101001045,86.11005102923754,86.16482693600005,84.79037273360004,87.38300926400002,blocks
49,510030101001046,86.83003672990773,86.86374366560003,83.34578076080003,90.54905282960002,blocks
50,510030101001048,90.11348879311018,89.24350591040003,86.39000609360002,99.29412536000001,blocks
51,510030101001049,87.75553290234478,87.10799537480005,78.98124266240006,100.73871733280001,blocks
52,510030101001050,91.14012966099203,90.89051302760002,88.40062217840006,95.26181880560006,blocks
53,510030101001051,90.3219400492572,90.34848341600006,89.79107271440003,90.85913560400002,blocks
54,510030101001052,90.97416890737946,90.90343314320005,87.8887395032,98.04271987760006,blocks
55,510030101001053,86.36932535969709,86.72162239400002,79.85734954880003,93.01741015280003,blocks
56,510030101001054,90.23653370546808,89.62987889120005,85.62587354240003,101.58775350080005,blocks
57,510030101001055,90.24929703860646,90.18605910560005,78.54565019360003,101.60744129600003,blocks
58,510030101001056,89.18864855377457,88.82021831360005,86.96587410320004,92.99772235760004,blocks
59,510030101001057,88.33772318664619,88.23635213720006,78.44105878160005,98.04518085200004,blocks
60,510030101001058,83.85192116240003,83.78383420400002,83.27564299040002,84.49628629280005,blocks
61,510030101001059,90.61880943451014,90.86590328360006,74.51088266480001,101.39087554880004,blocks
62,510030101001060,83.92052082380002,84.15605658200005,82.63086769760007,85.27026274160006,blocks
63,510030101001061,90.17802951967468,89.19305593520004,86.31002442560005,98.58044278400004,blocks
64,510030101001062,87.5510586587429,86.77268761280007,79.89549465200001,96.51568526240003,blocks
65,510030101001063,82.82894375555793,83.07322784600002,74.94401415920007,90.0630103856001,blocks
66,510030101001064,89.14272282191288,90.10300121960003,74.39890832960005,100.43232602000003,blocks
67,510030101001065,86.0309660661771,85.45606630880003,80.12067380960008,92.19421421600003,blocks
68,510030101001066,97.33436941280003,97.83599802800002,94.62442643600005,98.77116830000001,blocks
69,510030101001067,87.52746846128004,86.78745345920004,85.35024440960005,91.39931948480003,blocks
70,510030101001068,84.7412370422194,84.50736067759999,80.22526522160008,91.91858508320009,blocks
71,510030101001069,81.97699558871432,81.67847060480004,80.80482469280004,84.80636906720001,blocks
72,510030101001070,88.1938851671549,87.62110853720002,75.40052491040001,102.29282266640004,blocks
73,510030101001071,89.48413811158794,89.52897894080002,77.19580573520001,100.39418091680002,blocks
74,510030101001072,82.49062541321085,82.40076659120005,80.27817617120004,84.92572632560004,blocks
75,510030101001073,84.48644239520004,84.48644239520004,84.48644239520004,84.48644239520004,blocks
