"locationname","countyname","totalpopulation","Coronary_Heart_Disease2018","Binge_Drinking2018","Mental_Health2018","High_Blood_Pressure2017","Physical_Inactivity2018","Diabetes2018","Current_Smoking2018","Cancer_except_skin2018","Current_Asthma2018","Dental_Visit2018","High_Cholesterol2017","COPD2018","Obesity2018","Physical_Health2018","Health_Insurance2018","less_than_sevenhr_sleep2018","Annual_Checkup2018"
"51540000600","Charlottesville","4351","2.2","19.2","21.1","13.6","23.1","4","19.1","1.4","10.4","56.6","14.9","4","24.1","9.6","19.4","40.2","72.1"
"51540000800","Charlottesville","3642","7.1","15.8","11.2","33.7","21.2","10.5","14.2","8.4","8.7","73.2","36.1","6.7","27.6","11.3","12.7","34.4","80.5"
"51540001000","Charlottesville","2783","5.1","19.1","10.3","27.8","16.1","7.9","11.5","6.9","8","77.6","31.4","4.5","26.2","8.7","9.8","33.1","78.1"
"51540000401","Charlottesville","3324","5.8","16.7","16.2","33.5","27.2","12.1","21.8","5","10.7","60","31","7","35.9","13.8","18.6","42.3","78.2"
"51540000501","Charlottesville","3305","5.9","16.2","18.2","33.4","29.8","12.8","24.5","4.4","11.3","54.1","30.1","7.6","37.7","15.2","21.1","44.3","77.7"
"51540000201","Charlottesville","2791","3.5","21.2","15","21.6","18.8","6.7","15.4","3.6","9.5","68.9","23.3","4.2","26.5","8.9","14.1","36.9","74.7"
"51540000700","Charlottesville","4278","3.9","20.7","12.9","20.6","16.2","5.9","12.2","4.7","8.8","75.6","25.6","4.1","23.2","8","10.8","33.7","75.8"
"51540000502","Charlottesville","4675","3.9","21.2","11","23","15.8","6.6","12.9","5.4","8.1","76.4","27.1","4","25.3","7.8","11.3","34.3","76.1"
"51540000202","Charlottesville","5617","3.1","19.5","25.4","17.2","26.3","5.9","23","1.9","12.7","52.7","17.5","5.8","28.4","12.2","20.9","40.8","72.8"
"51540000302","Charlottesville","2461","4.4","19.9","11.8","25.1","18","7.5","14.6","5.8","8.6","74.4","29.1","4.8","27.6","9.2","12.3","35.4","76.9"
"51540000402","Charlottesville","3983","5.3","19.3","13.9","27.5","21.6","8.8","18.5","5.8","9.3","68.5","30.4","6.1","30.2","11.3","14.8","37.7","76.4"
"51540000900","Charlottesville","2265","5.2","18.5","11.5","28.3","18.4","8.2","14.1","7","8.6","75.8","32","5.3","27.1","9.7","10.8","34.7","78.4"
"51003010903","Albemarle","2613","1.8","18.4","29.7","12.3","27.2","3","23.9","0.8","13.2","46.2","10.7","5.5","27.2","12.8","23.8","40.7","71.5"
"51003011100","Albemarle","7024","5.5","17.8","10.6","28.8","16.5","8.1","12.4","7.4","8.4","78.3","32.9","5.4","26.8","9.7","9.6","32.1","79"
"51003011201","Albemarle","4092","6.6","17.2","11.6","32.7","19","9.7","14.3","7.7","8.8","75.2","36","6.7","28.7","11.5","10.9","32.9","79.5"
"51003010602","Albemarle","2697","5.5","16.8","10.3","28.7","16.2","8.3","11.6","7.5","8.4","78.4","32.8","5.2","26.6","9.5","9.2","31.9","79.8"
"51003010300","Albemarle","8098","5.7","17.1","11.4","28.8","18.5","8.7","14.1","7.1","8.6","75.5","32.9","5.9","27.1","10.7","11.3","33.5","78.9"
"51003010902","Albemarle","3191","1.3","21.5","18.8","11","17.8","2.6","15.1","1.1","10.1","65.4","12","2.9","20.1","7.1","17.5","36.6","72"
"51003010601","Albemarle","5817","7.9","14.8","11.3","34.1","21.7","10.5","13.1","8.9","8.7","72.6","35","7","27.3","12","13.8","33","81"
"51003010800","Albemarle","5325","6","16.8","11.1","28.9","18.2","8.5","11.9","7.3","8.7","75.3","30.8","5.4","26.9","9.9","12.6","33.2","79.7"
"51003011400","Albemarle","4351","8.2","15.6","14.5","36.8","25.4","12.9","19.9","7.5","10","65.6","36.7","9.1","33.3","15","15.5","37","79.7"
"51003010500","Albemarle","4543","6.7","16.2","9.9","31.1","17.3","8.4","10.7","9","8","78.5","33.4","5.5","24.1","9.6","10.4","30.5","80.7"
"51003010401","Albemarle","4331","6.9","16.4","11.3","33.7","19.5","10.4","14.1","8.2","8.8","75.5","36","6.9","28.4","11.5","10.9","33.1","80.7"
"51003011302","Albemarle","3765","3.7","19.8","16.7","21.6","21.9","6.6","18.7","3.2","9.8","61.4","23.1","4.9","29.9","10.7","20.7","37.9","73.2"
"51003010901","Albemarle","1900","4.8","17.2","11.6","20.9","17.4","5.7","10.9","4.9","7.4","70","23.2","3.5","20.7","7.8","13.3","33.7","75.1"
"51003010202","Albemarle","3077","6.8","15.8","9.3","33.8","16","9.5","10.7","9.1","8.1","80.9","38.1","6","26.3","10.2","7.6","30.1","82"
"51003010100","Albemarle","5190","7","16.7","11.7","33.5","19.5","10","14.8","8.2","8.8","75.2","37.1","7.2","28.1","11.9","10.7","32.7","80"
