"h_geocode","avgc_all","medc_all","commutersInBlockall","avgc_within40","medc_within40","commuterw40","avgc_25_employees","medc_25_employees","commuter25","avgc_workinRegion","medc_workinRegion","commuterinRegion"
"510030101001002",27.659969209524,3.73587560515998,23,7.53413325963752,2.58363180916751,18,19.6865203816555,2.72035143486762,20,4.5812529488134,2.55187250235592,16
"510030101001003",7.88220961287483,7.88220961287483,2,7.88220961287483,7.88220961287483,2,7.88220961287483,7.88220961287483,2,7.88220961287483,7.88220961287483,2
"510030101001004",66.4882022808373,66.4882022808373,1,NA,NA,NA,66.4882022808373,66.4882022808373,1,NA,NA,NA
"510030101001005",96.9694106034349,4.43845114702436,3,3.1897159253209,3.1897159253209,2,3.1897159253209,3.1897159253209,2,3.1897159253209,3.1897159253209,2
"510030101001009",4.01999101364748,4.01999101364748,1,4.01999101364748,4.01999101364748,1,4.01999101364748,4.01999101364748,1,4.01999101364748,4.01999101364748,1
"510030101001010",44.911344947187,10.5422648855202,25,8.15843263976854,6.60789495747164,15,22.9629506159193,8.84597804555343,20,6.20665303996398,5.15745520021062,13
"510030101001011",50.7633446746085,48.2465905304823,4,4.52505193527315,4.52505193527315,2,4.52505193527315,4.52505193527315,2,4.52505193527315,4.52505193527315,2
"510030101001013",39.5689849616609,7.97287603462572,3,5.3996099894906,5.3996099894906,2,5.3996099894906,5.3996099894906,2,5.3996099894906,5.3996099894906,2
"510030101001014",137.855915812726,137.855915812726,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510030101001016",4.64793374996072,4.64793374996072,1,4.64793374996072,4.64793374996072,1,4.64793374996072,4.64793374996072,1,4.64793374996072,4.64793374996072,1
"510030101001017",6.08848081468803,6.08848081468803,1,6.08848081468803,6.08848081468803,1,6.08848081468803,6.08848081468803,1,6.08848081468803,6.08848081468803,1
"510030101001018",30.7859076083104,7.84022396349338,27,7.76455661341716,6.63405459984091,20,15.1960178574878,6.77346958545872,23,8.05153742338379,6.63405459984091,20
"510030101001019",20.1622349049775,9.29595414724185,31,8.9946792562862,8.01534996019917,25,20.1622349049775,9.29595414724185,31,8.17452172339757,8.01534996019917,23
"510030101001021",18.0055546169161,7.34257944961692,24,6.70504383336208,7.13628964806578,21,14.3646786079629,7.30680356385058,23,6.70504383336208,7.13628964806578,21
"510030101001024",94.07240379017,94.07240379017,1,NA,NA,NA,94.07240379017,94.07240379017,1,NA,NA,NA
"510030101001027",56.9484564193294,72.2005348882175,3,7.11499228614951,7.11499228614951,1,56.9484564193294,72.2005348882175,3,7.11499228614951,7.11499228614951,1
"510030101001029",18.99145002385,18.99145002385,2,18.99145002385,18.99145002385,2,8.79118052913338,8.79118052913338,1,8.79118052913338,8.79118052913338,1
"510030101001030",6.99556134622869,6.99556134622869,1,6.99556134622869,6.99556134622869,1,6.99556134622869,6.99556134622869,1,6.99556134622869,6.99556134622869,1
"510030101001031",14.2577950894145,7.73357212866736,3,14.2577950894145,7.73357212866736,3,14.2577950894145,7.73357212866736,3,6.05757572980306,6.05757572980306,2
"510030101001036",40.8326405461051,40.8326405461051,2,6.69290647602855,6.69290647602855,1,40.8326405461051,40.8326405461051,2,6.69290647602855,6.69290647602855,1
"510030101001037",46.773037058961,45.7403520156194,4,6.03912298135382,6.03912298135382,2,31.9367342758149,7.7487471665017,3,6.03912298135382,6.03912298135382,2
"510030101001038",27.1038978807009,5.26446972356404,84,7.5865857483203,4.11401058397323,64,20.6868810483323,4.91276259908111,78,5.23071948369394,4.05799573890447,58
"510030101001039",2.7677092664737,2.7677092664737,1,2.7677092664737,2.7677092664737,1,2.7677092664737,2.7677092664737,1,2.7677092664737,2.7677092664737,1
"510030101001040",5.96925513168296,3.62998286986673,3,5.96925513168296,3.62998286986673,3,5.96925513168296,3.62998286986673,3,5.96925513168296,3.62998286986673,3
"510030101001041",26.4855110616497,4.66131675290692,11,3.98022773053305,3.71359819239445,7,22.4222199927518,4.59273911155644,10,3.98022773053305,3.71359819239445,7
"510030101001042",2.80105499470291,2.80105499470291,1,2.80105499470291,2.80105499470291,1,2.80105499470291,2.80105499470291,1,2.80105499470291,2.80105499470291,1
"510030101001043",21.0160042457053,5.8475243810348,24,9.92922190166879,5.3379255622165,21,15.403600608183,5.78683447511599,23,6.47342156970974,5.29009132809965,17
"510030101001044",5.75942361514678,5.75942361514678,2,5.75942361514678,5.75942361514678,2,5.75942361514678,5.75942361514678,2,5.75942361514678,5.75942361514678,2
"510030101001046",9.43723191979649,4.00527040886064,4,9.43723191979649,4.00527040886064,4,2.85249198921436,3.85001875653343,3,2.85249198921436,3.85001875653343,3
"510030101001048",19.6302675933448,5.59975577238817,7,5.50250202953672,5.59975577238817,6,5.50250202953672,5.59975577238817,6,5.50250202953672,5.59975577238817,6
