"GEOID","STATE","COUNTY","TRACT","CNTY_FIPS","hh1_control_hh_income_frac","hh1_control_hh_income","hh1_control_hh_size","hh1_control_hh_commuters","hh1_fixes","hh1_model_autos_per_hh_owners","hh1_model_h_cost_owners","hh1_model_pct_transit_commuters","hh1_model_vmt_per_hh_owners","hh1_model_autos_per_hh_renters","hh1_model_h_cost_renters","hh1_model_pct_transit_commute_1","hh1_model_vmt_per_hh_renters","hh1_model_autos_per_hh","hh1_model_h_cost","hh1_model_pct_transit_commute_2","hh1_model_vmt_per_hh","hh1_alpha","hh1_beta","hh1_gas_price","hh1_mpg","hh1_income_bin","hh1_auto_own_cost_owners","hh1_vmt_cost_owners","hh1_transit_cost_owners","hh1_transit_trips_owners","hh1_t_cost_owners","hh1_t_owners","hh1_h_owners","hh1_ht_owners","hh1_auto_own_cost_renters","hh1_vmt_cost_renters","hh1_transit_cost_renters","hh1_transit_trips_renters","hh1_t_cost_renters","hh1_t_renters","hh1_h_renters","hh1_ht_renters","hh1_auto_own_cost","hh1_vmt_cost","hh1_transit_cost","hh1_transit_trips","hh1_t_cost","hh1_t","hh1_h","hh1_ht","hh1_pctile_all","hh1_pctile_own","hh1_pctile_rent","hh3_control_hh_income_frac","hh3_control_hh_income","hh3_control_hh_size","hh3_control_hh_commuters","hh3_fixes","hh3_model_autos_per_hh_owners","hh3_model_h_cost_owners","hh3_model_pct_transit_commuters","hh3_model_vmt_per_hh_owners","hh3_model_autos_per_hh_renters","hh3_model_h_cost_renters","hh3_model_pct_transit_commute_1","hh3_model_vmt_per_hh_renters","hh3_model_autos_per_hh","hh3_model_h_cost","hh3_model_pct_transit_commute_2","hh3_model_vmt_per_hh","hh3_alpha","hh3_beta","hh3_gas_price","hh3_mpg","hh3_income_bin","hh3_auto_own_cost_owners","hh3_vmt_cost_owners","hh3_transit_cost_owners","hh3_transit_trips_owners","hh3_t_cost_owners","hh3_t_owners","hh3_h_owners","hh3_ht_owners","hh3_auto_own_cost_renters","hh3_vmt_cost_renters","hh3_transit_cost_renters","hh3_transit_trips_renters","hh3_t_cost_renters","hh3_t_renters","hh3_h_renters","hh3_ht_renters","hh3_auto_own_cost","hh3_vmt_cost","hh3_transit_cost","hh3_transit_trips","hh3_t_cost","hh3_t","hh3_h","hh3_ht","hh3_pctile_all","hh3_pctile_own","hh3_pctile_rent"
"51003011202","51","003","011202","51003",1,61664,4,2,0,2.61,1287,2.2,35553,2.22,1349,0.8,34039,2.563558863,1294.38295,2.033288227,35372.71313,25.29794073,42.1967965,3.745,21.6,3,10169.27398,8147.319992,187.749633,111.3109392,18504.3436,30.00834134,25.04540737,55.0537487,8649.72729,7800.371986,68.27259383,67.5148744,16518.37187,26.78770737,26.25194603,53.0396534,9988.326603,8106.00548,173.5223266,106.0957109,18267.85441,29.62482877,25.1890818,54.81391056,27.8423845,22.41739966,77.11890909,0.5,30832,1,1,0,1.86,672,0,22342,1.51,892,1.5,21726,1.818322057,698.1975643,0.178619756,22268.64682,25.29794073,42.1967965,3.745,21.6,2,6875.624655,5121.575755,0,0,11997.20041,38.91152183,26.15464453,65.06616635,5581.824316,4980.366791,64.00555672,63.29519475,10626.19666,34.4648309,34.71717696,69.18200786,6721.559121,5104.760614,7.621771301,7.537181513,11833.94151,38.38201059,27.1742695,65.55628009,10.28280179,8.261543739,25.56818182
"51003010202","51","003","010202","51003",1,61664,4,2,0,2.56,1262,2.3,36615,2.14,1304,0,32764,2.517850534,1266.214947,2.069181495,36228.52954,25.29794073,42.1967965,3.745,21.6,3,9974.460298,8390.687749,196.2837073,116.3705273,18561.43175,30.10092072,24.55889984,54.65982057,8338.025406,7508.193183,0,0,15846.21859,25.69768194,25.37623249,51.07391442,9810.234448,8302.124237,176.5854847,104.6920616,18288.94417,29.65902985,24.64092397,54.29995383,24.31582105,17.7342439,78.53253901,0.5,30832,1,1,0,1.8,658,0,22909,1.43,863,0,21215,1.762868327,678.5729537,0,22738.99715,25.29794073,42.1967965,3.745,21.6,2,6653.830311,5251.552187,0,0,11905.3825,38.61372113,25.6097561,64.22347723,5286.098525,4863.227537,0,0,10149.32606,32.91815666,33.5884795,66.50663616,6516.570395,5212.581528,0,0,11729.15192,38.04213779,26.41046784,64.45260563,9.929309542,9.21825784,23.40425532
"51003010201","51","003","010201","51003",1,61664,4,2,0,2.56,1320,2.2,35413,2.22,1289,0.5,34580,2.52025974,1316.376623,2.001298701,35315.63636,25.29794073,42.1967965,3.745,21.6,3,9974.460298,8115.237614,187.749633,111.3109392,18277.44755,29.64038587,25.6875973,55.32798318,8649.72729,7924.347463,42.67037115,42.1967965,16616.74512,26.94723846,25.08432797,52.03156643,9819.621375,8092.925778,170.7923167,103.2326628,18083.33947,29.32560241,25.6170853,54.94268771,39.45570819,36.10503329,66.04814815,0.5,30832,1,1,0,1.81,688,0,22147,1.51,852,1.2,21793,1.774935065,707.1688312,0.14025974,22105.62338,25.29794073,42.1967965,3.745,21.6,2,6690.796035,5076.874865,0,0,11767.6709,38.1670696,26.77737416,64.94444376,5581.824316,4995.725558,51.20444537,50.6361558,10628.75432,34.47312636,33.16035288,67.63347924,6561.175964,5067.389882,5.984935174,5.918511717,11634.55078,37.73531,27.5234366,65.25874661,9.157066356,7.816937417,29.28185185
"51003010401","51","003","010401","51003",1,61664,4,2,0,2.63,1264,1.6,35412,2.14,1179,0,32365,2.525773481,1245.91989,1.259668508,34763.88122,25.29794073,42.1967965,3.745,21.6,3,10247.19945,8115.008454,136.5451877,80.95341032,18498.75309,29.99927525,24.59782045,54.59709569,8338.025406,7416.758405,0,0,15754.78381,25.54940291,22.94369486,48.49309777,9841.104416,7966.485654,107.5010455,63.73403851,17915.09112,29.05275544,24.24597605,53.2987315,43.25765923,31.79987782,71.93142857,0.5,30832,1,1,0,1.88,659,0,22673,1.43,780,0,21363,1.784281768,684.7375691,0,22394.35359,25.29794073,42.1967965,3.745,21.6,2,6949.556103,5197.452649,0,0,12147.00875,39.39740773,25.6486767,65.04608443,5286.098525,4897.154366,0,0,10183.25289,33.02819438,30.35806954,63.38626392,6595.726728,5133.577048,0,0,11729.30378,38.04263031,26.65039838,64.69302869,20.03170386,13.60529455,32.84277056
"51003010402","51","003","010402","51003",1,61664,4,2,10,2.58,1221,4.1,37246,2.16,1264,0.6,33409,2.533726316,1225.737544,3.714385965,36823.25684,25.29794073,42.1967965,3.745,21.6,3,10052.38577,8535.287611,349.8970434,207.4431139,18937.57042,30.7109017,23.7610275,54.4719292,8415.950877,7656.001283,51.20444537,50.6361558,16123.15661,26.14679003,24.59782045,50.74461048,9872.090837,8438.411854,316.9884554,190.1668386,18627.49115,30.20804869,23.85322153,54.06127023,29.11425768,27.66501587,63.81900637,0.5,30832,1,1,10,1.83,637,0.4,23038,1.45,837,1.3,21478,1.788133333,659.0350877,0.499157895,22866.12632,25.29794073,42.1967965,3.745,21.6,2,6764.727483,5281.123545,17.06814846,10.11917629,12062.91918,39.12467299,24.79242346,63.91709645,5360.029973,4923.516429,55.47148249,54.85583545,10339.01788,33.53339999,32.57654385,66.10994384,6609.964319,5241.724024,21.29925263,15.04805733,11872.9876,38.50865203,25.65004233,64.15869437,15.65855926,13.53580247,45.59235669
"51003011301","51","003","011301","51003",1,61664,4,2,0,2.62,1292,1.8,34486,2.1,1090,0,32019,2.504616037,1247.177768,1.400593975,33938.59185,25.29794073,42.1967965,3.745,21.6,3,10208.23671,7902.806437,153.6133361,91.07258661,18264.65648,29.61964272,25.14270887,54.76235159,8182.174463,7337.469098,0,0,15519.64356,25.16807791,21.21172807,46.37980598,9758.669229,7777.362471,119.5277295,70.86428674,17655.55943,28.63187505,24.27045476,52.9023298,46.48117203,42.63410926,46.2547457,0.5,30832,1,1,0,1.87,674,0,22151,1.39,721,0.7,21063,1.763491727,684.4289351,0.155324565,21909.58125,25.29794073,42.1967965,3.745,21.6,2,6912.590379,5077.791807,0,0,11990.38219,38.88940771,26.23248573,65.12189344,5138.235629,4828.383767,29.8692598,29.53775755,9996.488656,32.42244634,28.06175402,60.48420036,6518.874836,5022.450099,6.627756842,6.554199066,11547.95269,37.45443919,26.63838616,64.09282535,12.76933394,9.054726841,19.15135755
"51109950202","51","109","950202","51109",1,54662,4,2,0,2.62,1187,2,34731,2.13,1047,0,33172,2.540086798,1164.167656,1.673823664,34476.74555,10.84688007,10.3626933,3.745,21.6,3,10208.23671,7958.950599,41.91597523,43.38752026,18209.10329,33.312179,26.05832205,59.37050105,8299.06267,7601.6904,0,0,15900.75307,29.08922665,22.98488895,52.0741156,9896.873014,7900.685688,35.07997561,36.31152906,17832.63868,32.62346544,25.55708148,58.18054692,48.26652288,40.06462063,75.13727731,0.5,27331,1,1,0,1.87,619,0,21999,1.42,692,0,21339,1.796610324,630.9054363,0,21891.36181,10.84688007,10.3626933,3.745,21.6,2,6912.590379,5042.948037,0,0,11955.53842,43.74350889,27.17792982,70.92143871,5249.132801,4891.652718,0,0,10140.78552,37.10360221,30.38308148,67.48668369,6641.30013,5018.27356,0,0,11659.57369,42.66061867,27.70065214,70.36127081,22.94376471,20.1970503,32.94809524
"51540000202","51","540","000202","51540",1,61664,4,2,0,2.17,1503,10.3,23979,1.77,1179,7.9,23470,1.897475103,1282.254833,8.664850615,23632.21207,25.29794073,42.1967965,3.745,21.6,3,8454.913612,5495.023939,879.0096456,521.1375789,14828.9472,24.04798131,29.24883238,53.29681369,6896.404191,5378.381577,674.1918641,666.7093847,12948.97763,20.99925018,22.94369486,43.94294504,7393.082061,5415.55407,739.4647833,620.3174325,13548.10091,21.97084347,24.95306499,46.92390846,85.3030388,62.0250038,91.46917971,0.5,30832,1,1,0,1.42,784,6.6,11980,1.06,780,8.6,12788,1.174727592,781.274751,7.962624487,12530.50029,25.29794073,42.1967965,3.745,21.6,2,5249.132801,2746.23926,281.6244496,166.9664088,8276.99651,26.84547389,30.51375195,57.35922584,3918.366739,2931.461407,366.9651919,362.8924499,7216.793337,23.40682842,30.35806954,53.76489795,4342.465589,2872.433376,339.7681422,300.4532195,7554.667108,24.50268263,30.40768362,54.91036624,63.76684432,17.39467681,74.93434222
"51540000302","51","540","000302","51540",1,61664,4,2,0,2.3,1330,4.2,25124,1.88,1245,5.5,23964,2.108582616,1291.260767,4.792482381,24595.32341,25.29794073,42.1967965,3.745,21.6,3,8961.429174,5757.411962,358.4311176,212.5027021,15077.27225,24.45068801,25.88220031,50.33288832,7324.994282,5491.586541,469.3740826,464.1647615,13285.95491,21.54572345,24.22807473,45.77379817,8215.614681,5636.260517,408.9940038,327.1991144,14260.8692,23.12673392,25.12832319,48.2550571,43.90874786,31.36750685,59.15112027,0.5,30832,1,1,0,1.55,694,0.5,13093,1.17,824,6.2,13372,1.376812843,753.2482381,3.097807361,13220.15583,25.29794073,42.1967965,3.745,21.6,2,5729.687212,3001.378183,21.33518557,12.64897036,8752.400581,28.38739161,27.01089777,55.39828938,4324.989702,3065.33484,264.5563011,261.6201383,7654.880843,24.8277142,32.07057602,56.89829023,5089.488347,3030.526792,132.1845898,126.1189936,8252.199729,26.76504842,29.31687486,56.08192328,18.40823328,12.04191781,31.0985567
"51540000401","51","540","000401","51540",1,61664,4,2,0,2.22,1313,7.4,23972,1.85,1272,9.1,23108,2.031644498,1292.128174,8.26541717,23532.16445,25.29794073,42.1967965,3.745,21.6,3,8649.72729,5493.41982,631.521493,374.4095227,14774.6686,23.95995816,25.55137519,49.51133336,7208.106075,5295.425713,776.6007549,767.9816963,13280.13254,21.53628137,24.75350285,46.28978422,7915.842729,5392.627173,705.3768367,574.7648856,14013.84674,22.72613963,25.14520318,47.87134281,66.26256548,35.38230603,86.50675534,0.5,30832,1,1,0,1.47,685,3.7,13437,1.14,842,9.8,13592,1.302007255,764.923821,6.805320435,13515.90568,25.29794073,42.1967965,3.745,21.6,2,5433.961421,3080.235136,157.8803732,93.60238068,8672.07693,28.12687121,26.66061235,54.78748356,4214.09253,3115.766613,418.1696372,413.5286057,7748.02878,25.12982869,32.77114686,57.90097555,4812.964077,3098.323107,290.3855487,256.4668797,8201.672733,26.60117,29.77129558,56.37246557,41.52617864,14.78553323,62.51942993
