"ID","statefips","countyfips","tractfips","blkgpfips","PRE1960PCT","DSLPM","CANCER","RESP","PTRAF","PWDIS","PNPL","PRMP","PTSDF","OZONE","PM25","P_LDPNT","P_DSLPM","P_CANCR","P_RESP","P_PTRAF","P_PWDIS","P_PNPL","P_PRMP","P_PTSDF","P_OZONE","P_PM25","T_LDPNT","T_DSLPM","T_CANCR","T_RESP","T_PTRAF","T_PWDIS","T_PNPL","T_PRMP","T_PTSDF","T_OZONE","T_PM25"
"511099505002","51","109","950500","2",0.046827794561933,0.218774649066,29.6129418659468,0.391459120348444,NA,3.5646410514e-05,0.042150314943048,0.052866384857631,0.046646963245085,40.6068215686275,7.6450098630137,27.4327912005038,22.5628231208857,41.9711432114256,39.1199371493388,NA,49.5864585104698,36.9172723464379,5.24809878680915,5.04243952123955,32.9294686358747,23.343590731362,"0.047 = fraction pre-1960 (27%ile)","0.219 ug/m3 (22%ile)","30 lifetime risk per million (41%ile)","0.39  (39%ile)",NA,"0.000036 toxicity-weighted concentration/meters distance (49%ile)","0.042 sites/km distance (36%ile)","0.053 facilities/km distance (5%ile)","0.047 facilities/km distance (5%ile)","40.6 ppb (32%ile)","7.65 ug/m3 (23%ile)"
"511099505003","51","109","950500","3",0.210947930574098,0.218774649066,29.6129418659468,0.391459120348444,24.4340606507972,7.4566264123e-05,0.041020888730953,0.068577140166733,0.052458449475295,40.6068215686275,7.6450098630137,54.1353390211297,22.5628231208857,41.9711432114256,39.1199371493388,17.4581170700071,52.5336045933047,36.0921258620583,8.50283938184166,6.04784972132346,32.9294686358747,23.343590731362,"0.21 = fraction pre-1960 (54%ile)","0.219 ug/m3 (22%ile)","30 lifetime risk per million (41%ile)","0.39  (39%ile)","24 daily vehicles/meters distance (17%ile)","0.000075 toxicity-weighted concentration/meters distance (52%ile)","0.041 sites/km distance (36%ile)","0.069 facilities/km distance (8%ile)","0.052 facilities/km distance (6%ile)","40.6 ppb (32%ile)","7.65 ug/m3 (23%ile)"
"511259501001","51","125","950100","1",0.386648122392211,0.162372216866133,26.9522156540965,0.337016341960064,NA,0.000498756926772,0.04132716566299,0.047167808099193,0.059649912317531,40.7685764705882,7.15414383561644,69.7350288103521,12.636627703488,29.7294077324811,25.2736764113874,NA,61.9601572026128,36.3115954656728,4.20591903395889,7.24910788232616,34.1574110458114,15.0587836843629,"0.39 = fraction pre-1960 (69%ile)","0.162 ug/m3 (12%ile)","27 lifetime risk per million (29%ile)","0.34  (25%ile)",NA,"0.0005 toxicity-weighted concentration/meters distance (61%ile)","0.041 sites/km distance (36%ile)","0.047 facilities/km distance (4%ile)","0.06 facilities/km distance (7%ile)","40.8 ppb (34%ile)","7.15 ug/m3 (15%ile)"
"511259501002","51","125","950100","2",0.334640522875816,0.162372216866133,26.9522156540965,0.337016341960064,67.4437893480681,NA,0.050045750773361,0.041334713240841,0.04126053001392,40.7685764705882,7.15414383561644,65.7911286865286,12.636627703488,29.7294077324811,25.2736764113874,29.0713961401973,NA,42.6365401402396,3.25211782620931,4.15040825104676,34.1574110458114,15.0587836843629,"0.33 = fraction pre-1960 (65%ile)","0.162 ug/m3 (12%ile)","27 lifetime risk per million (29%ile)","0.34  (25%ile)","67 daily vehicles/meters distance (29%ile)",NA,"0.05 sites/km distance (42%ile)","0.041 facilities/km distance (3%ile)","0.041 facilities/km distance (4%ile)","40.8 ppb (34%ile)","7.15 ug/m3 (15%ile)"
"511259501003","51","125","950100","3",0.563549160671462,0.162372216866133,26.9522156540965,0.337016341960064,72.0808595325612,NA,0.066189316453948,0.042741894046602,0.047555637750861,40.7685764705882,7.15414383561644,80.8829331827577,12.636627703488,29.7294077324811,25.2736764113874,30.0606692975287,NA,52.6146549321634,3.49535834333917,5.19174750388685,34.1574110458114,15.0587836843629,"0.56 = fraction pre-1960 (80%ile)","0.162 ug/m3 (12%ile)","27 lifetime risk per million (29%ile)","0.34  (25%ile)","72 daily vehicles/meters distance (30%ile)",NA,"0.066 sites/km distance (52%ile)","0.043 facilities/km distance (3%ile)","0.048 facilities/km distance (5%ile)","40.8 ppb (34%ile)","7.15 ug/m3 (15%ile)"
"511259501004","51","125","950100","4",0.209661835748792,0.162372216866133,26.9522156540965,0.337016341960064,1.07308134292678,0.000762646912885,0.077088453129453,0.066648745008102,0.066482294750997,40.7685764705882,7.15414383561644,53.9989370802745,12.636627703488,29.7294077324811,25.2736764113874,6.34233131847663,64.3131227353302,57.8291600422579,8.08598853965539,8.47107504689566,34.1574110458114,15.0587836843629,"0.21 = fraction pre-1960 (53%ile)","0.162 ug/m3 (12%ile)","27 lifetime risk per million (29%ile)","0.34  (25%ile)","1.1 daily vehicles/meters distance (6%ile)","0.00076 toxicity-weighted concentration/meters distance (64%ile)","0.077 sites/km distance (57%ile)","0.067 facilities/km distance (8%ile)","0.066 facilities/km distance (8%ile)","40.8 ppb (34%ile)","7.15 ug/m3 (15%ile)"
"511259502001","51","125","950200","1",0.175166297117516,0.140595935927412,23.641698335581,0.288223239487239,NA,NA,0.049861061313258,0.068696160977314,0.062714420459119,41.0402745098039,7.06554547945206,49.8676965031886,9.02880825070009,17.2616991425773,14.530334975645,NA,NA,42.5108677363604,8.52490266195396,7.79374848232301,36.2772664806161,14.1025078109001,"0.18 = fraction pre-1960 (49%ile)","0.141 ug/m3 (9%ile)","24 lifetime risk per million (17%ile)","0.29  (14%ile)",NA,NA,"0.05 sites/km distance (42%ile)","0.069 facilities/km distance (8%ile)","0.063 facilities/km distance (7%ile)","41 ppb (36%ile)","7.07 ug/m3 (14%ile)"
"511259502002","51","125","950200","2",0.16572077185017,0.140595935927412,23.641698335581,0.288223239487239,2.08314446655492,NA,0.072342652054482,0.061785243804456,0.060135522350115,41.0402745098039,7.06554547945206,48.6671949160712,9.02880825070009,17.2616991425773,14.530334975645,7.20783945570285,NA,55.6821609880836,7.01614165714085,7.33121395609078,36.2772664806161,14.1025078109001,"0.17 = fraction pre-1960 (48%ile)","0.141 ug/m3 (9%ile)","24 lifetime risk per million (17%ile)","0.29  (14%ile)","2.1 daily vehicles/meters distance (7%ile)",NA,"0.072 sites/km distance (55%ile)","0.062 facilities/km distance (7%ile)","0.06 facilities/km distance (7%ile)","41 ppb (36%ile)","7.07 ug/m3 (14%ile)"
"511259502003","51","125","950200","3",0.128008752735229,0.140595935927412,23.641698335581,0.288223239487239,NA,NA,0.06670478799475,0.076480672855488,0.067130499021732,41.0402745098039,7.06554547945206,43.3765737658145,9.02880825070009,17.2616991425773,14.530334975645,NA,NA,52.8549917911888,10.2426929843303,8.56596545408694,36.2772664806161,14.1025078109001,"0.13 = fraction pre-1960 (43%ile)","0.141 ug/m3 (9%ile)","24 lifetime risk per million (17%ile)","0.29  (14%ile)",NA,NA,"0.067 sites/km distance (52%ile)","0.076 facilities/km distance (10%ile)","0.067 facilities/km distance (8%ile)","41 ppb (36%ile)","7.07 ug/m3 (14%ile)"
"511259502004","51","125","950200","4",0.276223776223776,0.140595935927412,23.641698335581,0.288223239487239,55.6787250675671,NA,0.152186644329716,0.150853801862692,0.150727658639656,41.0402745098039,7.06554547945206,60.7764030582184,9.02880825070009,17.2616991425773,14.530334975645,26.3923757544177,NA,79.4471268975085,27.6897949827228,20.3768831156524,36.2772664806161,14.1025078109001,"0.28 = fraction pre-1960 (60%ile)","0.141 ug/m3 (9%ile)","24 lifetime risk per million (17%ile)","0.29  (14%ile)","56 daily vehicles/meters distance (26%ile)",NA,"0.15 sites/km distance (79%ile)","0.15 facilities/km distance (27%ile)","0.15 facilities/km distance (20%ile)","41 ppb (36%ile)","7.07 ug/m3 (14%ile)"
"511259503001","51","125","950300","1",0.248175182481751,0.114076782041139,23.3848354942114,0.280792985370335,62.962356886249,7.0457844393e-05,0.074253274672061,0.047110660803598,0.044644857343561,40.8434745098039,6.98668246575342,58.0959825616997,5.5471209760482,16.3960567617788,13.068515032373,28.0574694514325,52.2890674020619,56.5568991408969,4.19536447211412,4.72576921932259,34.7034123028635,13.4756769125861,"0.25 = fraction pre-1960 (58%ile)","0.114 ug/m3 (5%ile)","23 lifetime risk per million (16%ile)","0.28  (13%ile)","63 daily vehicles/meters distance (28%ile)","0.00007 toxicity-weighted concentration/meters distance (52%ile)","0.074 sites/km distance (56%ile)","0.047 facilities/km distance (4%ile)","0.045 facilities/km distance (4%ile)","40.8 ppb (34%ile)","6.99 ug/m3 (13%ile)"
"511259503002","51","125","950300","2",0.242105263157894,0.114076782041139,23.3848354942114,0.280792985370335,NA,3.1231396891e-05,0.107086585606291,0.04828113326127,0.047441874094421,40.8434745098039,6.98668246575342,57.4507182543316,5.5471209760482,16.3960567617788,13.068515032373,NA,49.0406760816088,68.9740096275962,4.38184305672201,5.17593656522827,34.7034123028635,13.4756769125861,"0.24 = fraction pre-1960 (57%ile)","0.114 ug/m3 (5%ile)","23 lifetime risk per million (16%ile)","0.28  (13%ile)",NA,"0.000031 toxicity-weighted concentration/meters distance (49%ile)","0.11 sites/km distance (68%ile)","0.048 facilities/km distance (4%ile)","0.047 facilities/km distance (5%ile)","40.8 ppb (34%ile)","6.99 ug/m3 (13%ile)"
