,file,min,max,mean,count,median,nodata,masked_count,spatial_unit,GEOID,full_path,prop_nodata,file_entityId,scene_entityId,displayId,spatialCoverage,spatialBounds,Date Acquired,Start Time,Stop Time,Day/Night Indicator,Land Cloud Cover,Sun Elevation L0RA,Sun Azimuth L0RA,Datum
0,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,78.4804343720001,120.255474812,91.10442748432484,29557,90.36078828800004,0.0,21968,counties,51540,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
853,LC08_L2SP_016033_20210824_20210901_02_T1_ST_B10,90.077776232,135.26741865200012,103.78812465753091,29082,103.04711132000008,475.0,22443,counties,51540,./st_b10_data/LC08_L2SP_016033_20210824_20210901_02_T1_ST_B10.TIF,0.0160706431640558,L2ST_LC08_L2SP_016033_20210824_20210901_02_T1_ST_B10_TIF,LC80160332021236LGN00,LC08_L2SP_016033_20210824_20210901_02_T1,"[[-79.72618, 38.23904], [-77.61136, 37.83629], [-77.05597, 39.55285], [-79.22227, 39.95732], [-79.72618, 38.23904]]","[[-79.72618, 37.83629], [-79.72618, 39.95732], [-77.05597, 39.95732], [-77.05597, 37.83629], [-79.72618, 37.83629]]",2021/08/24,2021:236:15:52:33.1828610,2021:236:15:53:04.9528610,DAY,1.53,56.41110867,141.00417544,WGS84
1706,LC08_L2SP_016034_20140618_20200911_02_T1_ST_B10,94.415243612,143.36402442800005,112.2382491361806,29557,111.30983286800004,0.0,21968,counties,51540,./st_b10_data/LC08_L2SP_016034_20140618_20200911_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20140618_20200911_02_T1_ST_B10_TIF,LC80160342014169LGN01,LC08_L2SP_016034_20140618_20200911_02_T1,"[[-80.13578, 36.80684], [-78.0609, 36.40822], [-77.52263, 38.12684], [-79.64562, 38.52674], [-80.13578, 36.80684]]","[[-80.13578, 36.40822], [-80.13578, 38.52674], [-77.52263, 38.52674], [-77.52263, 36.40822], [-80.13578, 36.40822]]",2014/06/18,2014:169:15:52:28.6666280,2014:169:15:53:00.4366240,DAY,4.55,67.20602472,122.1535723,WGS84
2559,LC08_L2SP_016033_20200922_20201005_02_T1_ST_B10,66.73543404800009,105.69265880000007,77.99924626439676,29428,77.53295922800004,129.0,22097,counties,51540,./st_b10_data/LC08_L2SP_016033_20200922_20201005_02_T1_ST_B10.TIF,0.0043644483540278,L2ST_LC08_L2SP_016033_20200922_20201005_02_T1_ST_B10_TIF,LC80160332020266LGN00,LC08_L2SP_016033_20200922_20201005_02_T1,"[[-79.73837, 38.23916], [-77.62342, 37.83651], [-77.06817, 39.55307], [-79.2346, 39.95744], [-79.73837, 38.23916]]","[[-79.73837, 37.83651], [-79.73837, 39.95744], [-77.06817, 39.95744], [-77.06817, 37.83651], [-79.73837, 37.83651]]",2020/09/22,2020:266:15:52:38.8566720,2020:266:15:53:10.6266710,DAY,0.01,47.59191509,152.2366836,WGS84
3412,LC08_L2SP_016034_20200720_20210330_02_T1_ST_B10,98.45739406399996,144.03463995200002,114.27658800559207,29557,113.71543534400004,0.0,21968,counties,51540,./st_b10_data/LC08_L2SP_016034_20200720_20210330_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200720_20210330_02_T1_ST_B10_TIF,LC80160342020202LGN01,LC08_L2SP_016034_20200720_20210330_02_T1,"[[-80.13223, 36.80681], [-78.05767, 36.40817], [-77.51928, 38.12685], [-79.64194, 38.52677], [-80.13223, 36.80681]]","[[-80.13223, 36.40817], [-80.13223, 38.52677], [-77.51928, 38.52677], [-77.51928, 36.40817], [-80.13223, 36.40817]]",2020/07/20,2020:202:15:52:39.8561680,2020:202:15:53:11.6261670,DAY,9.89,64.31456507,125.21780763,WGS84
4265,LC08_L2SP_016033_20190920_20200826_02_T1_ST_B10,62.625606800000014,97.8667602080001,75.09992129017027,29178,74.764363028,379.0,22347,counties,51540,./st_b10_data/LC08_L2SP_016033_20190920_20200826_02_T1_ST_B10.TIF,0.0128226815982677,L2ST_LC08_L2SP_016033_20190920_20200826_02_T1_ST_B10_TIF,LC80160332019263LGN00,LC08_L2SP_016033_20190920_20200826_02_T1,"[[-79.72973, 38.23923], [-77.61483, 37.83664], [-77.05959, 39.5532], [-79.22598, 39.95751], [-79.72973, 38.23923]]","[[-79.72973, 37.83664], [-79.72973, 39.95751], [-77.05959, 39.95751], [-77.05959, 37.83664], [-79.72973, 37.83664]]",2019/09/20,2019:263:15:52:40.3029970,2019:263:15:53:12.0729960,DAY,0.53,48.5084846,151.33405655,WGS84
5118,LC08_L2SP_016034_20210808_20210819_02_T1_ST_B10,85.44499192399996,129.55795804400003,100.01078746602352,29557,99.74325318800008,0.0,21968,counties,51540,./st_b10_data/LC08_L2SP_016034_20210808_20210819_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20210808_20210819_02_T1_ST_B10_TIF,LC80160342021220LGN00,LC08_L2SP_016034_20210808_20210819_02_T1,"[[-80.13369, 36.8065], [-78.05844, 36.40781], [-77.52023, 38.12638], [-79.64358, 38.52635], [-80.13369, 36.8065]]","[[-80.13369, 36.40781], [-80.13369, 38.52635], [-77.52023, 38.52635], [-77.52023, 36.40781], [-80.13369, 36.40781]]",2021/08/08,2021:220:15:52:52.3452540,2021:220:15:53:24.1152530,DAY,7.97,61.03175634,132.07926434,WGS84
5971,LC08_L2SP_016034_20200704_20200913_02_T1_ST_B10,55.07656782800004,142.54575044000006,98.49331598902046,29557,100.37080166000004,0.0,21968,counties,51540,./st_b10_data/LC08_L2SP_016034_20200704_20200913_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200704_20200913_02_T1_ST_B10_TIF,LC80160342020186LGN00,LC08_L2SP_016034_20200704_20200913_02_T1,"[[-80.13743, 36.80654], [-78.0627, 36.40785], [-77.52432, 38.12648], [-79.64717, 38.52648], [-80.13743, 36.80654]]","[[-80.13743, 36.40785], [-80.13743, 38.52648], [-77.52432, 38.52648], [-77.52432, 36.40785], [-80.13743, 36.40785]]",2020/07/04,2020:186:15:52:34.1814270,2020:186:15:53:05.9514260,DAY,5.29,66.22569456,121.97819802,WGS84
6824,LC08_L2SP_016034_20190920_20200826_02_T1_ST_B10,62.625606800000014,97.84830290000006,75.08385944370832,29557,74.73360084799998,0.0,21968,counties,51540,./st_b10_data/LC08_L2SP_016034_20190920_20200826_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20190920_20200826_02_T1_ST_B10_TIF,LC80160342019263LGN00,LC08_L2SP_016034_20190920_20200826_02_T1,"[[-80.13634, 36.80638], [-78.06078, 36.40788], [-77.52285, 38.12638], [-79.64653, 38.52616], [-80.13634, 36.80638]]","[[-80.13634, 36.40788], [-80.13634, 38.52616], [-77.52285, 38.52616], [-77.52285, 36.40788], [-80.13634, 36.40788]]",2019/09/20,2019:263:15:53:04.1982720,2019:263:15:53:35.9682710,DAY,0.01,49.6269622,150.05546859,WGS84
7677,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10,66.74773891999999,105.69265880000007,77.97668356152754,29557,77.50219704800011,0.0,21968,counties,51540,./st_b10_data/LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_TIF,LC80160342020266LGN00,LC08_L2SP_016034_20200922_20201005_02_T1,"[[-80.14489, 36.80681], [-78.06929, 36.40826], [-77.5313, 38.12674], [-79.65504, 38.52658], [-80.14489, 36.80681]]","[[-80.14489, 36.40826], [-80.14489, 38.52658], [-77.5313, 38.52658], [-77.5313, 36.40826], [-80.14489, 36.40826]]",2020/09/22,2020:266:15:53:02.7434750,2020:266:15:53:34.5134740,DAY,0.01,48.72493996,151.01265192,WGS84
