STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,NAMES,Totpcp,Totpcpinch
51,003,011201,2,510030112012,Block Group 2,1980,28.08,31.77,31.29,82.54,89.19,88.33,Albemarle,930.25,36.62
51,003,011201,3,510030112013,Block Group 3,1980,27.74,31.42,31.03,81.94,88.55,87.85,Albemarle,956.64,37.66
51,003,011202,1,510030112021,Block Group 1,1980,28.04,31.65,31.25,82.48,88.97,88.25,Albemarle,930.47,36.63
51,003,011202,2,510030112022,Block Group 2,1980,28.17,31.81,31.48,82.71,89.26,88.67,Albemarle,932.51,36.71
51,003,011301,1,510030113011,Block Group 1,1980,28.62,32.19,31.83,83.52,89.94,89.29,Albemarle,911.2,35.87
51,003,011301,2,510030113012,Block Group 2,1980,28.36,31.94,31.63,83.04,89.49,88.93,Albemarle,921.43,36.28
51,003,011301,3,510030113013,Block Group 3,1980,28.76,32.29,32.02,83.77,90.12,89.64,Albemarle,897.49,35.33
51,003,011301,4,510030113014,Block Group 4,1980,28.67,32.25,32.04,83.61,90.05,89.67,Albemarle,897.78,35.35
51,003,011302,1,510030113021,Block Group 1,1980,28.72,32.28,31.88,83.69,90.1,89.39,Albemarle,903.55,35.57
51,003,011302,2,510030113022,Block Group 2,1980,28.66,32.23,31.84,83.58,90.01,89.32,Albemarle,907.48,35.73
51,003,011303,1,510030113031,Block Group 1,1980,28.72,32.28,31.89,83.7,90.1,89.4,Albemarle,905.24,35.64
51,003,011303,2,510030113032,Block Group 2,1980,28.67,32.22,31.83,83.61,89.99,89.3,Albemarle,909.51,35.81
51,003,011400,1,510030114001,Block Group 1,1980,28.64,32.24,32.07,83.56,90.03,89.73,Albemarle,894.2,35.2
51,003,011400,2,510030114002,Block Group 2,1980,28.92,32.47,32.42,84.05,90.45,90.35,Albemarle,858.62,33.8
51,003,011400,3,510030114003,Block Group 3,1980,28.72,32.33,32.26,83.7,90.2,90.06,Albemarle,878.14,34.57
51,003,011400,4,510030114004,Block Group 4,1980,27.98,31.65,31.41,82.37,88.98,88.54,Albemarle,946.66,37.27
51,065,020101,1,510650201011,Block Group 1,1980,28.84,32.32,32.17,83.91,90.17,89.9,Fluvanna,872.92,34.37
51,065,020101,2,510650201012,Block Group 2,1980,28.76,32.24,32.02,83.76,90.04,89.63,Fluvanna,880.03,34.65
51,065,020101,3,510650201013,Block Group 3,1980,28.87,32.36,32.14,83.97,90.25,89.85,Fluvanna,888.46,34.98
51,065,020102,1,510650201021,Block Group 1,1980,28.92,32.41,32.2,84.05,90.34,89.95,Fluvanna,879.8,34.64
51,065,020102,2,510650201022,Block Group 2,1980,28.88,32.37,32.2,83.99,90.27,89.95,Fluvanna,873.86,34.4
51,065,020102,3,510650201023,Block Group 3,1980,28.83,32.32,32.13,83.9,90.18,89.83,Fluvanna,877.01,34.53
51,065,020200,1,510650202001,Block Group 1,1980,28.76,32.22,32.13,83.76,90,89.83,Fluvanna,870.34,34.27
