Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,type
Speedway 4654,1600 Seminole Trl,NA,Charlottesville,VA,22901,1420,ALBEMARLE,-78.475555,38.080601,1688,convenience
Mini Mart,852 W Main St,Ste 108,Charlottesville,VA,22903,3494,CHARLOTTESVILLE,-78.493858,38.031883,1782,convenience
Dollar Tree 152,2020 Rio Hill Ctr,NA,Charlottesville,VA,22901,1150,ALBEMARLE,-78.471489,38.088131,3038,convenience
Food Lion 2189,11010 Kentucky Springs Rd,NA,Mineral,VA,23117,NA,LOUISA,-77.850929,38.079636,4923,large_grocery
Fas Mart 3516,1248 Crozet Ave,NA,Crozet,VA,22932,3131,ALBEMARLE,-78.700302,38.070221,5600,convenience
Food Lion 1186,585 Branchlands Blvd,NA,Charlottesville,VA,22901,1791,ALBEMARLE,-78.478973,38.072906,5743,large_grocery
Corner Market,11309 James River Rd,NA,Shipman,VA,22971,2308,NELSON,-78.851448,37.724098,5825,small_grocery
CVS 8288,9026 Seminole Trl,NA,Ruckersville,VA,22968,3319,GREENE,-78.368355,38.234962,9816,convenience
Nelson Food Market,40 Front St,NA,Lovingston,VA,22949,2346,NELSON,-78.874855,37.753376,12603,small_grocery
Kroger 239,1904 Emmet St N,NA,Charlottesville,VA,22901,2815,ALBEMARLE,-78.492554,38.060581,14204,large_grocery
Food Lion 1531,85 Callohill Dr,NA,Lovingston,VA,22949,9701,NELSON,-78.877434,37.753792,14992,large_grocery
Whole Foods Market 10205,1797 Hydraulic Rd,NA,Charlottesville,VA,22901,2835,ALBEMARLE,-78.490173,38.060059,16445,large_grocery
REID SUPER SAVE MKT 3,600 Preston Ave,NA,Charlottesville,VA,22903,4538,CHARLOTTESVILLE,-78.485916,38.035106999999996,16803,small_grocery
Brown's,1218 Avon St,NA,Charlottesville,VA,22902,6304,CHARLOTTESVILLE,-78.482239,38.019993,17094,small_grocery
Circle K 2723206,1099 Rio Rd E,NA,Charlottesville,VA,22901,1805,ALBEMARLE,-78.465683,38.066177,17729,convenience
Speedway 4652,1172 Richmond Rd,NA,Charlottesville,VA,22911,3516,ALBEMARLE,-78.45607,38.033798,19786,convenience
Speedway 4653,2235 Seminole Ln,NA,Charlottesville,VA,22901,8300,ALBEMARLE,-78.464127,38.097363,19788,convenience
Hilltop Produce And Seafood,78 Zion Park Ct,NA,Troy,VA,22974,2814,FLUVANNA,-78.213531,37.966541,20033,small_grocery
