STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can
51,003,010402,1002,510030104021002,Block 1002,8.5
51,003,010402,1017,510030104021017,Block 1017,51.31428571428572
51,003,011400,1003,510030114001003,Block 1003,80.8
51,003,011400,1054,510030114001054,Block 1054,4.732142857142857
51,003,011400,1024,510030114001024,Block 1024,78.71854304635761
51,003,011400,1011,510030114001011,Block 1011,34.79578392621871
51,003,011400,4099,510030114004099,Block 4099,73.9
51,065,020102,2030,510650201022030,Block 2030,73.90697674418605
51,065,020102,3036,510650201023036,Block 3036,42.06572164948454
51,065,020101,3024,510650201013024,Block 3024,94
51,065,020101,2075,510650201012075,Block 2075,4.375
51,065,020102,2037,510650201022037,Block 2037,67.98245614035088
51,065,020102,3041,510650201023041,Block 3041,19
51,065,020102,2039,510650201022039,Block 2039,69.16470588235295
51,065,020102,1058,510650201021058,Block 1058,60.47428571428571
51,065,020101,1060,510650201011060,Block 1060,9.689655172413794
51,065,020102,2016,510650201022016,Block 2016,58.02564102564103
51,065,020101,1063,510650201011063,Block 1063,2.05
51,065,020300,1030,510650203001030,Block 1030,81.43893568147014
51,065,020102,1062,510650201021062,Block 1062,54.44444444444444
51,065,020102,1060,510650201021060,Block 1060,68
51,065,020101,1057,510650201011057,Block 1057,0
51,065,020200,1060,510650202001060,Block 1060,31.09474885844749
51,065,020101,2010,510650201012010,Block 2010,43.75222419928826
51,065,020101,2072,510650201012072,Block 2072,60.22994011976048
51,065,020101,1010,510650201011010,Block 1010,32.62921348314607
51,065,020101,1043,510650201011043,Block 1043,51.44216787838731
51,065,020101,1015,510650201011015,Block 1015,67.15273775216139
51,065,020101,1016,510650201011016,Block 1016,65.83961038961039
51,065,020101,3031,510650201013031,Block 3031,63.217234468937875
51,065,020200,1024,510650202001024,Block 1024,30
51,065,020300,2009,510650203002009,Block 2009,74.83842794759825
51,065,020101,1052,510650201011052,Block 1052,67.44718737353298
51,065,020200,1011,510650202001011,Block 1011,50.26217583807717
51,065,020102,2054,510650201022054,Block 2054,54
51,065,020200,2000,510650202002000,Block 2000,63.23179359134415
51,065,020200,1072,510650202001072,Block 1072,30
51,065,020102,2064,510650201022064,Block 2064,65.24057037718491
51,065,020300,1022,510650203001022,Block 1022,74.70013037809647
51,065,020101,1062,510650201011062,Block 1062,88.27536231884058
51,065,020300,1041,510650203001041,Block 1041,69.30030030030031
51,065,020300,1040,510650203001040,Block 1040,75.72923076923077
51,065,020101,1087,510650201011087,Block 1087,61.972972972972975
51,065,020200,1079,510650202001079,Block 1079,71.77219225110348
51,065,020200,2113,510650202002113,Block 2113,60.80401159980667
51,065,020300,2043,510650203002043,Block 2043,53.44036105738233
51,065,020300,2042,510650203002042,Block 2042,67.73262762506403
51,065,020200,3054,510650202003054,Block 3054,74.36585365853658
51,065,020200,3075,510650202003075,Block 3075,0
51,065,020300,2097,510650203002097,Block 2097,86.67343173431735
51,065,020101,2014,510650201012014,Block 2014,55.22152886115445
51,065,020101,2009,510650201012009,Block 2009,50.355555555555554
51,003,010402,2004,510030104022004,Block 2004,55.45985401459854
51,003,011201,2072,510030112012072,Block 2072,76.75722543352602
51,003,011201,3031,510030112013031,Block 3031,67.21127057830309
51,003,011202,1012,510030112021012,Block 1012,22.423758865248228
51,003,011202,1030,510030112021030,Block 1030,81.625
51,003,011202,1090,510030112021090,Block 1090,60.7
51,003,011202,1019,510030112021019,Block 1019,41
51,003,011202,1016,510030112021016,Block 1016,37.25
51,003,011302,1011,510030113021011,Block 1011,51.125
51,003,011302,1012,510030113021012,Block 1012,26.5
51,003,011302,1024,510030113021024,Block 1024,28.166666666666668
51,003,011302,1025,510030113021025,Block 1025,0
51,003,011302,2013,510030113022013,Block 2013,67.72307692307692
