,file,min,max,mean,count,median,nodata,masked_count,spatial_unit,GEOID,full_path,prop_nodata,file_entityId,scene_entityId,displayId,spatialCoverage,spatialBounds,Date Acquired,Start Time,Stop Time,Day/Night Indicator,Land Cloud Cover,Sun Elevation L0RA,Sun Azimuth L0RA,Datum
19650,LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10,92.69871396800002,110.01782130799998,99.89503399127273,1188,99.97396953800003,0.0,1515,blkgps,515400009002,./st_b10_data/LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10_TIF,LC80160332021156LGN00,LC08_L2SP_016033_20210605_20210614_02_T1,"[[-79.75287, 38.23923], [-77.63842, 37.83636], [-77.08273, 39.55295], [-79.24867, 39.95754], [-79.75287, 38.23923]]","[[-79.75287, 37.83636], [-79.75287, 39.95754], [-77.08273, 39.95754], [-77.08273, 37.83636], [-79.75287, 37.83636]]",2021/06/05,2021:156:15:52:08.6020220,2021:156:15:52:40.3720210,DAY,1.33,66.44237465,127.92177701,WGS84
19651,LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10,92.90174435600004,118.26823798399997,106.45690321367276,550,107.66143831999996,0.0,516,blkgps,515400005011,./st_b10_data/LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10_TIF,LC80160332021156LGN00,LC08_L2SP_016033_20210605_20210614_02_T1,"[[-79.75287, 38.23923], [-77.63842, 37.83636], [-77.08273, 39.55295], [-79.24867, 39.95754], [-79.75287, 38.23923]]","[[-79.75287, 37.83636], [-79.75287, 39.95754], [-77.08273, 39.95754], [-77.08273, 37.83636], [-79.75287, 37.83636]]",2021/06/05,2021:156:15:52:08.6020220,2021:156:15:52:40.3720210,DAY,1.33,66.44237465,127.92177701,WGS84
19652,LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10,101.45978283200007,121.13527316000004,111.04699718300006,1020,110.442339392,0.0,1785,blkgps,515400003021,./st_b10_data/LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10_TIF,LC80160332021156LGN00,LC08_L2SP_016033_20210605_20210614_02_T1,"[[-79.75287, 38.23923], [-77.63842, 37.83636], [-77.08273, 39.55295], [-79.24867, 39.95754], [-79.75287, 38.23923]]","[[-79.75287, 37.83636], [-79.75287, 39.95754], [-77.08273, 39.95754], [-77.08273, 37.83636], [-79.75287, 37.83636]]",2021/06/05,2021:156:15:52:08.6020220,2021:156:15:52:40.3720210,DAY,1.33,66.44237465,127.92177701,WGS84
19653,LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10,92.68640909600003,113.08173443600003,100.91044170296364,853,101.00450256800002,0.0,824,blkgps,515400008001,./st_b10_data/LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10_TIF,LC80160332021156LGN00,LC08_L2SP_016033_20210605_20210614_02_T1,"[[-79.75287, 38.23923], [-77.63842, 37.83636], [-77.08273, 39.55295], [-79.24867, 39.95754], [-79.75287, 38.23923]]","[[-79.75287, 37.83636], [-79.75287, 39.95754], [-77.08273, 39.95754], [-77.08273, 37.83636], [-79.75287, 37.83636]]",2021/06/05,2021:156:15:52:08.6020220,2021:156:15:52:40.3720210,DAY,1.33,66.44237465,127.92177701,WGS84
19654,LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10,91.28365368800002,135.75961353200003,101.5932654498986,1243,100.79531974400004,0.0,2213,blkgps,515400008002,./st_b10_data/LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10_TIF,LC80160332021156LGN00,LC08_L2SP_016033_20210605_20210614_02_T1,"[[-79.75287, 38.23923], [-77.63842, 37.83636], [-77.08273, 39.55295], [-79.24867, 39.95754], [-79.75287, 38.23923]]","[[-79.75287, 37.83636], [-79.75287, 39.95754], [-77.08273, 39.95754], [-77.08273, 37.83636], [-79.75287, 37.83636]]",2021/06/05,2021:156:15:52:08.6020220,2021:156:15:52:40.3720210,DAY,1.33,66.44237465,127.92177701,WGS84
19655,LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10,91.19751958400008,105.23737853600004,97.8369035276532,992,97.64834873000004,0.0,812,blkgps,515400008003,./st_b10_data/LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10_TIF,LC80160332021156LGN00,LC08_L2SP_016033_20210605_20210614_02_T1,"[[-79.75287, 38.23923], [-77.63842, 37.83636], [-77.08273, 39.55295], [-79.24867, 39.95754], [-79.75287, 38.23923]]","[[-79.75287, 37.83636], [-79.75287, 39.95754], [-77.08273, 39.95754], [-77.08273, 37.83636], [-79.75287, 37.83636]]",2021/06/05,2021:156:15:52:08.6020220,2021:156:15:52:40.3720210,DAY,1.33,66.44237465,127.92177701,WGS84
19656,LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10,91.56666574400006,119.46796300400004,104.5468342546196,1246,105.37273212800004,0.0,1302,blkgps,515400003022,./st_b10_data/LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10_TIF,LC80160332021156LGN00,LC08_L2SP_016033_20210605_20210614_02_T1,"[[-79.75287, 38.23923], [-77.63842, 37.83636], [-77.08273, 39.55295], [-79.24867, 39.95754], [-79.75287, 38.23923]]","[[-79.75287, 37.83636], [-79.75287, 39.95754], [-77.08273, 39.95754], [-77.08273, 37.83636], [-79.75287, 37.83636]]",2021/06/05,2021:156:15:52:08.6020220,2021:156:15:52:40.3720210,DAY,1.33,66.44237465,127.92177701,WGS84
19657,LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10,92.44031165600006,114.71212997600009,103.34106369993772,1028,103.859232872,0.0,2682,blkgps,515400004012,./st_b10_data/LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10_TIF,LC80160332021156LGN00,LC08_L2SP_016033_20210605_20210614_02_T1,"[[-79.75287, 38.23923], [-77.63842, 37.83636], [-77.08273, 39.55295], [-79.24867, 39.95754], [-79.75287, 38.23923]]","[[-79.75287, 37.83636], [-79.75287, 39.95754], [-77.08273, 39.95754], [-77.08273, 37.83636], [-79.75287, 37.83636]]",2021/06/05,2021:156:15:52:08.6020220,2021:156:15:52:40.3720210,DAY,1.33,66.44237465,127.92177701,WGS84
19658,LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10,104.27144608400005,118.68045119600008,112.24749256497113,346,112.57108224800008,0.0,464,blkgps,515400004021,./st_b10_data/LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10_TIF,LC80160332021156LGN00,LC08_L2SP_016033_20210605_20210614_02_T1,"[[-79.75287, 38.23923], [-77.63842, 37.83636], [-77.08273, 39.55295], [-79.24867, 39.95754], [-79.75287, 38.23923]]","[[-79.75287, 37.83636], [-79.75287, 39.95754], [-77.08273, 39.95754], [-77.08273, 37.83636], [-79.75287, 37.83636]]",2021/06/05,2021:156:15:52:08.6020220,2021:156:15:52:40.3720210,DAY,1.33,66.44237465,127.92177701,WGS84
19659,LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10,105.8280123920001,117.28384822400002,110.5225534361799,556,110.48540644400002,0.0,592,blkgps,515400004022,./st_b10_data/LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016033_20210605_20210614_02_T1_ST_B10_TIF,LC80160332021156LGN00,LC08_L2SP_016033_20210605_20210614_02_T1,"[[-79.75287, 38.23923], [-77.63842, 37.83636], [-77.08273, 39.55295], [-79.24867, 39.95754], [-79.75287, 38.23923]]","[[-79.75287, 37.83636], [-79.75287, 39.95754], [-77.08273, 39.95754], [-77.08273, 37.83636], [-79.75287, 37.83636]]",2021/06/05,2021:156:15:52:08.6020220,2021:156:15:52:40.3720210,DAY,1.33,66.44237465,127.92177701,WGS84
