"tract","medc_allworkerstr","medc_livewithin40tr","medc_25_restr","workersIntr","liveoutsideCvilletr","liveinsideCvilletr","perc_workers_liveinCvilletr","perc_workers_liveoutsideCvilletr","workersw40tr","workers25tr","avgc_allworkerstr","avgc_livewithin40tr","avgc_25_restr","county"
"51003010100",13.4756800094261,10.1613176806313,13.1726865088955,520,92,428,82.3076923076923,17.6923076923077,487,509,14.1428198088841,10.5371032759194,12.6194458443048,"51003"
"51003010201",45.271639257437,9.95616712463593,18.9253738848851,759,384,375,49.4071146245059,50.5928853754941,455,548,39.3591868631098,9.06372323104605,18.8202069006074,"51003"
"51003010202",22.7624306882256,10.3477637005428,16.691245133789,331,120,211,63.7462235649547,36.2537764350453,272,305,23.1258147745771,10.2419152585239,16.2460045825224,"51003"
"51003010300",31.3502828527631,9.72780201313954,15.5441041150613,3604,1535,2069,57.4084350721421,42.5915649278579,2633,2966,31.2667717005938,10.2571062268393,16.4913997054196,"51003"
"51003010401",45.5494696007531,11.4911545833636,18.7447495888849,1040,484,556,53.4615384615385,46.5384615384615,702,826,34.8235674663486,12.169130604305,20.2973836908457,"51003"
"51003010402",46.1354587197439,11.3377198574974,29.6805233254526,1242,697,545,43.8808373590982,56.1191626409018,676,930,39.717256625159,12.3091940018515,25.7274460387748,"51003"
"51003010500",32.5832368613846,12.6925129673166,18.4716936059507,7251,3257,3994,55.0820576472211,44.9179423527789,5391,6086,32.1777394146987,12.690173822993,18.5441598687114,"51003"
"51003010601",29.7492383849576,9.75379890781759,15.6974937546827,4590,1923,2667,58.1045751633987,41.8954248366013,3330,3788,31.3613476972873,9.93767215118525,16.6592799427287,"51003"
"51003010602",18.2784730741419,10.1142336106281,14.3293367146643,346,121,225,65.0289017341041,34.971098265896,286,313,23.1978586041327,10.4402070038758,15.6238783880809,"51003"
"51003010700",17.6698559980803,7.61329935141995,10.1459106887776,16469,4365,12104,73.4956585099277,26.5043414900723,13677,14623,22.3445021470252,8.31559058586746,12.0323920928738,"51003"
"51003010800",36.1465892514986,11.9802747477198,19.6294778861056,3863,1779,2084,53.9477090344292,46.0522909655708,2778,3201,32.2954905245789,11.442961610221,18.837216960983,"51003"
"51003010901",36.6535205232346,8.89006146200631,15.8343334873548,802,305,497,61.9700748129676,38.0299251870324,585,657,37.3809683882773,10.7967078727279,17.7529050117332,"51003"
"51003010902",32.0087264361677,10.9061400466553,18.3674609417761,598,248,350,58.5284280936455,41.4715719063545,459,519,26.9810869826065,9.89330111902791,16.4673607368508,"51003"
"51003010903",36.0213598991839,7.38681445312128,17.9048422674858,343,160,183,53.3527696793003,46.6472303206997,226,266,35.8786050398628,8.33596762470572,18.1832147911371,"51003"
"51003011000",18.722731134756,10.2918313851661,13.7725661712936,2545,590,1955,76.8172888015717,23.1827111984283,2265,2396,18.6302875896088,11.0549774828725,13.846451959992,"51003"
"51003011100",21.693791513572,11.7874395772595,14.5845792815007,1512,493,1019,67.3941798941799,32.6058201058201,1327,1396,22.0309414848048,11.962682447095,14.5895110064804,"51003"
"51003011201",15.6531080917647,12.2093331743839,13.6658916865936,843,211,632,74.9703440094899,25.0296559905101,760,780,19.7262367236219,12.1677689530096,13.9952791703976,"51003"
"51003011202",25.2974283507278,11.7746153257969,15.4401647972954,888,364,524,59.009009009009,40.990990990991,646,744,34.5293578888244,12.5410807941915,19.6687535586459,"51003"
"51003011301",20.1271017636252,9.1876981457048,13.4932652458489,1158,335,823,71.0708117443869,28.9291882556131,948,1034,23.0695399034248,9.38256149162288,14.2465628160856,"51003"
"51003011302",14.654685659147,10.4929409069227,12.3854435276179,1473,295,1178,79.9728445349627,20.0271554650373,1344,1415,16.4156634926291,10.3537486594115,13.0755800509618,"51003"
"51003011303",22.1014171730478,10.5773121241279,15.5271627565077,2637,985,1652,62.6469472885855,37.3530527114145,2080,2333,26.5367745624379,10.8605995651831,16.5787178146247,"51003"
"51003011400",17.929957413535,10.8734540624528,12.3412285102567,510,171,339,66.4705882352941,33.5294117647059,436,468,22.008984921904,11.1917273185967,14.9195677328423,"51003"
"51065020101",19.1437433695222,10.4604071397325,12.4433337007321,2345,781,1564,66.6950959488273,33.3049040511727,1898,2089,22.0031775406441,11.0994992701756,15.491988959443,"51065"
"51065020102",19.0808764729535,6.82327163642653,10.9522709861765,825,215,610,73.9393939393939,26.0606060606061,674,750,22.6163067924786,7.68274327656785,13.2423883031679,"51065"
"51065020200",24.000391008489,10.5514267249184,15.3581391954772,711,297,414,58.2278481012658,41.7721518987342,559,628,27.5287002163209,10.7856175641059,17.2124661775753,"51065"
"51065020300",17.4523608708963,8.164257102545,14.627837453445,371,107,264,71.1590296495957,28.8409703504043,323,355,16.8773750044322,8.66411953270755,13.8213470798359,"51065"
"51079030101",10.4573755356556,7.37218090478679,8.28558233582891,1193,348,845,70.8298407376362,29.1701592623638,1106,1148,12.0081399074439,7.82277797741558,9.66210418496654,"51079"
"51079030102",23.3161252328878,10.6147968123879,15.3797981510463,336,103,233,69.3452380952381,30.6547619047619,294,309,18.6484829778146,9.61831165297369,13.0448527759143,"51079"
"51079030200",31.3529933084775,10.4234821693266,17.5048361829536,1827,985,842,46.0864805692392,53.9135194307608,1299,1517,31.8569636148708,11.4283124051078,18.7605966488601,"51079"
"51109950100",43.0293129157095,18.3744788738945,27.850796983019,2123,1559,564,26.5661799340556,73.4338200659444,1497,1402,41.9264608373996,16.8028023314248,24.8974072297237,"51109"
"51109950201",24.3634312493705,13.9954776706918,18.2538185447942,2134,897,1237,57.9662605435801,42.0337394564199,1731,1828,26.28923930736,14.3586604403959,18.9679659293714,"51109"
"51109950202",14.290457268313,12.3553233672809,13.1361881350298,1278,331,947,74.1001564945227,25.8998435054773,1193,1216,15.741821032236,12.0398693048405,13.8328309474841,"51109"
"51109950300",50.8355893401239,15.9998073704618,26.2414562238913,3474,2214,1260,36.2694300518135,63.7305699481865,1926,2556,43.335717693428,15.3377175427436,27.0110652549795,"51109"
"51109950400",36.9348004152883,13.6404957216311,25.5541066006227,214,82,132,61.6822429906542,38.3177570093458,152,190,34.4469444831847,12.9364055174666,23.1997109757717,"51109"
"51109950500",14.8851890160544,10.8779797404615,11.4869928481903,468,213,255,54.4871794871795,45.5128205128205,407,392,18.678202356006,10.7187047820348,12.9716998406982,"51109"
