,file,min,max,mean,count,median,nodata,masked_count,spatial_unit,GEOID,basename,full_path,prop_nodata,entity_id,start_date,end_date,start_year,end_year,cloud_cover,area,shp_percent,spatial_bounds,spatial_coverage
0,LC08_L2SP_016034_20200922_20201005_02_T1,66.74773891999999,105.69265880000007,77.97668356152754,29557,77.50219704800011,0.0,21968,counties,51540,cville,landsat8_c2_l2_data/cville/clipped/LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped.TIF,0.0,LC80160342020266LGN00,2020-09-22,2020-09-22,2020,2020,0.01,8756.939748,97.15471472573707,"[[-80.14489, 36.40826], [-80.14489, 38.52658], [-77.5313, 38.52658], [-77.5313, 36.40826], [-80.14489, 36.40826]]","[[-80.14489, 36.80681], [-78.06929, 36.40826], [-77.5313, 38.12674], [-79.65504, 38.52658], [-80.14489, 36.80681]]"
1,LC08_L2SP_016034_20200922_20201005_02_T1,55.421104244000034,96.451699928,68.3174340355198,288306,67.86748227200005,162503.0,884462,counties,51079,cville,landsat8_c2_l2_data/cville/clipped/LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped.TIF,0.3604697333016865,LC80160342020266LGN00,2020-09-22,2020-09-22,2020,2020,0.01,8756.939748,97.15471472573707,"[[-80.14489, 36.40826], [-80.14489, 38.52658], [-77.5313, 38.52658], [-77.5313, 36.40826], [-80.14489, 36.40826]]","[[-80.14489, 36.80681], [-78.06929, 36.40826], [-77.5313, 38.12674], [-79.65504, 38.52658], [-80.14489, 36.80681]]"
2,LC08_L2SP_016034_20200922_20201005_02_T1,55.298055524000006,114.12149612,68.50649639587978,2089850,67.65214701200003,0.0,1676965,counties,51003,cville,landsat8_c2_l2_data/cville/clipped/LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped.TIF,0.0,LC80160342020266LGN00,2020-09-22,2020-09-22,2020,2020,0.01,8756.939748,97.15471472573707,"[[-80.14489, 36.40826], [-80.14489, 38.52658], [-77.5313, 38.52658], [-77.5313, 36.40826], [-80.14489, 36.40826]]","[[-80.14489, 36.80681], [-78.06929, 36.40826], [-77.5313, 38.12674], [-79.65504, 38.52658], [-80.14489, 36.80681]]"
3,LC08_L2SP_016034_20200922_20201005_02_T1,52.9293676640001,101.50284988399999,66.43714642584928,1364745,65.769501596,0.0,1610729,counties,51125,cville,landsat8_c2_l2_data/cville/clipped/LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped.TIF,0.0,LC80160342020266LGN00,2020-09-22,2020-09-22,2020,2020,0.01,8756.939748,97.15471472573707,"[[-80.14489, 36.40826], [-80.14489, 38.52658], [-77.5313, 38.52658], [-77.5313, 36.40826], [-80.14489, 36.40826]]","[[-80.14489, 36.80681], [-78.06929, 36.40826], [-77.5313, 38.12674], [-79.65504, 38.52658], [-80.14489, 36.80681]]"
4,LC08_L2SP_016034_20200922_20201005_02_T1,63.54847219999999,107.32305434,68.57036484391833,835799,67.49833611200006,2917.0,618121,counties,51065,cville,landsat8_c2_l2_data/cville/clipped/LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped.TIF,0.003477935320179894,LC80160342020266LGN00,2020-09-22,2020-09-22,2020,2020,0.01,8756.939748,97.15471472573707,"[[-80.14489, 36.40826], [-80.14489, 38.52658], [-77.5313, 38.52658], [-77.5313, 36.40826], [-80.14489, 36.40826]]","[[-80.14489, 36.80681], [-78.06929, 36.40826], [-77.5313, 38.12674], [-79.65504, 38.52658], [-80.14489, 36.80681]]"
5,LC08_L2SP_016034_20200922_20201005_02_T1,53.32312356800007,101.66281322,68.83299711824438,1454318,67.68290919200007,16829.0,1333800,counties,51109,cville,landsat8_c2_l2_data/cville/clipped/LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped.TIF,0.011439373495646594,LC80160342020266LGN00,2020-09-22,2020-09-22,2020,2020,0.01,8756.939748,97.15471472573707,"[[-80.14489, 36.40826], [-80.14489, 38.52658], [-77.5313, 38.52658], [-77.5313, 36.40826], [-80.14489, 36.40826]]","[[-80.14489, 36.80681], [-78.06929, 36.40826], [-77.5313, 38.12674], [-79.65504, 38.52658], [-80.14489, 36.80681]]"
211,LC08_L2SP_016034_20200906_20200918_02_T1,78.4804343720001,120.25547481199999,91.10442748432484,29557,90.36078828800004,0.0,21968,counties,51540,cville,landsat8_c2_l2_data/cville/clipped/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_cville_clipped.TIF,0.0,LC80160342020250LGN00,2020-09-06,2020-09-06,2020,2020,0.09,8761.611621,97.20654727244991,"[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]","[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]"
212,LC08_L2SP_016034_20200906_20200918_02_T1,48.50576618000005,109.82094335600009,80.11324776039771,291287,79.98778119200011,159522.0,881481,counties,51079,cville,landsat8_c2_l2_data/cville/clipped/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_cville_clipped.TIF,0.35385717676443906,LC80160342020250LGN00,2020-09-06,2020-09-06,2020,2020,0.09,8761.611621,97.20654727244991,"[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]","[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]"
213,LC08_L2SP_016034_20200906_20200918_02_T1,47.988961556000035,128.801208416,80.1560929319013,2089850,79.60633016000003,0.0,1676965,counties,51003,cville,landsat8_c2_l2_data/cville/clipped/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_cville_clipped.TIF,0.0,LC80160342020250LGN00,2020-09-06,2020-09-06,2020,2020,0.09,8761.611621,97.20654727244991,"[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]","[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]"
214,LC08_L2SP_016034_20200906_20200918_02_T1,35.69024199200004,114.95207498000009,78.22624481820623,1364745,78.25279423999999,0.0,1610729,counties,51125,cville,landsat8_c2_l2_data/cville/clipped/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_cville_clipped.TIF,0.0,LC80160342020250LGN00,2020-09-06,2020-09-06,2020,2020,0.09,8761.611621,97.20654727244991,"[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]","[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]"
