,min,max,mean,median,nodata,spatial_unit,GEOID,file
0,64.13910605600006,85.90642462400007,69.42198794352893,68.29815279200011,0.0,blkgps,511099502012,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,63.745350152000086,90.72993444800002,67.89826401501492,66.68621456000002,0.0,blkgps,511099501003,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,63.83148425600004,85.21119935600001,67.85502815229108,66.73543404800009,0.0,blkgps,511099505001,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,59.00182199600002,82.28879225600011,66.59724620644621,65.44342248800002,0.0,blkgps,510030112011,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,64.08373413200005,83.51312702000007,68.36029546241971,67.59677508800002,0.0,blkgps,510030110003,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,64.80972158000003,90.871440476,71.38606783056055,70.79296558999997,0.0,blkgps,510030103005,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,59.78318136800002,82.48567020799999,67.66857530076535,66.90154982000004,0.0,blkgps,510030104011,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,61.45664395999998,87.063082592,70.07138680000298,69.46711563200006,0.0,blkgps,510030104013,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,61.57354024400006,90.2500444400001,71.22143873084548,69.473268068,0.0,blkgps,510030105002,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,62.42257641200008,85.03277871200005,69.37843504807273,68.78419523599999,0.0,blkgps,510030112022,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,63.65306361199998,89.16721570400001,68.70474619869984,67.6890616280001,0.0,blkgps,510030113014,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,65.72643454400006,91.92350703200006,71.96604363471636,71.035986812,0.0,blkgps,510030104022,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,59.46325469600011,81.06445749200005,66.54356043367892,65.83717839200011,0.0,blkgps,510030112013,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,64.18217310799999,90.94526970800007,69.50114456551222,68.20586625200002,0.0,blkgps,510030102012,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,65.63414800399997,90.98218432400003,73.24899197488614,71.87271810800004,0.0,blkgps,510030106021,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,64.82817888800008,97.52222379200009,72.04264154772582,69.67629845600004,0.0,blkgps,510030108001,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,64.97583735199999,83.63002330400005,68.08537237762181,66.76312001000011,0.0,blkgps,510030113011,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,70.679145524,96.47630967199999,83.86833913334033,83.88227318000006,0.0,blkgps,515400008004,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,63.91146592400004,87.77061273200005,69.13291317539864,68.35352471600004,0.0,blkgps,510030113013,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,65.86794057200004,88.42277094800008,71.62889153337957,71.165187968,0.0,blkgps,510030110001,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,67.63984214000004,83.74076715200007,78.65784943331462,79.7232264440001,0.0,blkgps,515400004024,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,72.65407748000004,84.64517524400003,79.23188537144495,79.1141352800001,0.0,blkgps,515400002013,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
0,71.59585848800005,86.57704014800004,77.14639435450167,76.75775229200008,0.0,blkgps,515400002011,LC08_L2SP_016034_20200922_20201005_02_T1_ST_B10_cville_clipped
