YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202011,152810,920387,1,0,"N","(SKX)TAOS MUNI AIRPORT",36.46,-105.67,3627600,10540200
202011,152837,920558,1,1.24,"ENE","KENOSHA",42.589,-87.809,4235340,8748540
202011,152837,920559,1,39.43,"E","RACINE",42.674,-87.026,4240440,871560
202011,152837,920560,1,4.17,"NNW","CUDAHY",43.005,-87.884,43300,8753040
202011,152877,928579,1,1.96,"SW","SPRING VLY",34.6271,-87.6504,3437626,8739024
202011,152877,928581,1,.4,"E","TUSCUMBIA",34.7303,-87.693,3443818,8741580
202011,152878,920762,1,.69,"N","(IAG)NIAGARA FALLS A",43.11,-78.95,436600,7857000
202011,152878,920763,1,.86,"SW","WILLIAMSVILLE",42.94,-78.74,4256400,7844400
202011,152878,920764,1,.69,"S","GRIFFIN MILLS",42.71,-78.65,4242600,7839000
202011,152878,920765,1,2.31,"SSE","EAST RANDOLPH",42.14,-78.91,428400,7854600
202011,152878,920766,1,1.24,"NE","WELLSVILLE TARNTNE F",42.11,-77.98,426600,7758800
202011,152878,920767,1,1.71,"SW","PORT GIBSON",43.01,-77.19,43600,7711400
202011,152878,920768,1,2.48,"E","DEFERIET",44.07,-75.72,444200,7543200
202011,152878,920769,1,1.04,"SSE","ANGOLA ARPT",42.6373,-78.9689,4238238,7858134
202011,152878,920770,1,.51,"W","FOREST GLEN",42.72,-78.83,4243200,7849800
202011,152878,920771,1,.69,"S","TONAWANDA",43.01,-78.87,43600,7852200
202011,152878,920772,1,.51,"E","LAKE VIEW",42.72,-78.92,4243200,7855200
202011,152878,920773,1,.51,"E","JAMESTOWN WEST",42.1,-79.26,426000,7915600
202011,152878,920775,1,.86,"NE","JAMESTOWN",42.11,-79.22,426600,7913200
202011,152878,920776,1,1.23,"NW","WOODLAWN",42.81,-78.85,4248600,7851000
202011,152878,920777,1,1.47,"SSW","ELLICOTT",42.71,-78.73,4242600,7843800
202011,152878,920778,1,.69,"S","EBENEZER",42.84,-78.75,4250400,7845000
202011,152878,920779,1,1.24,"NE","OBI",42.09,-78.25,425400,7815000
202011,152878,920780,1,.85,"SW","WILLIAMSON",43.22,-77.19,4313200,7711400
202011,152878,920781,1,.86,"SE","MARION",43.14,-77.19,438400,7711400
202011,152878,920782,1,.85,"NE","SODUS",43.24,-77.06,4314400,773600
202011,152878,920783,1,1.01,"E","WOLCOTT",43.22,-76.81,4313200,7648600
202011,152878,920784,1,.5,"E","RED CREEK",43.25,-76.72,4315000,7643200
202011,152878,920785,1,.5,"E","VICTORY",43.2,-76.66,4312000,7639600
202011,152878,920786,1,0,"N","CONQUEST",43.12,-76.65,437200,7639000
202011,152878,920787,1,.69,"N","ELLISBURG",43.74,-76.13,4344400,767800
202006,147194,885072,1,.87,"SE","MARYDEL",39.11,-75.74,396600,7544400
202006,147194,885073,1,0,"N","MIDDLETOWN",39.45,-75.73,3927000,7543800
202006,147194,885074,1,1.75,"WSW","BLACKISTON",39.26,-75.73,3915600,7543800
202006,147194,885076,1,1.06,"W","CENTERVILLE",39.82,-75.64,3949200,7538400
202006,147194,885077,1,.69,"S","CENTERVILLE",39.81,-75.62,3948600,7537200
202006,147194,885078,1,.53,"E","MIDDLETOWN",39.45,-75.72,3927000,7543200
202006,147195,884885,1,1.28,"WNW","CHURCH HILL",39.14,-76,398400,7600
202006,147195,884887,1,2.11,"NW","BLYTHEDALE",39.6,-76.08,3936000,764800
202006,147195,884891,1,1.07,"E","BIGWOODS",39.28,-76.01,3916800,76600
202006,147195,884893,1,1.48,"SSW","CALVERT",39.68,-75.99,3940800,7559400
202006,147195,884896,1,0,"N","GREENSBORO",38.97,-75.8,3858200,7548000
202006,147217,885104,1,2.79,"SW","GARRISON MUNI ARPT",47.6,-101.42,4736000,10125200
202006,147217,886039,1,.69,"N","BOTTINEAU ARPT",48.84,-100.42,4850400,10025200
202006,147218,885111,1,7.96,"WSW","LINTON MUNI ARPT",46.17,-100.38,4610200,10022800
202006,147218,885112,1,14.95,"ENE","STRASBURG",46.25,-99.91,4615000,9954600
202006,147218,885113,1,3.49,"N","DANZIG",46.18,-99.48,4610800,9928800
202006,147218,885114,1,6.7,"ENE","DANZIG",46.18,-99.35,4610800,9921000
202006,147218,885115,1,5.28,"W","ELLENDALE",46,-98.63,4600,9837800
202006,147218,885165,1,13.95,"NE","ASHLEY",46.1712,-99.1618,4610272,999708
202006,147228,885248,1,4.95,"NNW","VERMILLION",39.79,-96.29,3947400,9617400
202006,147228,899328,1,0,"N","FRANKFORT",39.7,-96.42,3942000,9625200
202006,147228,899329,1,.53,"E","AXTELL",39.87,-96.26,3952200,9615600
202006,147228,899330,1,1.06,"E","AXTELL",39.87,-96.25,3952200,9615000
202006,147228,901259,1,1.38,"N","BELLEVILLE",39.84,-97.63,3950400,9737800
202006,147241,892123,1,.61,"W","GIBSONTON",27.85,-82.38,2751000,8222800
202006,147241,892123,2,.48,"W","GIBSONTON",27.8497,-82.3778,2750982,8222668
202006,147241,892123,3,.58,"W","GIBSONTON",27.8498,-82.3795,2750988,8222770
