FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
202004,24,0,41107,891279,"I","04/24/2020 00:00:00",16,"M","In Water",202004
202001,14,0,41201,897962,"I","01/14/2020 00:00:00",44,"M","Boating",202001
202001,14,0,41202,897962,"I","01/14/2020 00:00:00",57,"M","Boating",202001
202001,14,0,41203,897962,"I","01/14/2020 00:00:00",59,"M","Boating",202001
202001,11,0,41291,871629,"D","01/11/2020 00:00:00",51,"M","Mobile/Trailer Home",202001
202001,11,0,41292,871629,"D","01/11/2020 00:00:00",85,"M","Mobile/Trailer Home",202001
202003,7,0,40984,883722,"D","03/07/2020 00:00:00",,"F","Outside/Open Areas",202003
202002,6,0,40781,877285,"D","02/06/2020 00:00:00",80,"F","Vehicle/Towed Trailer",202002
202001,11,0,41293,871629,"D","01/11/2020 00:00:00",75,"F","Mobile/Trailer Home",202001
202004,7,0,40839,881954,"D","04/07/2020 00:00:00",,"","Unknown",202004
202004,22,0,41038,889030,"D","04/22/2020 00:00:00",29,"M","Unknown",202004
202004,22,0,41039,889030,"D","04/22/2020 00:00:00",27,"F","Unknown",202004
202004,22,0,41040,889030,"D","04/22/2020 00:00:00",,"M","Unknown",202004
202002,6,0,41294,878237,"D","02/06/2020 00:00:00",54,"F","Mobile/Trailer Home",202002
202003,20,0,41286,879197,"D","03/20/2020 00:00:00",,"F","In Water",202003
202003,20,0,41287,879197,"D","03/20/2020 00:00:00",17,"M","In Water",202003
202009,3,0,41501,917518,"I","09/03/2020 00:00:00",81,"F","Permanent Home",202008
202009,3,0,41502,917518,"I","09/03/2020 00:00:00",72,"M","Permanent Home",202008
202011,15,0,42014,923091,"D","11/15/2020 00:00:00",43,"M","Boating",202011
202001,17,0,41234,901386,"D","01/17/2020 00:00:00",34,"M","Outside/Open Areas",202001
202011,15,0,42015,923091,"D","11/15/2020 00:00:00",60,"M","Boating",202011
202011,24,0,41866,923169,"I","11/24/2020 00:00:00",,"","Vehicle/Towed Trailer",202011
202003,28,0,41288,909156,"D","03/28/2020 00:00:00",38,"M","In Water",202003
202008,28,0,41503,917518,"I","08/28/2020 00:00:00",31,"M","Permanent Home",202008
202009,3,0,41506,917518,"I","09/03/2020 00:00:00",84,"M","Permanent Home",202008
202009,7,0,41508,917518,"I","09/07/2020 00:00:00",49,"M","Permanent Home",202008
202009,4,0,41504,917518,"I","09/04/2020 00:00:00",59,"M","Under Tree",202008
202010,3,0,41509,917518,"I","10/03/2020 00:00:00",29,"M","Vehicle/Towed Trailer",202008
202008,29,0,41471,917655,"D","08/29/2020 00:00:00",54,"F","In Water",202008
202008,11,0,41467,917670,"I","08/11/2020 00:00:00",61,"M","Outside/Open Areas",202008
202008,18,0,41468,917682,"D","08/18/2020 00:00:00",52,"M","Other",202008
202011,19,0,41916,924168,"I","11/19/2020 00:00:00",51,"M","Vehicle/Towed Trailer",202011
202011,26,0,41918,924366,"D","11/26/2020 00:00:00",4,"F","In Water",202011
202008,30,0,41511,918078,"I","08/30/2020 00:00:00",36,"M","Outside/Open Areas",202008
202008,31,0,41512,918078,"I","08/31/2020 00:00:00",80,"M","Permanent Home",202008
202008,27,0,41510,918079,"D","08/27/2020 00:00:00",14,"F","Permanent Home",202008
202008,27,0,41519,918080,"D","08/27/2020 00:00:00",64,"F","Permanent Home",202008
202008,28,0,41520,918080,"I","08/28/2020 00:00:00",84,"M","Permanent Home",202008
202008,28,0,41521,918080,"I","08/28/2020 00:00:00",80,"F","Permanent Home",202008
202008,27,0,41525,918081,"D","08/27/2020 00:00:00",68,"M","Permanent Home",202008
202009,8,0,41517,918083,"I","09/08/2020 00:00:00",49,"M","Mobile/Trailer Home",202008
202008,27,0,41516,918083,"I","08/27/2020 00:00:00",67,"M","Permanent Home",202008
202008,29,0,41518,918083,"I","08/29/2020 00:00:00",50,"M","Permanent Home",202008
202011,15,0,41919,924367,"D","11/15/2020 00:00:00",,"","In Water",202011
202008,27,0,41526,918105,"I","08/27/2020 00:00:00",60,"M","Permanent Structure",202008
202008,27,0,41527,918105,"I","08/27/2020 00:00:00",53,"M","Permanent Structure",202008
202008,27,0,41528,918105,"I","08/27/2020 00:00:00",,"M","Permanent Structure",202008
202008,27,0,41529,918105,"I","08/27/2020 00:00:00",,"","Permanent Structure",202008
202008,27,0,41530,918105,"I","08/27/2020 00:00:00",,"","Permanent Structure",202008
202008,4,0,41532,918460,"D","08/04/2020 00:00:00",60,"F","Permanent Home",202008
202008,4,0,41651,918700,"D","08/04/2020 00:00:00",,"","Vehicle/Towed Trailer",202008
202009,2,0,41544,918810,"D","09/02/2020 00:00:00",,"M","Outside/Open Areas",202008
202008,14,0,41546,918812,"D","08/14/2020 00:00:00",69,"M","Outside/Open Areas",202008
202011,29,0,41936,924641,"I","11/29/2020 00:00:00",50,"M","Vehicle/Towed Trailer",202011
202011,11,0,41963,925309,"I","11/11/2020 00:00:00",,"M","Permanent Home",202011
202011,22,0,42296,928547,"D","11/22/2020 00:00:00",18,"F","Vehicle/Towed Trailer",202011
202008,20,0,41562,919148,"D","08/20/2020 00:00:00",82,"M","Permanent Home",202008
202008,20,0,41566,919149,"D","08/20/2020 00:00:00",64,"M","Permanent Home",202008
202011,22,0,42297,928551,"D","11/22/2020 00:00:00",6,"","Vehicle/Towed Trailer",202011
202011,30,0,42021,928557,"D","11/30/2020 00:00:00",34,"M","Vehicle/Towed Trailer",202011
202011,30,0,42022,928557,"D","11/30/2020 00:00:00",33,"F","Vehicle/Towed Trailer",202011
202011,10,0,42157,928567,"I","11/10/2020 00:00:00",21,"M","Vehicle/Towed Trailer",202011
202011,10,0,42158,928610,"I","11/10/2020 00:00:00",27,"M","Vehicle/Towed Trailer",202011
202011,10,0,42159,928624,"I","11/10/2020 00:00:00",55,"M","Vehicle/Towed Trailer",202011
202011,10,0,42160,928624,"I","11/10/2020 00:00:00",43,"M","Vehicle/Towed Trailer",202011
202011,11,0,42032,928677,"I","11/11/2020 00:00:00",,"M","Permanent Home",202011
202011,13,0,42038,928851,"I","11/13/2020 00:00:00",68,"M","Vehicle/Towed Trailer",202011
202011,10,0,42163,928921,"I","11/10/2020 00:00:00",70,"M","Vehicle/Towed Trailer",202011
202011,10,0,42164,928921,"I","11/10/2020 00:00:00",72,"M","Vehicle/Towed Trailer",202011
202008,27,0,41650,919297,"D","08/27/2020 00:00:00",51,"M","Mobile/Trailer Home",202008
202008,11,0,41642,919334,"D","08/11/2020 00:00:00",41,"F","Permanent Home",202008
202008,10,0,41643,919340,"I","08/10/2020 00:00:00",41,"M","Outside/Open Areas",202008
202008,25,0,41652,919557,"D","08/25/2020 00:00:00",56,"M","Permanent Home",202008
202009,5,0,41295,909473,"D","09/05/2020 00:00:00",16,"M","In Water",202009
202009,6,0,41296,909474,"D","09/06/2020 00:00:00",57,"M","In Water",202009
202009,7,0,41298,909475,"D","09/07/2020 00:00:00",,"","Unknown",202009
202009,8,0,41432,909610,"D","09/08/2020 00:00:00",,"","Unknown",202009
202009,8,0,41433,909610,"D","09/08/2020 00:00:00",,"","Unknown",202009
202004,16,0,40755,877114,"I","04/16/2020 00:00:00",27,"M","Vehicle/Towed Trailer",202004
202004,15,0,40765,877048,"D","04/15/2020 00:00:00",30,"M","Outside/Open Areas",202004
202004,12,0,40766,877419,"D","04/12/2020 00:00:00",60,"M","Outside/Open Areas",202004
202004,22,0,40806,880057,"D","04/22/2020 00:00:00",48,"M","In Water",202004
202004,29,0,40807,879418,"D","04/29/2020 00:00:00",1,"M","Vehicle/Towed Trailer",202004
202004,29,0,40808,879418,"D","04/29/2020 00:00:00",2,"M","Vehicle/Towed Trailer",202004
202004,29,0,40809,879418,"D","04/29/2020 00:00:00",4,"F","Vehicle/Towed Trailer",202004
202004,29,0,40810,879418,"D","04/29/2020 00:00:00",6,"F","Vehicle/Towed Trailer",202004
202004,29,0,40811,879418,"D","04/29/2020 00:00:00",12,"F","Vehicle/Towed Trailer",202004
202004,28,0,40830,881161,"D","04/28/2020 00:00:00",44,"M","Under Tree",202004
202004,12,0,40843,882493,"D","04/12/2020 00:00:00",62,"M","Permanent Structure",202004
202004,12,0,40992,884080,"I","04/12/2020 00:00:00",32,"M","Vehicle/Towed Trailer",202004
202004,21,0,41006,886389,"D","04/21/2020 00:00:00",80,"M","Outside/Open Areas",202004
202004,8,0,41007,884482,"I","04/08/2020 00:00:00",42,"M","Vehicle/Towed Trailer",202004
202004,30,0,41015,887797,"D","04/30/2020 00:00:00",82,"M","Vehicle/Towed Trailer",202004
202004,13,0,41016,887943,"D","04/13/2020 00:00:00",61,"F","Mobile/Trailer Home",202004
202004,9,0,41041,889119,"D","04/09/2020 00:00:00",61,"M","Outside/Open Areas",202004
202004,12,0,41064,889259,"D","04/12/2020 00:00:00",59,"F","Mobile/Trailer Home",202004
202004,12,0,41065,889259,"D","04/12/2020 00:00:00",20,"F","Mobile/Trailer Home",202004
202004,12,0,41066,889259,"D","04/12/2020 00:00:00",63,"F","Mobile/Trailer Home",202004
