"BlockCode","Blkgr","tract","resproviders","bb253_num","bb253_per","bbmin_dl","bbmax_dl","bbmin_up","bbmax_up","avgMaxAdDown","avgMaxAdUp"
"510010901001060","510010901001","51001090100",7,4,57.1,2,940,0.768,35,149.571428571429,6.86685714285714
"510010901001061","510010901001","51001090100",6,4,66.7,2,940,0.768,35,172,7.678
"510010901001062","510010901001","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901001063","510010901001","51001090100",6,4,66.7,2,940,0.768,35,172,7.678
"510010901001064","510010901001","51001090100",9,6,66.7,2,2000,1,2000,342.444444444444,228.7
"510010901001065","510010901001","51001090100",9,6,66.7,2,2000,1,2000,343,228.7
"510010901001066","510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,341.888888888889,228.674222222222
"510010901001067","510010901001","51001090100",4,3,75,15,940,2,35,255,12.5
"510010901001068","510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,342.111111111111,228.674222222222
"510010901001069","510010901001","51001090100",7,4,57.1,2,940,0.768,35,150,7.86685714285714
"510010901001070","510010901001","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901001071","510010901001","51001090100",4,3,75,15,940,2,35,255,12.5
"510010901001072","510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,341.888888888889,228.674222222222
"510010901001073","510010901001","51001090100",7,5,71.4,2,2000,1.3,2000,435.285714285714,293.471428571429
"510010901001074","510010901001","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901001075","510010901001","51001090100",5,4,80,2,940,1.3,35,205.4,9.06
"510010901001076","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001077","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001078","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001079","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001080","510010901001","51001090100",2,2,100,35,940,3,35,487.5,19
"510010901001081","510010901001","51001090100",5,3,60,2,940,0.768,35,201.4,8.6136
"510010901001082","510010901001","51001090100",2,2,100,35,940,3,35,487.5,19
"510010901001083","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001084","510010901001","51001090100",4,3,75,15,940,2,35,255,12.5
"510010901001085","510010901001","51001090100",6,3,50,2,940,0.768,35,170,7.51133333333333
"510010901001086","510010901001","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901001087","510010901001","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901001088","510010901001","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901001089","510010901001","51001090100",6,4,66.7,2,2000,0.768,2000,501.166666666667,340.511333333333
"510010901001090","510010901001","51001090100",6,4,66.7,2,2000,1,2000,502,340.55
"510010901001091","510010901001","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901001092","510010901001","51001090100",6,4,66.7,2,2000,1.3,2000,351.166666666667,336.55
"510010901002000","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002001","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002002","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002003","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002004","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002005","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002006","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002007","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002008","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002009","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002010","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002011","510010901002","51001090100",7,5,71.4,2,2000,1.3,2000,435.285714285714,293.471428571429
"510010901002012","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002013","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002014","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002015","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.125,256.9125
"510010901002016","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002017","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.125,256.9125
"510010901002018","510010901002","51001090100",6,4,66.7,2,940,1.3,35,174.5,9.05
"510010901002019","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002020","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002021","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002022","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002023","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002024","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002025","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002026","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002027","510010901002","51001090100",7,4,57.1,2,940,0.768,35,150.285714285714,7.86685714285714
"510010901002028","510010901002","51001090100",7,4,57.1,2,940,1,35,151.714285714286,7.9
"510010901002029","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002030","510010901002","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901002031","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002032","510010901002","51001090100",5,4,80,15,2000,2,2000,604,410
"510010901002033","510010901002","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901002034","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002035","510010901002","51001090100",7,4,57.1,2,940,1,35,151,7.9
"510010901002036","510010901002","51001090100",4,3,75,15,940,2,35,255,12.5
"510010901002037","510010901002","51001090100",7,4,57.1,2,940,1,35,151.714285714286,7.9
"510010901002038","510010901002","51001090100",4,3,75,15,2000,2,2000,747.5,510
"510010901002039","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901002040","510010901002","51001090100",4,3,75,15,2000,2,2000,747.5,510
"510010901002041","510010901002","51001090100",7,4,57.1,2,940,1,35,151,7.9
"510010901002042","510010901002","51001090100",7,5,71.4,2,2000,1.3,2000,435.285714285714,293.471428571429
"510010901002043","510010901002","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901002044","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.125,256.9125
"510010901002045","510010901002","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901003000","510010901003","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901003001","510010901003","51001090100",7,4,57.1,2,2000,1,2000,433.142857142857,292.185714285714
"510010901003002","510010901003","51001090100",5,4,80,2,940,1.3,35,206.4,10.46
"510010901003003","510010901003","51001090100",5,4,80,2,940,1.3,35,206.4,10.46
"510010901003004","510010901003","51001090100",5,4,80,2,940,1.3,35,206.4,10.46
"510010901003005","510010901003","51001090100",5,3,60,2,940,1,35,203.4,8.66
"510010901003006","510010901003","51001090100",6,3,50,2,940,1,35,171.166666666667,7.55
"510010901003007","510010901003","51001090100",5,4,80,2,940,1.3,35,206.4,10.46
"510010901003008","510010901003","51001090100",5,4,80,2,940,1.3,35,206.4,10.46
"510010901003009","510010901003","51001090100",5,4,80,2,940,1.3,35,206.4,10.46
"510010901003010","510010901003","51001090100",5,4,80,2,940,1.3,35,206.4,10.46
"510010901003011","510010901003","51001090100",6,5,83.3,2,2000,1.3,2000,505.333333333333,342.05
"510010901003012","510010901003","51001090100",5,4,80,2,940,1.3,35,206.4,10.46
"510010901003013","510010901003","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
