"blkgroup","medc_allblk","medc_workinRegionblk","medc_within40blk","medc_25_employeesblk","commutersInBlgr","commuterinRegionblk","commuterw40blk","commuter25blk","avgc_allblk","avgc_workinRegionblk","avgc_within40blk","avgc_25_employeesblk","county"
"510010901001",45.8751215245304,8.99890592869318,8.37083898128576,13.5251012548194,429,298,291,323,45.600114229776,9.6950818835973,8.82036713134043,16.6756096703702,"51001"
"510010901002",45.4360610901759,7.0366664581076,6.17351825418129,18.1341924877089,370,250,248,286,44.0366988489395,7.12204539287754,6.80891609437012,18.7141391836704,"51001"
"510010901003",37.6543924503495,8.1782058023117,7.64153513203683,21.0455499801909,288,205,202,234,39.3941426929043,8.30725700723871,7.7612588883785,18.4551184084286,"51001"
"510010901004",41.0740606751529,8.45410189992033,6.43463791178214,11.3015777410104,261,180,176,202,42.6935521546634,8.20858155647997,7.40388093393247,19.5314071470738,"51001"
"510010902001",43.5407534150592,8.17330555331405,8.38218645346066,19.6132948846636,263,168,170,201,45.5592459901389,8.39050202511341,8.73030739790629,22.4434818467867,"51001"
"510010902002",47.9662339808473,10.9883121995342,10.7067363185319,18.5064491369204,972,647,643,746,48.7770423751455,10.8652158010134,10.6674093953068,22.0734218729258,"51001"
"510010902003",47.9499516959742,8.21474835410897,8.61482332221818,17.4069015959405,657,432,437,492,47.9220206419986,8.63508079123223,8.9788032715108,17.6112216211198,"51001"
"510010903001",54.0772967270313,8.00882457192437,8.75825915065599,13.5553939346231,276,156,163,177,49.5859463545829,7.84408561758311,9.00506459790688,14.9022859577522,"51001"
"510010903002",42.790291109716,8.16606278510446,8.60690343514989,16.8478413140758,285,167,173,196,46.8277350418574,8.20362427155626,9.20478314295127,18.8379221512611,"51001"
"510010903003",38.6918424906176,7.39681697505249,7.85368969061747,15.4552057732328,339,202,210,233,44.8288823890616,7.11234079895845,8.1344583394736,17.268754469341,"51001"
"510010904001",40.9769386732571,8.71330718638343,9.24323717989389,15.2797098968619,338,226,231,262,42.3901302460377,8.73238803431981,9.38667507642683,19.18230933292,"51001"
"510010904002",42.2540020245173,7.69965750167652,8.8267333096783,16.6721827372491,487,315,324,365,48.6867330616803,8.04108323409804,8.83663269782639,20.8606365406354,"51001"
"510010904003",38.1836455651321,7.22978968123255,7.81349939185522,14.091050740283,601,386,400,450,45.1494607367195,6.78182556853569,7.7845232352622,16.5261896035729,"51001"
"510010904004",43.1778251257496,4.9385997254698,6.30211030309417,11.0095812738689,467,296,310,334,44.8310195807918,5.48771199989077,6.81659651688,13.3170027010041,"51001"
"510010905001",46.2812756316288,5.33079050746368,6.2801838516905,13.6942022340293,237,135,144,162,46.5839319044606,5.461477786434,7.1339669616376,17.0601911780213,"51001"
"510010905002",45.9921663250474,5.20850908717716,6.39997423726381,12.2374330167036,449,262,277,301,48.5585228509632,5.83488083313172,7.37031921092447,17.2662638952334,"51001"
"510010905003",33.0859866595546,4.57392062805138,5.53839814508819,8.68464850061042,335,191,209,224,44.205941946987,5.11310995951941,7.65528615454593,17.2788087940744,"51001"
"510010906001",45.56596807836,20.1548314904156,21.581843280773,25.3936619823091,290,187,222,212,42.6686823801343,20.2299452569554,21.2781593778707,24.4308956847572,"51001"
"510010906002",38.4311251653305,6.58443536075625,7.88350165039688,14.1441104246853,441,299,316,349,37.3999920810008,6.35349690566001,7.75152659820287,16.0336058554436,"51001"
"510010906003",34.0952415243044,6.3668949588367,7.73678850663784,13.0710726043394,579,383,405,439,37.7907129187776,6.20076217983777,7.7349793287053,15.9887181575472,"51001"
