STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,Totpcp,Totpcpinch
51,131,930300,2,511319303002,Block Group 2,1990,28.78,31.28,29.34,83.8,88.31,84.81,1255.96,49.45
51,131,930300,3,511319303003,Block Group 3,1990,28.62,31.16,29.3,83.52,88.08,84.75,1210.51,47.66
51,131,930300,4,511319303004,Block Group 4,1990,28.79,31.27,29.36,83.81,88.28,84.85,1278.81,50.35
51,131,990100,0,511319901000,Block Group 0,1990,28.59,31.11,29.3,83.46,88,84.75,1205.08,47.44
51,001,090100,1,510010901001,Block Group 1,2000,27.2,27.32,27.92,80.96,81.17,82.25,1043.71,41.09
51,001,090100,2,510010901002,Block Group 2,2000,27.26,27.37,27.95,81.06,81.27,82.32,1053.98,41.5
51,001,090100,3,510010901003,Block Group 3,2000,27.21,27.34,27.93,80.98,81.2,82.28,1043.98,41.1
51,001,090100,4,510010901004,Block Group 4,2000,27.31,27.43,28,81.15,81.37,82.39,1081.15,42.56
51,001,090200,1,510010902001,Block Group 1,2000,27.87,27.9,28.32,82.16,82.22,82.98,1251.67,49.28
51,001,090200,2,510010902002,Block Group 2,2000,27.58,27.61,28.1,81.64,81.69,82.58,1165.03,45.87
51,001,090200,3,510010902003,Block Group 3,2000,27.68,27.72,28.19,81.83,81.89,82.74,1210.32,47.65
51,001,090300,1,510010903001,Block Group 1,2000,28.08,28.15,28.52,82.54,82.67,83.34,1292.69,50.89
51,001,090300,2,510010903002,Block Group 2,2000,27.8,27.83,28.27,82.04,82.1,82.89,1233.4,48.56
51,001,090300,3,510010903003,Block Group 3,2000,27.96,28.02,28.42,82.32,82.43,83.15,1247.5,49.11
51,001,090400,1,510010904001,Block Group 1,2000,27.64,27.7,28.18,81.75,81.85,82.72,1170.62,46.09
51,001,090400,2,510010904002,Block Group 2,2000,27.66,27.72,28.2,81.79,81.9,82.75,1166.67,45.93
51,001,090400,3,510010904003,Block Group 3,2000,27.71,27.78,28.25,81.88,82.01,82.84,1155.18,45.48
51,001,090400,4,510010904004,Block Group 4,2000,27.82,27.87,28.32,82.08,82.16,82.97,1114.15,43.86
