STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,tree_can,imp_surf,blkgps,cells,developed,forest,percent_dev,percent_for
51,001,990100,0,510019901000,Block Group 0,0.03810268418858664,0.004521992366016288,1,520567,1,11,1.9209823135158392e-4,0.0021130805448674236
51,001,090800,2,510010908002,Block Group 2,9.979140842239284,0.4271332372943821,2,238792,5085,8368,2.129468323896948,3.504305001842608
51,001,090400,4,510010904004,Block Group 4,15.0362332515569,1.0137539824384185,3,90083,4223,8032,4.687898937646392,8.916221706648313
51,001,090400,3,510010904003,Block Group 3,18.640937837420946,1.4072960049359864,4,64830,3734,6224,5.759679160882308,9.600493598642604
51,001,090800,3,510010908003,Block Group 3,24.560830691004657,1.8512011883337618,5,35007,2605,3618,7.441368869083326,10.335075841974463
51,001,090300,1,510010903001,Block Group 1,13.844600764653347,0.5027043842132198,6,99653,2512,663,2.5207469920624566,0.6653086209145735
51,001,090300,2,510010903002,Block Group 2,56.83495325128097,1.700491257725424,7,37862,2641,1913,6.975331466906133,5.052559294279225
51,001,980100,1,510019801001,Block Group 1,10.72295718839944,0.5812284619058069,8,77479,1394,2725,1.7991972018224291,3.5170820480388234
51,001,090700,4,510010907004,Block Group 4,39.215247989276136,1.3031501340482574,9,29840,3111,6737,10.425603217158178,22.57707774798928
51,001,090700,5,510010907005,Block Group 5,29.624631794646614,0.7020601203871417,10,109314,5787,10883,5.293923925572205,9.955723878002818
51,001,980200,1,510019802001,Block Group 1,3.478486796160174,2.5053205970431915,11,84483,6373,1094,7.543529467466828,1.294935075695702
51,001,090200,2,510010902002,Block Group 2,30.888145476458437,1.8502432583323734,12,112843,10742,14431,9.51942078817472,12.788564642910947
51,131,990100,0,511319901000,Block Group 0,0.41467696913305624,0.23383389295683518,13,1235950,873,1,0.07063392532060359,8.09094219021805e-5
51,131,930200,2,511319302002,Block Group 2,25.232057511550103,1.2782579257607138,14,50216,3760,8822,7.487653337581647,17.568105783017366
51,131,930200,1,511319302001,Block Group 1,25.403455700482233,1.1596526504973574,15,56197,3589,8864,6.386461910778156,15.773083972454046
51,131,930100,1,511319301001,Block Group 1,30.359243214230947,1.4080470786689159,16,52168,4014,7309,7.6943720288299335,14.010504523846034
51,131,930300,4,511319303004,Block Group 4,9.90248325402571,1.2685962902307535,17,142273,5716,9381,4.017628081224125,6.593661481799076
51,001,090100,2,510010901002,Block Group 2,22.06451612903226,26.672811059907833,18,2170,1580,19,72.81105990783409,0.8755760368663594
51,001,090500,3,510010905003,Block Group 3,37.650262094754765,3.8291876731995593,19,29951,3810,3215,12.720777269540248,10.734199192013623
51,001,090700,2,510010907002,Block Group 2,35.51378029168746,3.894304885487717,20,18033,2868,1719,15.904175677923806,9.532523706538013
51,001,090700,3,510010907003,Block Group 3,41.53696513470681,2.6336370839936607,21,25240,2466,3971,9.770206022187004,15.732963549920761
51,001,090500,2,510010905002,Block Group 2,29.23969722455845,5.288571161573684,22,10701,2219,1294,20.73637977759088,12.092327819829922
51,001,090600,3,510010906003,Block Group 3,23.161837869476148,13.55428738659643,23,3417,2028,106,59.35030728709394,3.102136376938835
51,001,090400,2,510010904002,Block Group 2,23.94903760790314,1.8850418390283525,24,52941,4159,7070,7.855915075272474,13.354488959407643
51,001,090700,1,510010907001,Block Group 1,30.30623422393675,5.308806019907606,25,20997,3800,2494,18.097823498595037,11.877887317235796
51,001,090600,1,510010906001,Block Group 1,0.03223687755981898,0.10635037184738098,26,296896,742,33,0.24991916361284758,0.011115003233455486
51,001,090600,4,510010906004,Block Group 4,35.584801129750616,1.3810425363522092,27,64439,4960,3937,7.697202004996974,6.109654091466348
51,001,090200,3,510010902003,Block Group 3,36.99224834237493,1.806449668474985,28,82950,6825,8726,8.227848101265822,10.519590114526824
51,001,090100,3,510010901003,Block Group 3,9.669495412844038,11.920412844036697,29,4360,1497,82,34.3348623853211,1.8807339449541285
51,001,090100,1,510010901001,Block Group 1,3.1847935887938577,2.1647024490987046,30,44547,2975,154,6.6783397310705555,0.3457022919612993
51,001,990200,0,510019902000,Block Group 0,0,0,31,1095675,0,0,0,0
51,001,090100,4,510010901004,Block Group 4,2.9792292507080935,6.9495322289932195,32,11651,1914,91,16.427774439962235,0.7810488370096987
51,001,090400,1,510010904001,Block Group 1,23.790431738623106,1.666001909409144,33,47135,3217,4981,6.825076906757187,10.567518828895725
51,001,090800,1,510010908001,Block Group 1,26.12536541197775,0.9026645970767041,34,77310,3560,3818,4.604837666537318,4.938559047988617
51,001,090500,1,510010905001,Block Group 1,13.937617604014221,0.25849362324900704,35,76528,1750,451,2.286744720886473,0.589326782354171
51,001,090300,3,510010903003,Block Group 3,22.89049483223386,0.4193814935724637,36,73823,2560,2033,3.467753952020373,2.7538842908036787
51,001,090600,2,510010906002,Block Group 2,14.154674185746897,0.33931921433899187,37,176972,4118,3085,2.3269217729358314,1.74321361571322
51,001,090200,1,510010902001,Block Group 1,38.71698889345948,1.4380165289256197,38,53482,3373,2351,6.306794809468606,4.395871508170973
51,131,930100,3,511319301003,Block Group 3,35.21259343722286,7.068541745850754,39,7893,1963,841,24.870138097048017,10.655010769035854
51,131,930300,2,511319303002,Block Group 2,13.067890304469877,9.099373785359534,40,23155,6100,1659,26.344202116173616,7.164759231267545
51,131,930300,1,511319303001,Block Group 1,17.1769514577154,2.885299862547927,41,27646,3357,2812,12.142805469145628,10.171453374810099
51,131,930300,3,511319303003,Block Group 3,1.996168088966731,0.259711419037644,42,349434,3261,4015,0.9332234413365614,1.1490009558314302
51,131,930200,3,511319302003,Block Group 3,21.775384737426624,1.6651792797080756,43,50424,3363,7769,6.669443122322703,15.407345708392828
51,131,930200,4,511319302004,Block Group 4,19.380243328599587,0.9674219462048792,44,94358,3847,7569,4.077025795375061,8.021577396723119
51,131,930100,2,511319301002,Block Group 2,30.47396279286993,2.009807737214914,45,38541,3848,5834,9.984172699203446,15.137126696245556
51,131,930100,4,511319301004,Block Group 4,7.339393334414731,0.5990853848745362,46,160286,3526,4364,2.1998178256366745,2.7226332929887826
