,file,min,max,mean,count,median,nodata,masked_count,spatial_unit,GEOID,basename,full_path,prop_nodata,entity_id,start_date,end_date,start_year,end_year,cloud_cover,area,shp_percent,spatial_bounds,spatial_coverage
2,LC08_L2SP_014034_20200722_20200911_02_T1,-154.16778053199994,98.08209546800002,70.37901447613724,213018,78.80651347999998,0.0,307052,tracts,51001090200,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
3,LC08_L2SP_014034_20200722_20200911_02_T1,0.8736066680000683,99.54022280000005,73.40469191470015,61372,75.05967995600004,0.0,80438,tracts,51001980200,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
4,LC08_L2SP_014034_20200722_20200911_02_T1,-21.016760619999957,99.01726574,77.07617432386508,36903,81.37823172800002,0.0,257442,tracts,51001980100,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
5,LC08_L2SP_014034_20200722_20200911_02_T1,16.31622102800004,106.80009728000005,74.79960545981399,200473,75.90256368800001,0.0,298151,tracts,51001090400,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
6,LC08_L2SP_014034_20200722_20200911_02_T1,-189.66733625199998,98.51276598799998,54.65374486490132,140741,64.03451464400007,0.0,257869,tracts,51001090300,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
7,LC08_L2SP_014034_20200722_20200911_02_T1,63.21008822000003,113.85694137200001,85.06939458255478,183124,84.43599242000005,0.0,424078,tracts,51001090800,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
8,LC08_L2SP_014034_20200722_20200911_02_T1,,,,0,,,4,tracts,51001990200,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
9,LC08_L2SP_014034_20200722_20200911_02_T1,40.815221180000094,97.96519918400004,79.5739793761395,137591,80.01239093600009,0.0,1010365,tracts,51001090600,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
10,LC08_L2SP_014034_20200722_20200911_02_T1,18.851024660000007,95.738017352,67.98871704050535,13126,71.405132972,3.0,2092529,tracts,51001990100,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0002285017899306878,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
11,LC08_L2SP_014034_20200722_20200911_02_T1,5.531000720000087,93.84306706400008,68.9007313105105,72232,72.78943107200007,0.0,81887,tracts,51001090500,easternShore,landsat8_c2_l2_data/easternShore/clipped/LC08_L2SP_014034_20200722_20200911_02_T1_ST_B10_easternShore_clipped.TIF,0.0,LC80140342020204LGN00,2020-07-22,2020-07-22,2020,2020,9.85,2638.322017,100.0,"[[-77.04157, 36.40784], [-77.04157, 38.52658], [-74.42752, 38.52658], [-74.42752, 36.40784], [-77.04157, 36.40784]]","[[-77.04157, 36.80667], [-74.96588, 36.40784], [-74.42752, 38.12646], [-76.55134, 38.52658], [-77.04157, 36.80667]]"
