STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can
51,001,090700,2019,510010907002019,Block 2019,7.829268292682927
51,001,090700,2072,510010907002072,Block 2072,14.789473684210526
51,001,090700,2052,510010907002052,Block 2052,0
51,001,090700,2054,510010907002054,Block 2054,0
51,001,090700,2071,510010907002071,Block 2071,6.8076923076923075
51,001,090700,2007,510010907002007,Block 2007,15.285714285714286
51,001,090700,2069,510010907002069,Block 2069,0.8333333333333334
51,001,090700,2068,510010907002068,Block 2068,8
51,001,090800,2122,510010908002122,Block 2122,18.88888888888889
51,001,090800,2176,510010908002176,Block 2176,10.228571428571428
51,001,090800,2175,510010908002175,Block 2175,0
51,001,090800,2125,510010908002125,Block 2125,0
51,001,090800,2119,510010908002119,Block 2119,0
51,001,090800,2197,510010908002197,Block 2197,0
51,001,090800,2200,510010908002200,Block 2200,0
51,001,090800,2251,510010908002251,Block 2251,0
51,001,090800,3029,510010908003029,Block 3029,0.7285714285714285
51,001,090800,3031,510010908003031,Block 3031,4.666666666666667
51,001,090800,3038,510010908003038,Block 3038,0
51,001,090700,5131,510010907005131,Block 5131,19.285714285714285
51,001,090800,3048,510010908003048,Block 3048,10.375
51,001,090800,3034,510010908003034,Block 3034,21.166666666666668
51,001,090800,3047,510010908003047,Block 3047,0
51,001,090800,3053,510010908003053,Block 3053,0
51,001,090100,4131,510010901004131,Block 4131,0
51,001,980100,1031,510019801001031,Block 1031,0
51,001,090400,4000,510010904004000,Block 4000,0.1586974829231777
51,001,090800,1104,510010908001104,Block 1104,0
51,001,090800,1106,510010908001106,Block 1106,0
51,001,090800,1119,510010908001119,Block 1119,0
51,131,930200,4197,511319302004197,Block 4197,0
51,131,930200,4196,511319302004196,Block 4196,0
51,131,930300,3151,511319303003151,Block 3151,0
51,131,930300,3052,511319303003052,Block 3052,0
51,131,990100,0015,511319901000015,Block 0015,0
51,131,930300,3159,511319303003159,Block 3159,0
51,131,930300,3050,511319303003050,Block 3050,0
51,131,930300,3341,511319303003341,Block 3341,0
51,131,930300,3059,511319303003059,Block 3059,0
51,131,930100,2080,511319301002080,Block 2080,2.393939393939394
51,131,990100,0014,511319901000014,Block 0014,0
51,131,930300,3146,511319303003146,Block 3146,0
51,131,930300,3075,511319303003075,Block 3075,0
51,131,930100,4172,511319301004172,Block 4172,0
51,131,930300,3074,511319303003074,Block 3074,0
51,131,930300,3078,511319303003078,Block 3078,0
51,131,990100,0003,511319901000003,Block 0003,0
51,131,930300,3076,511319303003076,Block 3076,0
51,131,930100,4146,511319301004146,Block 4146,0
51,131,930300,3077,511319303003077,Block 3077,0
51,131,930300,3073,511319303003073,Block 3073,0
51,131,930300,4099,511319303004099,Block 4099,20.692307692307693
51,131,930300,2213,511319303002213,Block 2213,38.30833333333333
51,131,930300,3257,511319303003257,Block 3257,0
51,131,930200,3072,511319302003072,Block 3072,0
51,131,930300,4094,511319303004094,Block 4094,0
51,131,930300,3251,511319303003251,Block 3251,0
51,131,930300,4071,511319303004071,Block 4071,50.0703125
51,131,930200,1030,511319302001030,Block 1030,17.373368146214098
51,131,930200,2105,511319302002105,Block 2105,0
51,131,930300,4117,511319303004117,Block 4117,0
51,131,930300,4145,511319303004145,Block 4145,4.333333333333333
51,131,930300,4142,511319303004142,Block 4142,0
51,131,930200,2042,511319302002042,Block 2042,18.118492811105604
51,131,930100,4208,511319301004208,Block 4208,12.5
51,131,930300,4210,511319303004210,Block 4210,0
51,131,930300,4186,511319303004186,Block 4186,0
51,131,930100,2098,511319301002098,Block 2098,40.86764705882353
51,001,090600,2101,510010906002101,Block 2101,82.54621848739495
51,001,090600,2130,510010906002130,Block 2130,78.6976430976431
51,001,090500,3034,510010905003034,Block 3034,72.80179171332587
51,001,090300,2087,510010903002087,Block 2087,24.222433460076047
51,001,090400,1041,510010904001041,Block 1041,29.985507246376812
51,001,090400,2182,510010904002182,Block 2182,13.175767918088738
51,001,090400,2024,510010904002024,Block 2024,41.28455284552845
51,001,090700,4000,510010907004000,Block 4000,33.125
51,001,090800,3020,510010908003020,Block 3020,29.76476719944406
51,001,090700,5048,510010907005048,Block 5048,0
51,001,090700,5136,510010907005136,Block 5136,0
51,001,090700,4048,510010907004048,Block 4048,37.52743362831858
51,001,090600,4039,510010906004039,Block 4039,54.520628683693516
51,001,090200,3082,510010902003082,Block 3082,6.855629139072848
51,001,090200,2005,510010902002005,Block 2005,0
51,001,090200,2002,510010902002002,Block 2002,0
51,001,090500,3064,510010905003064,Block 3064,56.5327743902439
51,001,090300,2012,510010903002012,Block 2012,44.38741101536156
51,001,090300,1051,510010903001051,Block 1051,73.3166885676741
51,001,090400,1068,510010904001068,Block 1068,37.01324503311258
51,001,090400,1037,510010904001037,Block 1037,30.67391304347826
51,001,090400,1051,510010904001051,Block 1051,61.6822429906542
51,001,090400,1042,510010904001042,Block 1042,0
51,001,090400,1044,510010904001044,Block 1044,82.49526813880126
51,001,090200,3011,510010902003011,Block 3011,49.60476739715494
51,001,090800,1023,510010908001023,Block 1023,0
51,001,090400,4098,510010904004098,Block 4098,45.370370370370374
51,001,090400,4099,510010904004099,Block 4099,35.0609756097561
51,001,090400,4102,510010904004102,Block 4102,20.466666666666665
51,001,090400,4156,510010904004156,Block 4156,12.675675675675675
51,001,090400,4109,510010904004109,Block 4109,1.3571428571428572
51,001,090400,4155,510010904004155,Block 4155,0
51,001,090400,4103,510010904004103,Block 4103,1.35
51,001,090400,4101,510010904004101,Block 4101,18.73846153846154
51,001,090400,4093,510010904004093,Block 4093,1.3076923076923077
51,001,090400,4097,510010904004097,Block 4097,15.6875
51,001,090700,2029,510010907002029,Block 2029,0
51,001,090600,4013,510010906004013,Block 4013,11.5
51,001,090400,4116,510010904004116,Block 4116,80.9618320610687
51,001,090400,4078,510010904004078,Block 4078,44.5
51,001,090400,4150,510010904004150,Block 4150,6.25
51,001,090400,4058,510010904004058,Block 4058,4.676470588235294
51,001,090400,4054,510010904004054,Block 4054,3.411764705882353
51,001,090400,4066,510010904004066,Block 4066,11.842105263157896
51,001,090400,3156,510010904003156,Block 3156,0
51,001,090500,3069,510010905003069,Block 3069,9.532608695652174
51,001,090700,2011,510010907002011,Block 2011,14.833333333333334
51,001,090400,4041,510010904004041,Block 4041,0
51,001,090400,3032,510010904003032,Block 3032,0
51,001,090800,1019,510010908001019,Block 1019,0
51,001,090400,3155,510010904003155,Block 3155,25.181141439205955
51,001,090400,3161,510010904003161,Block 3161,0
51,001,090400,3029,510010904003029,Block 3029,1.3098591549295775
51,001,090400,3137,510010904003137,Block 3137,0
51,001,090400,3136,510010904003136,Block 3136,0.14339339339339338
51,001,090400,3135,510010904003135,Block 3135,0
51,001,090400,3149,510010904003149,Block 3149,0
51,001,090400,3138,510010904003138,Block 3138,0
51,001,090400,3142,510010904003142,Block 3142,0
51,001,090400,3144,510010904003144,Block 3144,0
51,001,090400,4008,510010904004008,Block 4008,0
51,001,090400,3147,510010904003147,Block 3147,0
51,001,090400,4016,510010904004016,Block 4016,0.11397849462365592
51,001,090400,3158,510010904003158,Block 3158,0
51,001,090400,1015,510010904001015,Block 1015,39.23376623376623
51,001,090400,2117,510010904002117,Block 2117,0
51,001,090400,3146,510010904003146,Block 3146,0
51,001,090400,4017,510010904004017,Block 4017,0
51,001,090300,2101,510010903002101,Block 2101,0
