FIP,state_fip,county_fip,tract_fip,county,totalinc,totalelep,totalgas,totalother,averageburden,avg_hh_exp,lowburden,highburden,veryhighburden,extremelyhighburden,totalunits,numberburdened,percentburdened,total_0_30,total_30_60,total_60_80,total_80_100,total_over_100,burdened_0_30,burdened_30_60,burdened_60_80,burdened_80_100,burdened_over_100,percent_0_30,percent_30_60,percent_60_80,percent_80_100,percent_over_100,total_owners,total_renters,burdened_owners,burdened_renters,percent_burdened_owners,percent_burdened_renters
51001090100,51,001,090100,Accomack,106773487.35320511,6143964.248757411,955390.3710621671,321101.4234184945,6.949717787798121,4748.119845355496,683.9598292533078,184.25575313997865,341.3379961183544,291.14448384378426,1500.698062355425,816.7382331021172,54.42388802849544,167.40555621568893,182.59650953035762,136.9256582072249,161.44689796009087,852.3234404420627,167.40555621568893,182.59650953035762,135.96044463534528,157.3261065355461,173.44961618517937,100,100,99.29508202880511,97.44758711588041,20.350210724606924,1160.5645452522795,349.74311243288275,529.8751115508827,286.86312155123466,45.65666887882572,82.02109244003624
51001090200,51,001,090200,Accomack,129612460.67160062,6615627.868170118,2182387.7275142707,516012.61391753546,7.186059242560712,3657.47259633029,1096.5445639224656,483.46076256414017,634.9626745921651,300.42939879553984,2515.397399874311,1418.852835951845,56.406706790057996,263.7054928805339,390.5556121643915,366.98718885718955,327.1886694300473,1166.9604365421483,263.7054928805339,369.1552031694089,324.84586158450156,280.9196532820745,180.22662503532624,100,94.52052196193385,88.5169486695387,85.85861294384918,15.444107562837397,1820.621854008843,696.127174255025,949.5821914941083,469.2706444577367,52.15702477717792,67.41162560705038
51001090300,51,001,090300,Accomack,61442031.63833729,2167115.5059522227,709611.4803648856,311333.0900699389,5.188728288076057,3077.274651398209,440.77056573506655,194.3783927327114,208.81090129209264,149.96856543021036,993.9284251900809,553.1578594550144,55.65369149687286,186.74332276710211,153.4957215853381,144.03470141353475,96.4596829026489,413.19499652145714,186.74332276710211,151.0949587254059,129.60361486245864,58.846031508711654,26.869931591336112,100,98.43594151345941,89.98082655814773,61.00583138771201,6.50296635185435,676.0098867977148,318.2413821965341,317.89234789838235,235.26551155663205,47.024807492720385,73.92675017083126
51001090400,51,001,090400,Accomack,120047897.0255744,4461608.903940055,1232994.778129074,410918.6314165049,5.0859052634507576,3053.3700323290564,1058.9760912868264,394.98143827664114,400.2121282302025,201.28915650930315,2055.458814302973,996.4827230161468,48.47981949733515,309.19688842346613,391.8458581228885,238.49259642317622,161.76691297256798,954.1565583608744,304.822939373917,366.3732385062761,174.95300073308724,98.76576365002994,51.56778075283653,98.58538387244094,93.49932656207282,73.35783305518395,61.05436633187059,5.404540827285591,1180.9013952353948,889.520130517918,478.9871570252379,517.4955659909089,40.56114752322391,58.176937006428396
51001090500,51,001,090500,Accomack,53813975.90080809,2081862.316022564,731319.3722063202,432560.645642,6.031411505170248,3110.0564580801433,462.28503178279516,157.6148083766875,180.24270664853643,200.19957002919816,1000.3421168372173,538.0570850544221,53.7873069621019,202.38316046344045,155.74145596176808,95.60977176529633,93.35615953050751,453.2515691162049,202.38316046344045,154.28796105342508,84.9847974039331,67.41828459491569,28.982881538707765,100,99.06672574789604,88.8871459839424,72.21621469216963,6.39443600718724,640.5384150665076,359.80370177070967,286.24557050868145,251.81151454574066,44.68827532833614,69.98580428897625
51001090600,51,001,090600,Accomack,115418402.9452596,3753223.834951163,1072807.5536554025,513454.9352109216,4.6262001444863925,2711.852780853925,1093.574946460947,234.08833628366992,270.8262430214698,240.04595329265499,1838.5354790587419,744.9605325977947,40.51923615742163,248.96770156815828,285.6542525043194,142.21498838935622,153.75894121951717,1007.9395953773907,248.96770156815828,267.9535447867205,122.59077535284692,90.55060675778921,14.897904132279791,100,93.80345030314882,86.2010233529098,58.89127880278048,1.47805525257709,1410.5173933678354,444.64310563528755,500.9097328260544,244.05079977174032,35.51248181563025,54.88689618228775
51001090700,51,001,090700,Accomack,127805240.63374585,4325907.366336051,1480325.7680101737,349452.93679794,4.8164582615079485,3309.1359445619987,1140.4928468356864,341.60547114894143,289.61164457709253,143.47374538484266,1915.183707946563,774.6908611108767,40.44995046148816,192.48759416086398,195.00045160776813,288.92350887114947,183.85011279656118,1054.92204051022,192.48759416086398,194.99203226748233,238.07039882802437,117.27609759730395,31.864738257202013,100,99.99568239959632,82.39910963223005,63.78897233915515,3.020577543511217,1307.122560259115,611.9432270938803,461.12216330053303,313.5686978103436,35.27765316889055,51.241468804137604
51001090800,51,001,090800,Accomack,71336763.4698226,2945362.027616016,929039.7550718167,307947.23394480016,5.862824178169901,3226.7272825308664,641.1223920891365,178.7938808305225,269.5123347277988,241.8608854908568,1331.2894931383146,690.1671010491782,51.84200015146316,244.79538764895184,196.93066819525626,149.12755078004977,131.95300248164585,608.4828840324109,244.7939753171927,196.54385125105804,142.0876614394078,77.02187201892941,29.719741022590163,99.99942305622147,99.80357709251527,95.27928320164985,58.370685448891436,4.884236155606826,869.5153468357202,464.62058690706056,406.5295224330415,283.6375786161366,46.75357645065789,61.0471396681511
51131930100,51,131,930100,Northampton,95142105.10496892,3807969.9448815063,868361.83172369,544452.7786408309,5.4873544678100306,2876.584177988498,967.5571716747279,268.97074820271274,299.26207970346786,265.5020868475585,1801.292086428467,833.7349147537391,46.285381534476,306.8870752973345,261.43948419645653,168.1983834670576,195.8613603768945,868.9057830907238,306.8870752973345,239.94571795816125,137.43048421640194,132.56416801477044,16.90746926707092,100,91.77868396414675,81.70737517421998,67.68265458775444,1.9458345882945496,1233.069971178012,571.3026910884926,461.45539744018026,372.2795173135588,37.42329374863694,65.16327038548715
51131930200,51,131,930200,Northampton,95630094.62763475,3344980.9988860786,749568.2545067671,399768.0927262963,4.6996893222987515,3107.83719642265,899.2362691939353,188.048541223123,216.5482365099757,173.94580826690137,1477.7788551939354,578.5425860000001,39.149469757711174,191.57590881691414,188.55366468281585,132.1373180203625,161.57874872343137,803.9332149504116,191.57590881691414,181.5109714180933,86.37592802276052,91.82038399925989,27.259393742972257,100,96.26488656342494,65.36830724038904,56.82701761506124,3.390753514849324,978.7337069078278,499.0451482861076,312.5028251195823,266.0397608804178,31.929300371894954,53.309758003677565
51131930300,51,131,930300,Northampton,120697052.85639969,4178823.161871494,1166366.2143461965,337418.2082737115,4.708157697315387,3020.9943311942257,957.0062384577078,247.13695571916955,351.91855700246487,231.91262919017595,1787.974380369518,830.9681419118103,46.475394224612735,279.1197913196018,236.71499370335027,195.36569645593215,188.56740988832894,888.2064890023049,264.8217697732583,226.31630719556873,178.9229994005176,146.1178104940804,14.789255048385332,94.8774605058472,95.60708582709674,91.58363143904157,77.48836905625022,1.6650694665603771,1150.089983864319,657.6944273730045,491.4811556835648,339.48698622824554,42.73414798659327,51.61773797966347
