"tract","consproviders","busproviders","avgMaxAdDown","avgMaxAdUp","p_under25.3mbps"
"51001090100",9,13,295.683760683761,156.2990211426,0.0321637426900585
"51001090200",9,13,239.302740863787,153.259419712071,0.298429319371728
"51001090300",8,11,260.613148788927,165.66324982699,0.253521126760563
"51001090400",7,11,237.219247246022,133.914911872705,0.194277108433735
"51001090500",8,10,310.155458314141,190.564733302626,0.064327485380117
"51001090600",9,11,210.80612244898,106.452857142857,0
"51001090700",8,11,266.545183714002,156.202501158557,0
"51001090800",7,11,248.555063534848,147.6909264536,0
"51001980100",6,7,74.486013986014,51.1922237762238,0.43859649122807
"51001980200",8,10,179.864928909953,163.087009478673,0.361702127659574
"51001990100",1,1,57.9411764705882,3,0
"51001990200",2,2,85.9375,4.3125,0
"51131930100",8,12,275.270665322581,168.169571236559,0
"51131930200",9,11,246.854623683371,157.906947973189,0
"51131930300",9,11,280.493616596848,181.636253740275,0
"51131990100",4,4,439.1,362.74,0
