"FIP","county","tract","totalinc","totalelep","totalgas","totalother","averageburden","lowburden","highburden","veryhighburden","extremelyhighburden","totalunits","numberburdened","percentburdened","total_0_30","total_30_60","total_60_80","total_80_100","total_over_100","burdened_0_30","burdened_30_60","burdened_60_80","burdened_80_100","burdened_over_100","percent_0_30","percent_30_60","percent_60_80","percent_80_100","percent_over_100","total_owners","total_renters","burdened_owners","burdened_renters","percent_burdened_owners","percent_burdened_renters"
51001090100,"Accomack",901,106773487.353205,6143964.24875741,955390.371062167,321101.423418495,6.94971778779812,683.959829253308,184.255753139979,341.337996118354,291.144483843784,1500.69806235543,816.738233102117,54.4238880284954,167.405556215689,182.596509530358,136.925658207225,161.446897960091,852.323440442063,167.405556215689,182.596509530358,135.960444635345,157.326106535546,173.449616185179,100,100,99.2950820288051,97.4475871158804,20.3502107246069,1160.56454525228,349.743112432883,529.875111550883,286.863121551235,45.6566688788257,82.0210924400362
51001090200,"Accomack",902,129612460.671601,6615627.86817012,2182387.72751427,516012.613917535,7.18605924256071,1096.54456392247,483.46076256414,634.962674592165,300.42939879554,2515.39739987431,1418.85283595185,56.406706790058,263.705492880534,390.555612164392,366.98718885719,327.188669430047,1166.96043654215,263.705492880534,369.155203169409,324.845861584502,280.919653282074,180.226625035326,100,94.5205219619339,88.5169486695387,85.8586129438492,15.4441075628374,1820.62185400884,696.127174255025,949.582191494108,469.270644457737,52.1570247771779,67.4116256070504
51001090300,"Accomack",903,61442031.6383373,2167115.50595222,709611.480364886,311333.090069939,5.18872828807606,440.770565735067,194.378392732711,208.810901292093,149.96856543021,993.928425190081,553.157859455014,55.6536914968729,186.743322767102,153.495721585338,144.034701413535,96.4596829026489,413.194996521457,186.743322767102,151.094958725406,129.603614862459,58.8460315087117,26.8699315913361,100,98.4359415134594,89.9808265581477,61.005831387712,6.50296635185435,676.009886797715,318.241382196534,317.892347898382,235.265511556632,47.0248074927204,73.9267501708313
51001090400,"Accomack",904,120047897.025574,4461608.90394005,1232994.77812907,410918.631416505,5.08590526345076,1058.97609128683,394.981438276641,400.212128230202,201.289156509303,2055.45881430297,996.482723016147,48.4798194973351,309.196888423466,391.845858122889,238.492596423176,161.766912972568,954.156558360874,304.822939373917,366.373238506276,174.953000733087,98.7657636500299,51.5677807528365,98.5853838724409,93.4993265620728,73.3578330551839,61.0543663318706,5.40454082728559,1180.90139523539,889.520130517918,478.987157025238,517.495565990909,40.5611475232239,58.1769370064284
51001090500,"Accomack",905,53813975.9008081,2081862.31602256,731319.37220632,432560.645642,6.03141150517025,462.285031782795,157.614808376688,180.242706648536,200.199570029198,1000.34211683722,538.057085054422,53.7873069621019,202.38316046344,155.741455961768,95.6097717652963,93.3561595305075,453.251569116205,202.38316046344,154.287961053425,84.9847974039331,67.4182845949157,28.9828815387078,100,99.0667257478961,88.8871459839424,72.2162146921696,6.39443600718724,640.538415066508,359.80370177071,286.245570508681,251.811514545741,44.6882753283361,69.9858042889763
51001090600,"Accomack",906,115418402.94526,3753223.83495116,1072807.5536554,513454.935210922,4.62620014448639,1093.57494646095,234.08833628367,270.82624302147,240.045953292655,1838.53547905874,744.960532597795,40.5192361574216,248.967701568158,285.654252504319,142.214988389356,153.758941219517,1007.93959537739,248.967701568158,267.95354478672,122.590775352847,90.5506067577892,14.8979041322798,100,93.8034503031488,86.2010233529098,58.8912788027805,1.47805525257709,1410.51739336784,444.643105635288,500.909732826054,244.05079977174,35.5124818156303,54.8868961822877
51001090700,"Accomack",907,127805240.633746,4325907.36633605,1480325.76801017,349452.93679794,4.81645826150795,1140.49284683569,341.605471148941,289.611644577093,143.473745384843,1915.18370794656,774.690861110877,40.4499504614882,192.487594160864,195.000451607768,288.923508871149,183.850112796561,1054.92204051022,192.487594160864,194.992032267482,238.070398828024,117.276097597304,31.864738257202,100,99.9956823995963,82.3991096322301,63.7889723391552,3.02057754351122,1307.12256025912,611.94322709388,461.122163300533,313.568697810344,35.2776531688906,51.2414688041376
51001090800,"Accomack",908,71336763.4698226,2945362.02761602,929039.755071817,307947.2339448,5.8628241781699,641.122392089136,178.793880830523,269.512334727799,241.860885490857,1331.28949313831,690.167101049178,51.8420001514632,244.795387648952,196.930668195256,149.12755078005,131.953002481646,608.482884032411,244.793975317193,196.543851251058,142.087661439408,77.0218720189294,29.7197410225902,99.9994230562215,99.8035770925153,95.2792832016498,58.3706854488914,4.88423615560683,869.51534683572,464.620586907061,406.529522433042,283.637578616137,46.7535764506579,61.0471396681511
51131930100,"Northampton",9301,95142105.1049689,3807969.94488151,868361.83172369,544452.778640831,5.48735446781003,967.557171674728,268.970748202713,299.262079703468,265.502086847558,1801.29208642847,833.734914753739,46.285381534476,306.887075297334,261.439484196457,168.198383467058,195.861360376895,868.905783090724,306.887075297334,239.945717958161,137.430484216402,132.56416801477,16.9074692670709,100,91.7786839641468,81.70737517422,67.6826545877544,1.94583458829455,1233.06997117801,571.302691088493,461.45539744018,372.279517313559,37.4232937486369,65.1632703854872
51131930200,"Northampton",9302,95630094.6276347,3344980.99888608,749568.254506767,399768.092726296,4.69968932229875,899.236269193935,188.048541223123,216.548236509976,173.945808266901,1477.77885519394,578.542586,39.1494697577112,191.575908816914,188.553664682816,132.137318020362,161.578748723431,803.933214950412,191.575908816914,181.510971418093,86.3759280227605,91.8203839992599,27.2593937429723,100,96.2648865634249,65.368307240389,56.8270176150612,3.39075351484932,978.733706907828,499.045148286108,312.502825119582,266.039760880418,31.929300371895,53.3097580036776
