"w_geocode","avgc_allworkers","medc_allworkers","workersinBlockall","liveoutsideRegion","liveinsideRegion","perc_workers_liveinRegion","perc_workers_liveoutsideRegion","avgc_livewithin40","medc_livewithin40","workerw40","avgc_25_res","medc_25_res","workers25"
"510010901001000",26.6751919774187,6.98200202983981,37,4,33,89.1891891891892,10.8108108108108,7.95423275278321,2.18120680258021,33,7.95423275278321,2.18120680258021,33
"510010901001007",3.33791584961897,1.98648656703223,9,0,9,100,0,3.33791584961897,1.98648656703223,9,3.33791584961897,1.98648656703223,9
"510010901001008",17.3000610402879,9.44203178011054,18,3,15,83.3333333333333,16.6666666666667,8.99118538685042,4.17546336681314,15,8.99118538685042,4.17546336681314,15
"510010901001018",15.376959780995,3.03517017874795,55,4,51,92.7272727272727,7.27272727272727,5.91483040241644,2.66402665274637,50,6.85365934559623,2.67565215981737,50
"510010901001022",19.0645642698502,4.67177163471007,49,4,45,91.8367346938776,8.16326530612245,6.49362991241588,3.13207317902615,44,7.33742988563904,3.14118472528813,45
"510010901001031",14.6531905676268,1.65013589778501,76,6,70,92.1052631578947,7.89473684210526,4.95674155624294,1.39523559683062,67,6.56706056364434,1.44518723837055,70
"510010901001035",5.35562207765038,2.03137111439308,4,0,4,100,0,5.35562207765038,2.03137111439308,4,5.35562207765038,2.03137111439308,4
"510010901001054",6.77822528485308,2.76933409807622,4,0,4,100,0,6.77822528485308,2.76933409807622,4,6.77822528485308,2.76933409807622,4
"510010901001055",1.04313142190793,1.04313142190793,1,0,1,100,0,1.04313142190793,1.04313142190793,1,1.04313142190793,1.04313142190793,1
"510010901001060",49.6150223796354,14.2130616429461,6,2,4,66.6666666666667,33.3333333333333,7.91373084645185,2.24755241543278,4,7.91373084645185,2.24755241543278,4
"510010901001064",62.7282780676015,62.7282780676015,2,1,1,50,50,0.56937800118246,0.56937800118246,1,0.56937800118246,0.56937800118246,1
"510010901001065",12.2955570695149,1.44087093777686,22,1,21,95.4545454545455,4.54545454545455,3.99629607376121,1.30938415526363,21,3.99629607376121,1.30938415526363,21
"510010901001066",10.6506923007988,1.11051894854472,67,2,65,97.0149253731343,2.98507462686567,5.42694316870228,1.11051894854472,64,5.9962824700137,1.11051894854472,64
"510010901001068",8.65982982100521,1.86644001875667,12,1,11,91.6666666666667,8.33333333333333,4.45434177409599,1.65531431651213,11,4.45434177409599,1.65531431651213,11
