"tract","medc_alltr","medc_workinRegiontr","medc_within40tr","medc_25_employeestr","commutersIntr","commuterinRegiontr","commuterw40tr","commuter25tr","avgc_alltr","avgc_workinRegiontr","avgc_within40tr","avgc_25_employeestr","county"
"51001090100",44.8655171324026,8.28101980519101,7.64153513203683,15.9629437916865,1348,933,917,1045,43.282312898075,8.41391009237054,7.77120541597429,18.1840264893211,"51001"
"51001090200",47.3629590017911,9.32231931630353,9.32231931630353,17.997864528645,1892,1247,1250,1439,48.0328406161951,9.75922523278832,9.81362682278127,20.5994674120902,"51001"
"51001090300",42.9983361496166,7.43965931318629,8.60690343514989,14.8803573222231,900,525,546,606,46.9206853452068,7.67690562110946,8.73349682138983,17.0850778011976,"51001"
"51001090400",40.8620409103553,7.22670461278469,7.81349939185522,14.8308533987985,1893,1223,1265,1411,45.4882277185405,7.15340011113623,8.10936375580081,17.3809791681787,"51001"
"51001090500",44.0872079654344,5.17981408972273,6.2801838516905,12.2044114417885,1021,588,630,687,46.6720462034087,5.51469775802263,7.41083249238411,17.2217606596468,"51001"
"51001090600",36.6672132855006,6.79370671409591,8.20991678538924,14.649420177106,1859,1238,1344,1424,37.8162372985337,8.64866202929383,10.4816198640088,16.8899129385834,"51001"
"51001090700",37.5708020848487,7.68774185551995,9.80598214246178,13.4843143890896,1889,1224,1341,1392,40.0229557621486,7.90520746086804,9.91333353049015,16.3031349895448,"51001"
"51001090800",43.3926166426874,7.6804498920331,10.0924525654083,14.9356020004506,1240,759,846,877,44.1806298009554,7.71917797948273,10.0901724592554,17.7364133328434,"51001"
"51001980100",104.273302454372,24.0391763665614,24.0391763665614,63.271131959047,192,6,6,18,106.113169625393,19.9903711907502,19.9903711907502,66.9871704726681,"51001"
"51001980200",95.6877318795854,16.6101060819941,22.2667977998827,63.2921763680339,166,8,11,25,95.6877318795854,16.6101060819941,22.2667977998827,63.2921763680339,"51001"
"51131930100",36.8197019568731,7.37987043202147,10.7345030919098,11.3703359404928,1412,868,1022,993,40.7808951763584,7.63738865210779,10.5983842744207,14.8710937402119,"51131"
"51131930200",34.8089194096126,7.60065762233799,10.9887684106786,10.6450873170031,1201,716,904,812,37.8535311558187,7.76736901636464,11.2126093097563,13.014307286354,"51131"
"51131930300",28.7975073679047,6.56030509140311,9.57570751448149,9.28750186959592,1784,1122,1428,1254,32.1990760569684,6.78933479740614,10.0254274168028,10.5902501230689,"51131"
