STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,tree_can
51,001,090200,51001090200,902,Census Tract 902,34.599057266071604
51,001,980200,51001980200,9802,Census Tract 9802,3.478486796160174
51,001,980100,51001980100,9801,Census Tract 9801,10.72295718839944
51,001,090400,51001090400,904,Census Tract 904,19.421422100561212
51,131,990100,51131990100,9901,Census Tract 9901,1.8234259174466366e-4
51,131,930300,51131930300,9303,Census Tract 9303,5.315766772102896
51,131,930200,51131930200,9302,Census Tract 9302,22.37836740380979
51,001,090300,51001090300,903,Census Tract 903,24.706328251426626
51,001,090800,51001090800,908,Census Tract 908,14.988200245507825
51,001,990200,51001990200,9902,Census Tract 9902,0
51,001,090600,51001090600,906,Census Tract 906,9.020728267531107
51,001,990100,51001990100,9901,Census Tract 9901,0.029286388024950514
51,001,090500,51001090500,905,Census Tract 905,21.39592933947772
51,001,090700,51001090700,907,Census Tract 907,33.10191029573698
51,131,930100,51131930100,9301,Census Tract 9301,16.271951577516163
51,001,090100,51001090100,901,Census Tract 901,4.250462313480423
