"GEOID","NAME","countyfips","tractfips","leadriskscore_raw","lead_risk_rank","housing_risk","poverty_risk"
"51001090100","Census Tract 901, Accomack County, Virginia","001","090100",-0.141918877103813,5,21.2954545454545,13.1707317073171
"51001090200","Census Tract 902, Accomack County, Virginia","001","090200",-0.571464287320809,3,8.51805555555556,15.564882826163
"51001090300","Census Tract 903, Accomack County, Virginia","001","090300",0.261373401875471,7,21.6415241057543,25.8663366336634
"51001090400","Census Tract 904, Accomack County, Virginia","001","090400",0.450801398395895,8,17.7896769662921,36.978597094204
"51001090500","Census Tract 905, Accomack County, Virginia","001","090500",0.829714960211546,9,34.4230769230769,27.9889152810768
"51001090600","Census Tract 906, Accomack County, Virginia","001","090600",0.179857236529798,7,23.6424951267057,20.6439393939394
"51001090700","Census Tract 907, Accomack County, Virginia","001","090700",0.299591333548733,7,25.2663335895465,22.4621212121212
"51001090800","Census Tract 908, Accomack County, Virginia","001","090800",0.588973529942202,8,21.5273224043716,36.6862170087977
"51131930100","Census Tract 9301, Northampton County, Virginia","131","930100",0.191874955638181,7,18.8298210735586,27.208480565371
"51131930200","Census Tract 9302, Northampton County, Virginia","131","930200",0.147050715560541,7,20.7641325536062,23.2670283303195
"51131930300","Census Tract 9303, Northampton County, Virginia","131","930300",0.194057374335389,7,24.4832096147048,20.0282419392798
