STATEFP,COUNTYFP,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can,imp_surf,blocks,cells,developed,forest,percent_dev,percent_for
51,001,090200,2243,510010902002243,Block 2243,25.37142857142857,4.4,62,35,6,9,17.142857142857142,25.71428571428571
51,001,090200,3010,510010902003010,Block 3010,0,0.8238341968911918,63,193,26,0,13.471502590673575,0
51,001,090200,3047,510010902003047,Block 3047,6.5,51,64,4,4,0,100,0
51,001,090200,3030,510010902003030,Block 3030,12.666666666666666,38,65,3,3,0,100,0
51,001,090300,2002,510010903002002,Block 2002,0.7916666666666666,7.166666666666667,66,24,7,0,29.166666666666668,0
51,001,090200,3070,510010902003070,Block 3070,5.707792207792208,3.49025974025974,67,308,57,4,18.506493506493506,1.2987012987012987
51,001,090200,3160,510010902003160,Block 3160,8.375,22.5,68,8,8,0,100,0
51,001,090300,2020,510010903002020,Block 2020,41,25.125,69,8,8,0,100,0
51,001,090300,2022,510010903002022,Block 2022,29.5,33.5,70,4,4,0,100,0
51,001,090300,2059,510010903002059,Block 2059,78.26315789473684,1.105263157894737,71,19,8,0,42.10526315789473,0
51,001,090400,1004,510010904001004,Block 1004,0,0,72,12,0,0,0,0
51,001,090400,1014,510010904001014,Block 1014,15.4,19.4,73,5,5,0,100,0
51,001,090400,1030,510010904001030,Block 1030,0,43,74,2,2,0,100,0
51,001,090300,3041,510010903003041,Block 3041,0,0,75,1,0,0,0,0
51,001,090400,1045,510010904001045,Block 1045,37,17,76,1,1,0,100,0
51,001,090400,1069,510010904001069,Block 1069,73.83534136546184,1.3855421686746987,77,249,34,15,13.654618473895583,6.024096385542169
51,001,090200,2228,510010902002228,Block 2228,4.425531914893617,1.425531914893617,78,47,2,0,4.25531914893617,0
51,001,980200,1211,510019802001211,Block 1211,3.388888888888889,0,79,18,0,0,0,0
51,001,090200,2171,510010902002171,Block 2171,8.142857142857142,0,80,21,0,0,0,0
51,001,980200,1059,510019802001059,Block 1059,0,0,81,190,0,0,0,0
51,001,980200,1198,510019802001198,Block 1198,0,0,82,363,0,0,0,0
51,001,980200,1062,510019802001062,Block 1062,0,0,83,116,0,0,0,0
51,001,090100,4038,510010901004038,Block 4038,0,3.6530612244897958,84,49,2,0,4.081632653061225,0
51,001,090200,1018,510010902001018,Block 1018,37.81818181818182,29.40909090909091,85,44,19,0,43.18181818181818,0
51,001,980200,1112,510019802001112,Block 1112,0,0,86,117,0,0,0,0
51,001,980200,1145,510019802001145,Block 1145,0,0,87,56,0,0,0,0
51,001,090800,2091,510010908002091,Block 2091,0,0,88,54,0,0,0,0
51,001,090800,2075,510010908002075,Block 2075,0,0,89,2867,0,0,0,0
51,001,090800,2248,510010908002248,Block 2248,0,0,90,1699,0,0,0,0
51,001,090800,2244,510010908002244,Block 2244,0,0,91,449,0,0,0,0
51,001,090800,3009,510010908003009,Block 3009,0,0,92,67,0,0,0,0
51,001,090600,2152,510010906002152,Block 2152,34.699959563283464,0.4553174282248281,93,2473,141,194,5.701577031945006,7.844723008491711
51,001,090700,5079,510010907005079,Block 5079,28.145688073394496,1.093211009174312,94,2725,279,857,10.238532110091743,31.449541284403672
51,001,090700,5080,510010907005080,Block 5080,88,0,95,6,0,0,0,0
51,001,090800,2161,510010908002161,Block 2161,42.509803921568626,1.8221288515406162,96,714,51,57,7.142857142857142,7.9831932773109235
51,001,090800,2112,510010908002112,Block 2112,39.53314121037464,0.6743515850144092,97,347,22,51,6.340057636887608,14.697406340057636
51,001,090700,5099,510010907005099,Block 5099,30.1609375,1.5546875,98,640,54,150,8.4375,23.4375
51,001,090800,2168,510010908002168,Block 2168,0,53.333333333333336,99,24,24,0,100,0
51,001,090400,1109,510010904001109,Block 1109,0,0,100,72,0,0,0,0
51,001,090400,1108,510010904001108,Block 1108,0,0,101,118,0,0,0,0
51,001,090400,1100,510010904001100,Block 1100,0,0,102,1746,0,0,0,0
51,001,090400,1103,510010904001103,Block 1103,4.273972602739726,0,103,73,0,0,0,0
51,001,090400,2112,510010904002112,Block 2112,0,0,104,46,0,0,0,0
51,001,090400,1116,510010904001116,Block 1116,0,0,105,135,0,0,0,0
51,001,090400,1117,510010904001117,Block 1117,0,0,106,2,0,0,0,0
51,001,090400,2114,510010904002114,Block 2114,0,0,107,51,0,0,0,0
51,001,090400,2135,510010904002135,Block 2135,0,0,108,118,0,0,0,0
51,001,090800,3113,510010908003113,Block 3113,0,0,109,103,0,0,0,0
51,001,980200,1051,510019802001051,Block 1051,0,2.7757009345794392,110,107,5,0,4.672897196261682,0
51,131,930300,1027,511319303001027,Block 1027,5.363636363636363,0,111,11,0,0,0,0
51,131,930200,4055,511319302004055,Block 4055,0,12,112,1,1,0,100,0
51,131,930100,2117,511319301002117,Block 2117,15,0,113,1,0,0,0,0
51,131,930100,1033,511319301001033,Block 1033,47,0,114,7,0,3,0,42.857142857142854
51,131,930300,3242,511319303003242,Block 3242,5.944444444444445,7.833333333333333,115,18,4,0,22.22222222222222,0
51,131,930300,3282,511319303003282,Block 3282,0,8,116,1,1,0,100,0
51,131,930100,1061,511319301001061,Block 1061,0.675,6.9625,117,80,22,0,27.500000000000004,0
51,131,930200,3095,511319302003095,Block 3095,0,38.18181818181818,118,11,11,0,100,0
51,131,930300,3128,511319303003128,Block 3128,3.6956521739130435,1.565217391304348,119,23,6,0,26.08695652173913,0
51,001,090400,4111,510010904004111,Block 4111,0,6.135135135135135,120,37,8,0,21.62162162162162,0
51,001,090400,4127,510010904004127,Block 4127,13.52112676056338,3.5985915492957745,121,142,43,0,30.28169014084507,0
51,001,090700,2019,510010907002019,Block 2019,7.829268292682927,49.65853658536585,122,41,40,0,97.5609756097561,0
51,001,090700,2072,510010907002072,Block 2072,14.789473684210526,25.473684210526315,123,19,10,0,52.63157894736842,0
51,001,090700,2052,510010907002052,Block 2052,0,64.125,124,8,8,0,100,0
51,001,090700,2054,510010907002054,Block 2054,0,56.5,125,4,4,0,100,0
51,001,090700,2071,510010907002071,Block 2071,6.8076923076923075,35.26923076923077,126,26,19,0,73.07692307692307,0
51,001,090700,2007,510010907002007,Block 2007,15.285714285714286,22.285714285714285,127,7,7,0,100,0
51,001,090700,2069,510010907002069,Block 2069,0.8333333333333334,45.86666666666667,128,30,26,0,86.66666666666667,0
51,001,090700,2068,510010907002068,Block 2068,8,24,129,5,5,0,100,0
51,001,090800,2122,510010908002122,Block 2122,18.88888888888889,17.694444444444443,130,36,14,0,38.88888888888889,0
51,001,090800,2176,510010908002176,Block 2176,10.228571428571428,49.48571428571429,131,35,28,0,80,0
51,001,090800,2175,510010908002175,Block 2175,0,64.16666666666667,132,6,6,0,100,0
51,001,090800,2125,510010908002125,Block 2125,0,38,133,3,3,0,100,0
51,001,090800,2119,510010908002119,Block 2119,0,2.875,134,88,9,0,10.227272727272728,0
51,001,090800,2197,510010908002197,Block 2197,0,11.828220858895705,135,163,43,0,26.380368098159508,0
51,001,090800,2200,510010908002200,Block 2200,0,42.6,136,10,10,0,100,0
51,001,090800,2251,510010908002251,Block 2251,0,0,137,2,0,0,0,0
51,001,090800,3029,510010908003029,Block 3029,0.7285714285714285,22.65714285714286,138,70,30,0,42.857142857142854,0
51,001,090800,3031,510010908003031,Block 3031,4.666666666666667,46.888888888888886,139,9,9,0,100,0
51,001,090800,3038,510010908003038,Block 3038,0,73,140,4,4,0,100,0
51,001,090700,5131,510010907005131,Block 5131,19.285714285714285,0,141,7,0,2,0,28.57142857142857
51,001,090800,3048,510010908003048,Block 3048,10.375,26.3875,142,80,41,0,51.24999999999999,0
51,001,090800,3034,510010908003034,Block 3034,21.166666666666668,23.333333333333332,143,12,12,0,100,0
51,001,090800,3047,510010908003047,Block 3047,0,63.9,144,10,10,0,100,0
51,001,090800,3053,510010908003053,Block 3053,0,84,145,2,2,0,100,0
51,001,090100,4131,510010901004131,Block 4131,0,7,146,15,3,0,20,0
51,001,980100,1031,510019801001031,Block 1031,0,0,147,59,0,0,0,0
51,001,090400,4000,510010904004000,Block 4000,0.1586974829231777,0.002760363057920838,148,21374,2,9,0.009357162908206233,0.04210723308692804
51,001,090800,1104,510010908001104,Block 1104,0,0,149,2417,0,0,0,0
51,001,090800,1106,510010908001106,Block 1106,0,0,150,259,0,0,0,0
51,001,090800,1119,510010908001119,Block 1119,0,0,151,1553,0,0,0,0
51,131,930200,4197,511319302004197,Block 4197,0,0,152,13,0,0,0,0
51,131,930200,4196,511319302004196,Block 4196,0,0,153,12,0,0,0,0
51,131,930300,3151,511319303003151,Block 3151,0,0,154,166,0,0,0,0
51,131,930300,3052,511319303003052,Block 3052,0,0,155,368,0,0,0,0
51,131,990100,0015,511319901000015,Block 0015,0,0,156,346,0,0,0,0
51,131,930300,3159,511319303003159,Block 3159,0,0,157,109,0,0,0,0
51,131,930300,3050,511319303003050,Block 3050,0,0,158,74,0,0,0,0
51,131,930300,3341,511319303003341,Block 3341,0,0,159,155,0,0,0,0
51,131,930300,3059,511319303003059,Block 3059,0,0,160,464,0,0,0,0
51,131,930100,2080,511319301002080,Block 2080,2.393939393939394,0,161,66,0,2,0,3.0303030303030303
51,131,990100,0014,511319901000014,Block 0014,0,0,162,436,0,0,0,0
51,131,930300,3146,511319303003146,Block 3146,0,0,163,1128,0,0,0,0
51,131,930300,3075,511319303003075,Block 3075,0,0,164,710,0,0,0,0
51,131,930100,4172,511319301004172,Block 4172,0,0,165,9,0,0,0,0
51,131,930300,3074,511319303003074,Block 3074,0,0,166,55,0,0,0,0
