"w_blkgr","lowwage_jobs","midwage_jobs","higwage_jobs","alljobs","lowwage_p","midwage_p","higwage_p","White_workers","Black_workers","AI_Na_workers","Asian_workers","NaH_PI_workers","Multiracial_workers","lessThanHS_jobs","HSnoCollege_jobs","SomeColl_Associates_jobs","Bach_AdvDeg_jobs","w_county","countyName"
"510010901001",253,181,66,500,0.506,0.362,0.132,418,64,1,13,0,4,56,143,105,59,"51001","Accomack"
"510010901002",69,97,47,213,0.323943661971831,0.455399061032864,0.220657276995305,190,19,0,1,0,3,35,66,44,25,"51001","Accomack"
"510010901003",100,60,13,173,0.578034682080925,0.346820809248555,0.0751445086705202,124,41,2,5,0,1,23,50,35,15,"51001","Accomack"
"510010901004",63,63,14,140,0.45,0.45,0.1,104,31,0,3,0,2,24,26,34,14,"51001","Accomack"
"510010902001",49,86,44,179,0.273743016759777,0.480446927374302,0.245810055865922,117,55,2,3,0,2,24,47,40,22,"51001","Accomack"
"510010902002",88,198,274,560,0.157142857142857,0.353571428571429,0.489285714285714,451,83,2,14,0,10,60,144,152,114,"51001","Accomack"
"510010902003",277,1102,933,2312,0.119809688581315,0.476643598615917,0.403546712802768,1087,1142,6,43,1,33,369,546,539,465,"51001","Accomack"
"510010903001",38,30,5,73,0.520547945205479,0.410958904109589,0.0684931506849315,51,18,0,1,0,3,9,19,15,7,"51001","Accomack"
"510010903002",8,20,17,45,0.177777777777778,0.444444444444444,0.377777777777778,42,3,0,0,0,0,4,17,10,6,"51001","Accomack"
"510010903003",4,6,1,11,0.363636363636364,0.545454545454545,0.0909090909090909,8,3,0,0,0,0,5,2,2,1,"51001","Accomack"
"510010904001",32,16,7,55,0.581818181818182,0.290909090909091,0.127272727272727,36,18,0,1,0,0,12,18,13,4,"51001","Accomack"
"510010904002",33,55,22,110,0.3,0.5,0.2,79,30,0,1,0,0,24,27,28,10,"51001","Accomack"
"510010904003",67,103,51,221,0.30316742081448,0.46606334841629,0.230769230769231,92,118,0,9,0,2,35,51,60,34,"51001","Accomack"
"510010904004",413,584,775,1772,0.233069977426637,0.329571106094808,0.437358916478555,1278,464,2,19,0,9,150,439,490,491,"51001","Accomack"
"510010905001",5,1,2,8,0.625,0.125,0.25,5,3,0,0,0,0,1,4,1,1,"51001","Accomack"
"510010905002",69,64,89,222,0.310810810810811,0.288288288288288,0.400900900900901,184,33,0,3,1,1,25,67,61,34,"51001","Accomack"
"510010905003",262,1264,597,2123,0.123410268487989,0.595383890720678,0.281205840791333,786,1279,9,23,1,25,392,622,431,211,"51001","Accomack"
"510010906001",8,10,3,21,0.380952380952381,0.476190476190476,0.142857142857143,20,1,0,0,0,0,3,4,4,6,"51001","Accomack"
"510010906002",8,3,7,18,0.444444444444444,0.166666666666667,0.388888888888889,15,3,0,0,0,0,2,7,4,3,"51001","Accomack"
"510010906003",129,138,68,335,0.385074626865672,0.411940298507463,0.202985074626866,268,56,4,4,0,3,36,90,84,50,"51001","Accomack"
"510010906004",215,228,122,565,0.380530973451327,0.40353982300885,0.215929203539823,338,200,0,17,0,10,55,114,127,91,"51001","Accomack"
"510010907001",264,318,139,721,0.366158113730929,0.441054091539528,0.192787794729542,419,255,2,32,0,13,75,161,183,95,"51001","Accomack"
"510010907002",112,207,106,425,0.263529411764706,0.487058823529412,0.249411764705882,330,84,1,4,1,5,46,115,120,85,"51001","Accomack"
"510010907003",10,20,13,43,0.232558139534884,0.465116279069767,0.302325581395349,38,5,0,0,0,0,1,13,13,7,"51001","Accomack"
"510010907004",24,43,22,89,0.269662921348315,0.48314606741573,0.247191011235955,74,9,3,0,0,3,5,32,21,17,"51001","Accomack"
"510010907005",11,24,2,37,0.297297297297297,0.648648648648649,0.0540540540540541,28,9,0,0,0,0,5,10,11,7,"51001","Accomack"
"510010908001",10,44,17,71,0.140845070422535,0.619718309859155,0.23943661971831,55,11,0,3,0,2,18,25,15,6,"51001","Accomack"
"510010908002",90,60,36,186,0.483870967741935,0.32258064516129,0.193548387096774,158,22,0,3,0,3,23,53,30,25,"51001","Accomack"
"510010908003",200,351,170,721,0.277392510402219,0.486823855755895,0.235783633841886,390,319,1,4,0,7,96,187,213,124,"51001","Accomack"
"510019801001",7,8,14,29,0.241379310344828,0.275862068965517,0.482758620689655,24,2,0,1,0,2,0,9,9,10,"51001","Accomack"
"510019802001",12,1,32,45,0.266666666666667,0.0222222222222222,0.711111111111111,41,3,0,0,0,1,2,8,15,15,"51001","Accomack"
"511319301001",32,145,50,227,0.140969162995595,0.638766519823789,0.220264317180617,169,48,0,5,0,5,53,59,51,22,"51131","Northampton"
"511319301002",108,309,118,535,0.201869158878505,0.577570093457944,0.220560747663551,294,219,3,8,1,10,85,140,139,99,"51131","Northampton"
"511319301003",158,198,97,453,0.34878587196468,0.437086092715232,0.214128035320088,272,170,1,8,0,2,64,98,106,56,"51131","Northampton"
"511319301004",181,146,59,386,0.468911917098446,0.378238341968912,0.152849740932642,248,122,1,9,1,5,64,100,77,47,"51131","Northampton"
"511319302001",33,61,30,124,0.266129032258065,0.491935483870968,0.241935483870968,88,29,0,1,2,4,25,28,26,25,"51131","Northampton"
"511319302002",116,203,105,424,0.273584905660377,0.47877358490566,0.247641509433962,280,140,0,3,1,0,39,112,116,98,"51131","Northampton"
"511319302003",87,142,110,339,0.256637168141593,0.418879056047198,0.324483775811209,232,100,0,6,0,1,56,95,70,70,"51131","Northampton"
"511319302004",50,51,35,136,0.367647058823529,0.375,0.257352941176471,94,39,0,3,0,0,15,53,28,17,"51131","Northampton"
"511319303001",57,103,26,186,0.306451612903226,0.553763440860215,0.139784946236559,129,51,1,5,0,0,28,45,35,37,"51131","Northampton"
"511319303002",255,326,149,730,0.349315068493151,0.446575342465753,0.204109589041096,554,156,2,9,0,9,92,147,168,134,"51131","Northampton"
"511319303003",102,94,22,218,0.467889908256881,0.431192660550459,0.100917431192661,123,84,0,7,0,4,28,49,38,32,"51131","Northampton"
"511319303004",46,107,129,282,0.163120567375887,0.379432624113475,0.457446808510638,195,73,4,4,1,5,41,92,64,38,"51131","Northampton"
