"trtid10","pm2_5_1981","pm2_5_2016","percentile_1981","percentile_2016","STATEFP00","COUNTYFP00","PM_change","pctile_change"
"51001090100",26.7738647460938,7.48875570297241,74.2001163467132,60.338236516247,"51","001",-19.2851090431213,-13.8618798304662
"51001090200",24.4278371781111,6.80640208721161,63.6194908446217,46.8669492229702,"51","001",-17.6214350908995,-16.7525416216516
"51001090300",22.578313447535,6.30156902363524,54.9364248317128,40.0939084185158,"51","001",-16.2767444238998,-14.842516413197
"51001090400",24.0458279252052,6.75955778360367,61.8036510706668,46.0843790686723,"51","001",-17.2862701416016,-15.7192720019945
"51001090500",24.8373463749886,6.97020730376244,65.3813125017313,49.6717360591706,"51","001",-17.8671390712261,-15.7095764425607
"51001090600",23.0193905811757,6.48529996955767,57.016814870218,42.4083769633508,"51","001",-16.534090611618,-14.6084379068672
"51001090700",23.505514383316,6.66828936338425,59.2135516219286,44.7865591844649,"51","001",-16.8372250199318,-14.4269924374636
"51001090800",20.7649993896484,5.91966342926025,46.6799634338901,35.7225961938004,"51","001",-14.8453359603882,-10.9573672400898
"51001980100",0.0434137247502804,0.0121429907158017,0.416909055652511,0.38505221751295,"51","001",-0.0312707340344787,-0.0318568381395607
"51001980200",0.271510779857635,0.0756515711545944,0.642677082467658,0.587273885703205,"51","001",-0.195859208703041,-0.0554031967644534
"51131930100",23.8805680274963,6.87076389789581,61.0557079143467,47.922380121333,"51","131",-17.0098041296005,-13.1333277930137
"51131930200",19.5462512969971,5.6479640007019,41.3861879830466,33.0036843125848,"51","131",-13.8982872962952,-8.38250367046179
"51131930300",20.1929740905762,5.89059066772461,44.2616138951217,35.4123382919194,"51","131",-14.3023834228516,-8.84927560320231
