"census_tract","year","conventional","fha_insured","va_guaranteed","usda_guaranteed","home_purchase","home_improve","refinance","cash_out_refi","other_purpose","purposeNA","req_preapproval","noreq_preapproval","originated_loan","approvedApp_notAccepted","app_denied","app_withdrawn","fileclosed_incomplete","purchased_loan","denied_preapproval","approve_preapproval","appRace_AIAN","appRace_Asian","appRace_Black","appRace_HawPI","appRace_White","appRace_missing","appRace_NA","appRace_multiracial","appEth_HispLat","appMale","appFemale","appsex_missing","avg_rateSpread","highCost_mortgages","nonHighCost_mortgages","firstlien_secured","sublien_secured","avg_loan_amount","med_loan_amount","avg_app_income","median_app_income","median_income_accepted_app","white_denial_rate","black_denial_rate","hislat_denial_rate","loans_per_units","perc_conventional","perc_govern_backed","sum_mortgage_dollars_in000s","avg_homepurchase_loanamount","med_homepurchase_loanamount","total_apps","perc_app_missingRace","overall_denial_rate","perc_white_apps","perc_black_apps","perc_hislat_apps","population","minority_population","median_family_income","tract_to_msamd_income","tract_owner_occupied_units","tract_one_to_four_family_homes"
"51001090200",2016,166,47,72,13,152,22,0,0,0,0,5,43,130,7,65,31,22,43,0,0,2,4,30,0,187,38,37,2,4,178,60,23,3.48888888888889,0,298,235,7,145885.906040268,141,81560.6694560669,64000,69000,0.224598930481283,0.466666666666667,0,0.000127073000506337,61.5384615384615,38.4615384615385,20532,155.190789473684,144.5,298,12.751677852349,0.218120805369128,62.751677852349,10.0671140939597,1.34228187919463,6156,36.7000007629395,52300,106.269996643066,1653,3433
"51001090200",2017,200,55,47,12,173,31,0,0,0,0,4,21,157,8,62,34,18,35,0,0,1,2,26,1,232,25,27,2,6,195,76,16,2.446,0,314,258,6,138315.286624204,133,76743.7722419929,62000,64000,0.198275862068966,0.307692307692308,0,0.00011795234725171,66.8789808917197,33.1210191082803,21957,140.606936416185,134,314,7.96178343949045,0.197452229299363,73.8853503184713,8.28025477707006,1.91082802547771,6505,30.75,53300,93.2600021362305,1913,4239
"51001090300",2012,40,12,5,0,13,8,0,0,0,0,1,5,21,4,18,5,1,8,0,0,0,0,5,0,42,5,5,0,1,38,12,2,NA,0,57,44,0,103982.456140351,106,60300,48000,51000,0.357142857142857,0.4,1,0.000252343186733958,71.4285714285714,28.5714285714286,2375,103.384615384615,91,57,8.7719298245614,0.315789473684211,73.6842105263158,8.7719298245614,1.75438596491228,2335,28.5200004577637,52600,82.2099990844727,955,1460
"51001090300",2013,48,9,8,1,13,7,0,0,0,0,1,2,28,2,21,5,3,7,0,0,0,0,6,0,51,6,3,0,2,45,15,3,1.70666666666667,0,66,57,0,111151.515151515,107,66288.1355932203,56000,70000,0.254901960784314,0.666666666666667,0.5,0.00029057700290577,67.8571428571429,32.1428571428571,3371,89.5384615384615,82,66,9.09090909090909,0.318181818181818,77.2727272727273,9.09090909090909,3.03030303030303,2335,28.5200004577637,51600,82.2099990844727,955,1460
"51001090300",2014,42,13,5,4,20,17,0,0,0,0,2,3,22,4,23,3,3,9,0,0,0,0,6,0,43,9,6,0,1,35,19,4,5.03,0,64,45,2,86250,78,55960,53000,59000,0.302325581395349,0.666666666666667,1,0.000235445205479452,77.2727272727273,22.7272727272727,1855,108.9,120.5,64,14.0625,0.359375,67.1875,9.375,1.5625,2335,28.5200004577637,52000,85.3300018310547,955,1460
"51001090300",2015,21,9,5,1,10,8,0,0,0,0,1,1,7,2,17,5,1,4,0,0,0,0,4,0,26,3,3,0,0,24,7,2,2.31,0,36,28,0,102361.111111111,96,79161.2903225807,85000,77500,0.461538461538462,0.75,NA,0.000133181126331811,71.4285714285714,28.5714285714286,663,103.5,95.5,36,8.33333333333333,0.472222222222222,72.2222222222222,11.1111111111111,0,2335,28.5200004577637,52700,85.3300018310547,955,1460
"51001090300",2016,32,13,7,2,25,6,0,0,0,0,2,10,19,1,20,4,3,7,0,0,0,0,7,0,35,5,7,0,0,29,15,3,2.69666666666667,0,54,42,0,101314.814814815,92,67869.5652173913,57000,56000,0.314285714285714,0.571428571428571,NA,0.000240994419076611,68.4210526315789,31.5789473684211,2296,101.04,92,54,9.25925925925926,0.37037037037037,64.8148148148148,12.962962962963,0,2335,28.5200004577637,52300,85.3300018310547,955,1460
"51001090300",2017,41,18,6,3,35,13,0,0,0,0,1,8,35,2,16,3,5,7,0,0,1,0,9,0,43,8,7,1,1,34,21,6,2.18666666666667,0,68,49,3,91602.9411764706,91,60403.2258064516,57500,58000,0.232558139534884,0.333333333333333,1,0.000391113892365457,57.1428571428571,42.8571428571429,3029,113.4,104,68,11.7647058823529,0.235294117647059,63.2352941176471,13.2352941176471,1.47058823529412,2458,30.8400001525879,53300,71.120002746582,747,1316
"51001090400",2012,115,23,16,0,41,18,0,0,0,0,0,7,66,9,45,7,6,21,0,0,1,0,23,0,105,11,14,0,8,96,38,6,1.8525,0,154,123,2,140077.922077922,127,83537.3134328358,61000,63000,0.257142857142857,0.478260869565217,0.125,0.000151921810907986,75.7575757575758,24.2424242424242,9257,114.756097560976,106,154,7.14285714285714,0.292207792207792,68.1818181818182,14.9350649350649,5.19480519480519,6234,62.6100006103516,52600,94.5500030517578,1562,2821
"51001090400",2013,116,23,8,4,33,20,0,0,0,0,0,7,64,5,41,8,9,24,0,0,2,0,31,0,94,12,12,0,5,82,51,6,2.99833333333333,0,151,112,7,460754.966887417,119,65857.1428571429,56000,58000,0.24468085106383,0.419354838709677,0.8,0.000150244969727986,78.125,21.875,8155,92.6666666666667,64,151,7.94701986754967,0.271523178807947,62.2516556291391,20.5298013245033,3.3112582781457,6234,62.6100006103516,51600,94.5500030517578,1562,2821
