Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId
El Mercado,24373 Lankford Hwy,NA,Onley,VA,23418,2610,ACCOMACK,-75.697365,37.707153,1141
E&C ENTERPRISES VA 603,10361 Lankford Hwy,NA,Temperanceville,VA,23442,2428,ACCOMACK,-75.548729,37.893497000000004,3722
"Northampton Markets, Inc.",2 Peach St,NA,Cape Charles,VA,23310,3226,NORTHAMPTON,-76.016273,37.267204,6945
E&C ENTERPRISES VA 607,36380 Lankford Hwy,NA,Belle Haven,VA,23306,1107,ACCOMACK,-75.813286,37.543571,7731
Dollar General 19689,14093 Lankford Hwy,NA,Mappsville,VA,23407,NA,ACCOMACK,-75.566437,37.846939,7778
Dollar General 8465,6520 Lankford Hwy,NA,Oak Hall,VA,23416,2203,ACCOMACK,-75.543579,37.940193,7932
Yianni's Market & Deli,15508 Courthouse Rd,NA,Eastville,VA,23347,NA,NORTHAMPTON,-75.944817,37.3531,23897
E&C ENTERPRISES VA 606,33330 Lankford Hwy,NA,Painter,VA,23420,3300,ACCOMACK,-75.78553,37.585148,24553
E&C ENTERPRISES VA 604,16110 LANKFORD HWY,NA,NELSONIA,VA,23414,NA,ACCOMACK,-75.58873,37.81889,31208
"Lankford Knb Enterprises, Inc.",28412 Lankford Highway,NA,Townsend,VA,23443,NA,NORTHAMPTON,-75.95742,37.187202,38306
Royal Farms 30,33620 Chincoteague Rd,NA,Wallops Island,VA,23337,2202,ACCOMACK,-75.484245,37.923553,40044
Royal Farms 79,2497 Lankford Hwy,NA,New Church,VA,23415,2935,ACCOMACK,-75.540726,37.999985,40049
E&C ENTERPRISES VA 601,33103 CHINCOTEAGUE RD,NA,WATTSVILLE,VA,23483,NA,ACCOMACK,-75.501907,37.934311,45741
Cordova Mexican Store,16163 Lankford Hwy,NA,Bloxom,VA,23308,2530,ACCOMACK,-75.58857,37.818615,46974
El Crucero Tienda Mexicana,36344 Lankford Hwy,NA,Belle Haven,VA,23306,1106,ACCOMACK,-75.81263,37.544334,50375
Roses 256,25274 Lankford Hwy,NA,Onley,VA,23418,2812,ACCOMACK,-75.719543,37.695503,52339
El Cruzero Tienda Hispana,12164 Lankford Hwy,NA,Hallwood,VA,23359,2300,ACCOMACK,-75.558708,37.872128,54616
"DALEY & SON GROCERY, INC",16208 Main Street,NA,Tangier,VA,23440,NA,ACCOMACK,-75.99205,37.826077,55652
Food Lion 490,25102 Lankford Hwy,Unit 14,Onley,VA,23418,2811,ACCOMACK,-75.715065,37.699608,55658
EDWARDS SEAFOOD COMPANY,26177 Lankford Hwy,NA,Onley,VA,23418,NA,ACCOMACK,-75.722382,37.684242,55680
E & C MA 2209,23055 Lankford Hwy,NA,Cape Charles,VA,23310,2114,NORTHAMPTON,-75.97422,37.266075,56044
Royal Farms 134,25220 Lankford Hwy,NA,Onley,VA,23418,2812,ACCOMACK,-75.718994,37.69619,58883
"El Remolino, Inc",24361 Lankford Hwy,NA,Tasley,VA,23441,NA,ACCOMACK,-75.702286,37.711071,61340
Dollar General 0506,4360 Pension St,NA,Chincoteague,VA,23336,2543,ACCOMACK,-75.366539,37.933475,78833
Dollar General 0481,24325 Bennett St.,NA,Parksley,VA,23421,0138,ACCOMACK,-75.651817,37.781479,79197
Dollar Tree 421,3521 Lankford Hwy,NA,Exmore,VA,23350,2647,NORTHAMPTON,-75.8312,37.527657,85911
Eben-ezer Variety Market,24312 Bennett Street,NA,Parksley,VA,23421,NA,ACCOMACK,-75.652237,37.781509,94519
"Gary Howard Seafood, Inc",5315 Deep Hole Rd,NA,Chincoteague Island,VA,23336,2712,ACCOMACK,-75.351135,37.937302,102420
Family Dollar Store 7048,PO Box 420,NA,Oak Hall,VA,23416,0420,ACCOMACK,-75.569267,37.937443,106994
Dollartree 4874,25105 Lankford Hwy,NA,Onley,VA,23418,2820,ACCOMACK,-75.71489,37.699364,117095
Family Dollar Store 5156,6739 Maddox Blvd,NA,Chincoteague Island,VA,23336,2253,ACCOMACK,-75.354317,37.927124,117096
Family Dollar Store 1289,2611 Lankford Hwy,NA,Exmore,VA,23350,2605,NORTHAMPTON,-75.821457,37.540138,117118
Food Lion 1179,4092 Lankford Hwy,NA,Exmore,VA,23350,2641,NORTHAMPTON,-75.83194,37.522076,131146
Village General Store,30285 Bobtown Rd,NA,Pungoteague,VA,23422,NA,ACCOMACK,-75.813866,37.63052,133396
Royal Farms 105,16135 Lankford Hwy,NA,Nelsonia,VA,23414,NA,ACCOMACK,-75.58873,37.81889,145922
Royal Farms 115,4317 Lankford Hwy,NA,Exmore,VA,23350,2309,NORTHAMPTON,-75.831924,37.51685,145925
