Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,ObjectId,geometry
Dollar General 11421,4091 James Madison Hwy,NA,Fork Union,VA,23055,2309,FLUVANNA,133031,"c(-78.27002, 37.755444)"
Dollar General 11300,172 Davis Hwy,NA,Mineral,VA,23117,4152,LOUISA,133427,"c(-77.910728, 38.014938)"
7-eleven 19321f 19321F,5545 Germanna Hwy,NA,Locust Grove,VA,22508,2020,ORANGE,133508,"c(-77.727318, 38.326443)"
7-Eleven 36085A,1245 Seminole Trl,NA,Charlottesville,VA,22901,1869,ALBEMARLE,133818,"c(-78.483932, 38.070389)"
Fas Mart 3540,13626 James Madison Hwy,NA,Palmyra,VA,22963,4499,FLUVANNA,133998,"c(-78.263527, 37.861977)"
7-eleven 39846a 39846A,1168 Virginia Ave,NA,Harrisonburg,VA,22802,2520,HARRISONBURG,134750,"c(-78.87104, 38.468098)"
GOODWAY INC,16489 Beaver Dam Rd,NA,Montpelier,VA,23192,2130,HANOVER,135993,"c(-77.69294, 37.86483)"
Dollar General 11303,36 Franklin St,NA,Weyers Cave,VA,24486,2340,AUGUSTA,136090,"c(-78.915833, 38.284195)"
Dollar General 11518,107 3rd St,NA,Grottoes,VA,24441,1525,ROCKINGHAM,136092,"c(-78.823166, 38.26133)"
Target Stores 1858,3290 Seminole Trl,NA,Charlottesville,VA,22911,5634,ALBEMARLE,136434,"c(-78.440323, 38.127975)"
Market Street Market,400 E Market St,NA,Charlottesville,VA,22902,5214,CHARLOTTESVILLE,136770,"c(-78.478851, 38.030781)"
7-Eleven Inc F 16728,2218 Barracks Rd,NA,Charlottesville,VA,22903,4812,CHARLOTTESVILLE,137997,"c(-78.502159, 38.055973)"
Fas Mart 3542,241 Rolkin Rd,NA,Charlottesville,VA,22911,3536,ALBEMARLE,139224,"c(-78.443787, 38.02993)"
Walgreens 17535,14813 Spotswood Trl,NA,Elkton,VA,22827,3024,ROCKINGHAM,139569,"c(-78.651337, 38.405621)"
Walgreens 17547,590 Madison Rd,NA,Culpeper,VA,22701,3374,CULPEPER,139611,"c(-78.012909, 38.459526)"
Walgreens 17607,501 N Coalter St,NA,Staunton,VA,24401,3402,STAUNTON,139612,"c(-79.063354, 38.15789)"
Blue Ridge Grocery,2797 Rockfish Valley Hwy,NA,Nellysford,VA,22958,2309,NELSON,141120,"c(-78.874146, 37.889702)"
Nx Gen Retail Inc,13338 S Constitution Rte,NA,Scottsville,VA,24590,6280,ALBEMARLE,141218,"c(-78.503624, 37.718254)"
"THOMAS INC, E W",13027 James Madison Hwy,NA,PALMYRA,VA,22963,0101,FLUVANNA,141588,"c(-78.269005, 37.855503)"
Sinbad,2189 S Main St,NA,Harrisonburg,VA,22801,2683,HARRISONBURG,141852,"c(-78.893623, 38.422596)"
Dollar Tree 1457,2188 John Wayland Hwy,NA,Harrisonburg,VA,22801,4509,HARRISONBURG,143163,"c(-78.909073, 38.43082)"
Dollar Tree 7294,335 Merchant Walk Sq,Bldg 800,Charlottesville,VA,22902,6508,CHARLOTTESVILLE,144936,"c(-78.500084, 38.010544)"
