STATEFP,COUNTYFP,TRACTCE,GEOID,imp_surf,tree_can
51,540,001000,51540001000,54.51469317199654,45.796716184519155
51,540,000201,51540000201,39.46964856230032,46.32983193277311
51,540,000502,51540000502,27.080587534736008,65.941309255079
51,540,000202,51540000202,58.52963311382879,27.336283185840706
51,540,000302,51540000302,42.36242981112812,42.9380014587892
51,540,000401,51540000401,39.819346572709804,48.70975416336241
51,540,000501,51540000501,39.592791411042946,47.50099601593625
51,540,000402,51540000402,43.625060240963855,37.26070901033973
51,540,000600,51540000600,46.42307692307692,48.48365122615804
51,540,000700,51540000700,30.427070302727046,65.95217264508604
51,540,000800,51540000800,36.92429760665973,62.34957507082153
51,540,000900,51540000900,26.099852616064847,57.24773532886963
